,condition,outcome,persona,response
0,orchid orangutan; defiant dragonfly,gender,p0016,2
119,orchid orangutan; defiant dragonfly,gender,p0605,1
120,orchid orangutan; defiant dragonfly,gender,p0615,1
121,orchid orangutan; defiant dragonfly,gender,p0620,1
122,orchid orangutan; defiant dragonfly,gender,p0626,2
123,orchid orangutan; defiant dragonfly,gender,p0629,2
124,orchid orangutan; defiant dragonfly,gender,p0633,2
125,orchid orangutan; defiant dragonfly,gender,p0638,2
126,orchid orangutan; defiant dragonfly,gender,p0639,1
127,orchid orangutan; defiant dragonfly,gender,p0640,2
128,orchid orangutan; defiant dragonfly,gender,p0655,2
129,orchid orangutan; defiant dragonfly,gender,p0656,1
130,orchid orangutan; defiant dragonfly,gender,p0658,1
131,orchid orangutan; defiant dragonfly,gender,p0661,1
132,orchid orangutan; defiant dragonfly,gender,p0669,1
133,orchid orangutan; defiant dragonfly,gender,p0670,2
134,orchid orangutan; defiant dragonfly,gender,p0672,2
135,orchid orangutan; defiant dragonfly,gender,p0674,1
136,orchid orangutan; defiant dragonfly,gender,p0678,1
137,orchid orangutan; defiant dragonfly,gender,p0683,2
138,orchid orangutan; defiant dragonfly,gender,p0686,1
139,orchid orangutan; defiant dragonfly,gender,p0687,1
140,orchid orangutan; defiant dragonfly,gender,p0698,2
141,orchid orangutan; defiant dragonfly,gender,p0700,1
142,orchid orangutan; defiant dragonfly,gender,p0703,1
143,orchid orangutan; defiant dragonfly,gender,p0718,1
144,orchid orangutan; defiant dragonfly,gender,p0744,2
145,orchid orangutan; defiant dragonfly,gender,p0745,1
146,orchid orangutan; defiant dragonfly,gender,p0753,2
147,orchid orangutan; defiant dragonfly,gender,p0770,1
148,orchid orangutan; defiant dragonfly,gender,p0771,1
149,orchid orangutan; defiant dragonfly,gender,p0777,1
150,orchid orangutan; defiant dragonfly,gender,p0779,1
151,orchid orangutan; defiant dragonfly,gender,p0780,2
152,orchid orangutan; defiant dragonfly,gender,p0783,1
153,orchid orangutan; defiant dragonfly,gender,p0785,2
154,orchid orangutan; defiant dragonfly,gender,p0786,2
155,orchid orangutan; defiant dragonfly,gender,p0794,1
156,orchid orangutan; defiant dragonfly,gender,p0798,1
157,orchid orangutan; defiant dragonfly,gender,p0800,1
158,orchid orangutan; defiant dragonfly,gender,p0820,2
159,orchid orangutan; defiant dragonfly,gender,p0841,2
160,orchid orangutan; defiant dragonfly,gender,p0849,1
161,orchid orangutan; defiant dragonfly,gender,p0862,1
162,orchid orangutan; defiant dragonfly,gender,p0867,2
163,orchid orangutan; defiant dragonfly,gender,p0869,1
164,orchid orangutan; defiant dragonfly,gender,p0872,1
165,orchid orangutan; defiant dragonfly,gender,p0880,2
166,orchid orangutan; defiant dragonfly,gender,p0891,1
167,orchid orangutan; defiant dragonfly,gender,p0916,2
168,orchid orangutan; defiant dragonfly,gender,p0917,2
169,orchid orangutan; defiant dragonfly,gender,p0919,2
170,orchid orangutan; defiant dragonfly,gender,p0922,2
171,orchid orangutan; defiant dragonfly,gender,p0925,2
172,orchid orangutan; defiant dragonfly,gender,p0927,1
173,orchid orangutan; defiant dragonfly,gender,p0929,2
174,orchid orangutan; defiant dragonfly,gender,p0930,1
175,orchid orangutan; defiant dragonfly,gender,p0931,2
176,orchid orangutan; defiant dragonfly,gender,p0933,2
177,orchid orangutan; defiant dragonfly,gender,p0934,2
178,orchid orangutan; defiant dragonfly,gender,p0936,2
179,orchid orangutan; defiant dragonfly,gender,p0938,1
180,orchid orangutan; defiant dragonfly,gender,p0939,2
181,orchid orangutan; defiant dragonfly,gender,p0946,1
182,orchid orangutan; defiant dragonfly,gender,p0951,1
183,orchid orangutan; defiant dragonfly,gender,p0956,2
184,orchid orangutan; defiant dragonfly,gender,p0962,2
185,orchid orangutan; defiant dragonfly,gender,p0963,1
186,orchid orangutan; defiant dragonfly,gender,p0969,1
187,orchid orangutan; defiant dragonfly,gender,p0972,1
188,orchid orangutan; defiant dragonfly,gender,p0975,1
189,orchid orangutan; defiant dragonfly,gender,p0985,2
190,orchid orangutan; defiant dragonfly,gender,p0993,1
191,orchid orangutan; defiant dragonfly,gender,p0996,2
192,orchid orangutan; defiant dragonfly,gender,p1011,1
193,orchid orangutan; defiant dragonfly,gender,p1017,2
194,orchid orangutan; defiant dragonfly,gender,p1020,1
195,orchid orangutan; defiant dragonfly,gender,p1022,1
196,orchid orangutan; defiant dragonfly,gender,p1024,2
197,orchid orangutan; defiant dragonfly,gender,p1027,1
198,orchid orangutan; defiant dragonfly,gender,p1028,1
199,orchid orangutan; defiant dragonfly,gender,p1029,2
200,orchid orangutan; defiant dragonfly,gender,p1032,1
201,orchid orangutan; defiant dragonfly,gender,p1040,1
202,orchid orangutan; defiant dragonfly,gender,p1047,1
203,orchid orangutan; defiant dragonfly,gender,p1048,1
204,orchid orangutan; defiant dragonfly,gender,p1053,2
205,orchid orangutan; defiant dragonfly,gender,p1057,1
206,orchid orangutan; defiant dragonfly,gender,p1058,2
207,orchid orangutan; defiant dragonfly,gender,p1063,1
208,orchid orangutan; defiant dragonfly,gender,p1064,2
209,orchid orangutan; defiant dragonfly,gender,p1065,1
210,orchid orangutan; defiant dragonfly,gender,p1069,2
211,orchid orangutan; defiant dragonfly,gender,p1072,1
212,orchid orangutan; defiant dragonfly,gender,p1073,1
213,orchid orangutan; defiant dragonfly,gender,p1075,2
214,orchid orangutan; defiant dragonfly,gender,p1076,2
215,orchid orangutan; defiant dragonfly,gender,p1083,2
216,orchid orangutan; defiant dragonfly,gender,p1089,1
217,orchid orangutan; defiant dragonfly,gender,p1093,1
218,orchid orangutan; defiant dragonfly,gender,p1096,2
219,orchid orangutan; defiant dragonfly,gender,p1100,1
220,orchid orangutan; defiant dragonfly,gender,p1106,2
221,orchid orangutan; defiant dragonfly,gender,p1107,2
222,orchid orangutan; defiant dragonfly,gender,p1113,1
223,orchid orangutan; defiant dragonfly,gender,p1117,1
224,orchid orangutan; defiant dragonfly,gender,p1120,1
225,orchid orangutan; defiant dragonfly,gender,p1134,1
226,orchid orangutan; defiant dragonfly,gender,p1136,1
227,orchid orangutan; defiant dragonfly,gender,p1138,2
228,orchid orangutan; defiant dragonfly,gender,p1144,1
229,orchid orangutan; defiant dragonfly,gender,p1145,1
230,orchid orangutan; defiant dragonfly,gender,p1147,2
231,orchid orangutan; defiant dragonfly,gender,p1148,1
232,orchid orangutan; defiant dragonfly,gender,p1154,2
233,orchid orangutan; defiant dragonfly,gender,p1159,1
234,orchid orangutan; defiant dragonfly,gender,p1167,1
235,orchid orangutan; defiant dragonfly,gender,p1175,2
236,orchid orangutan; defiant dragonfly,gender,p1178,2
237,orchid orangutan; defiant dragonfly,gender,p1184,2
238,orchid orangutan; defiant dragonfly,gender,p1186,1
239,orchid orangutan; defiant dragonfly,gender,p1196,1
240,orchid orangutan; defiant dragonfly,gender,p1197,2
241,orchid orangutan; defiant dragonfly,gender,p1203,1
242,orchid orangutan; defiant dragonfly,gender,p1219,2
243,orchid orangutan; defiant dragonfly,gender,p1225,1
244,orchid orangutan; defiant dragonfly,gender,p1234,2
245,orchid orangutan; defiant dragonfly,gender,p1242,1
246,orchid orangutan; defiant dragonfly,gender,p1244,1
247,orchid orangutan; defiant dragonfly,gender,p1249,2
248,orchid orangutan; defiant dragonfly,gender,p1250,1
249,orchid orangutan; defiant dragonfly,gender,p1256,1
250,orchid orangutan; defiant dragonfly,gender,p1258,2
251,orchid orangutan; defiant dragonfly,gender,p1260,1
252,orchid orangutan; defiant dragonfly,gender,p1262,1
253,orchid orangutan; defiant dragonfly,gender,p1264,2
254,orchid orangutan; defiant dragonfly,gender,p1265,2
255,orchid orangutan; defiant dragonfly,gender,p1269,1
256,orchid orangutan; defiant dragonfly,gender,p1272,2
257,orchid orangutan; defiant dragonfly,gender,p1278,1
258,orchid orangutan; defiant dragonfly,gender,p1281,2
259,orchid orangutan; defiant dragonfly,gender,p1292,1
260,orchid orangutan; defiant dragonfly,gender,p1299,2
261,orchid orangutan; defiant dragonfly,gender,p1312,2
262,orchid orangutan; defiant dragonfly,gender,p1322,1
263,orchid orangutan; defiant dragonfly,gender,p1326,2
264,orchid orangutan; defiant dragonfly,gender,p1330,2
265,orchid orangutan; defiant dragonfly,gender,p1335,2
266,orchid orangutan; defiant dragonfly,gender,p1337,1
267,orchid orangutan; defiant dragonfly,gender,p1340,1
268,orchid orangutan; defiant dragonfly,gender,p1345,1
269,orchid orangutan; defiant dragonfly,gender,p1351,1
270,orchid orangutan; defiant dragonfly,gender,p1355,2
271,orchid orangutan; defiant dragonfly,gender,p1362,2
272,orchid orangutan; defiant dragonfly,gender,p1365,1
273,orchid orangutan; defiant dragonfly,gender,p1366,2
274,orchid orangutan; defiant dragonfly,gender,p1367,1
275,orchid orangutan; defiant dragonfly,gender,p1370,2
276,orchid orangutan; defiant dragonfly,gender,p1371,1
277,orchid orangutan; defiant dragonfly,gender,p1373,2
278,orchid orangutan; defiant dragonfly,gender,p1375,2
279,orchid orangutan; defiant dragonfly,gender,p1376,2
280,orchid orangutan; defiant dragonfly,gender,p1379,2
281,orchid orangutan; defiant dragonfly,gender,p1381,2
282,orchid orangutan; defiant dragonfly,gender,p1393,2
283,orchid orangutan; defiant dragonfly,gender,p1396,2
284,orchid orangutan; defiant dragonfly,gender,p1398,1
285,orchid orangutan; defiant dragonfly,gender,p1404,2
286,orchid orangutan; defiant dragonfly,gender,p1406,1
287,orchid orangutan; defiant dragonfly,gender,p1407,2
288,orchid orangutan; defiant dragonfly,gender,p1409,1
289,orchid orangutan; defiant dragonfly,gender,p1412,1
290,orchid orangutan; defiant dragonfly,gender,p1414,1
291,orchid orangutan; defiant dragonfly,gender,p1424,1
292,orchid orangutan; defiant dragonfly,gender,p1425,1
293,orchid orangutan; defiant dragonfly,gender,p1429,2
294,orchid orangutan; defiant dragonfly,gender,p1434,1
295,orchid orangutan; defiant dragonfly,gender,p1441,1
296,orchid orangutan; defiant dragonfly,gender,p1445,1
297,orchid orangutan; defiant dragonfly,gender,p1450,1
298,orchid orangutan; defiant dragonfly,gender,p1454,1
299,orchid orangutan; defiant dragonfly,gender,p1456,1
300,orchid orangutan; defiant dragonfly,gender,p1457,2
301,orchid orangutan; defiant dragonfly,gender,p1458,1
302,orchid orangutan; defiant dragonfly,gender,p1469,1
303,orchid orangutan; defiant dragonfly,gender,p1470,1
304,orchid orangutan; defiant dragonfly,gender,p1481,1
305,orchid orangutan; defiant dragonfly,gender,p1488,2
306,orchid orangutan; defiant dragonfly,gender,p1492,1
307,orchid orangutan; defiant dragonfly,gender,p1495,1
308,orchid orangutan; defiant dragonfly,gender,p1497,2
309,orchid orangutan; defiant dragonfly,gender,p1499,1
310,orchid orangutan; defiant dragonfly,gender,p1503,1
311,orchid orangutan; defiant dragonfly,gender,p1511,1
312,orchid orangutan; defiant dragonfly,gender,p1512,2
313,orchid orangutan; defiant dragonfly,gender,p1518,2
314,orchid orangutan; defiant dragonfly,gender,p1519,2
315,orchid orangutan; defiant dragonfly,gender,p1520,2
316,orchid orangutan; defiant dragonfly,gender,p1524,2
317,orchid orangutan; defiant dragonfly,gender,p1526,2
318,orchid orangutan; defiant dragonfly,gender,p1537,1
319,orchid orangutan; defiant dragonfly,gender,p1545,2
320,orchid orangutan; defiant dragonfly,gender,p1547,2
321,orchid orangutan; defiant dragonfly,gender,p1552,1
322,orchid orangutan; defiant dragonfly,gender,p1567,1
323,orchid orangutan; defiant dragonfly,gender,p1568,2
324,orchid orangutan; defiant dragonfly,gender,p1579,2
325,orchid orangutan; defiant dragonfly,gender,p1587,2
326,orchid orangutan; defiant dragonfly,gender,p1596,1
327,orchid orangutan; defiant dragonfly,gender,p1600,1
328,orchid orangutan; defiant dragonfly,gender,p1603,2
329,orchid orangutan; defiant dragonfly,gender,p1604,2
330,orchid orangutan; defiant dragonfly,gender,p1610,2
331,orchid orangutan; defiant dragonfly,gender,p1618,1
332,orchid orangutan; defiant dragonfly,gender,p1619,1
333,orchid orangutan; defiant dragonfly,gender,p1622,1
334,orchid orangutan; defiant dragonfly,gender,p1623,1
335,orchid orangutan; defiant dragonfly,gender,p1630,1
336,orchid orangutan; defiant dragonfly,gender,p1641,1
337,orchid orangutan; defiant dragonfly,gender,p1649,1
338,orchid orangutan; defiant dragonfly,gender,p1652,1
339,orchid orangutan; defiant dragonfly,gender,p1665,1
340,orchid orangutan; defiant dragonfly,gender,p1669,1
341,orchid orangutan; defiant dragonfly,gender,p1685,1
342,orchid orangutan; defiant dragonfly,gender,p1693,2
343,orchid orangutan; defiant dragonfly,gender,p1698,1
344,orchid orangutan; defiant dragonfly,gender,p1704,1
345,orchid orangutan; defiant dragonfly,gender,p1711,1
346,orchid orangutan; defiant dragonfly,gender,p1718,1
347,orchid orangutan; defiant dragonfly,gender,p1732,1
348,orchid orangutan; defiant dragonfly,gender,p1739,1
349,orchid orangutan; defiant dragonfly,gender,p1741,1
350,orchid orangutan; defiant dragonfly,gender,p1746,1
351,orchid orangutan; defiant dragonfly,gender,p1751,1
352,orchid orangutan; defiant dragonfly,gender,p1754,2
353,orchid orangutan; defiant dragonfly,gender,p1769,2
354,orchid orangutan; defiant dragonfly,gender,p1771,2
355,orchid orangutan; defiant dragonfly,gender,p1776,1
356,orchid orangutan; defiant dragonfly,gender,p1780,1
357,orchid orangutan; defiant dragonfly,gender,p1785,2
358,orchid orangutan; defiant dragonfly,gender,p1791,1
359,orchid orangutan; defiant dragonfly,gender,p1793,1
360,orchid orangutan; defiant dragonfly,gender,p1796,1
361,orchid orangutan; defiant dragonfly,gender,p1805,1
362,orchid orangutan; defiant dragonfly,gender,p1812,1
363,orchid orangutan; defiant dragonfly,gender,p1816,2
364,orchid orangutan; defiant dragonfly,gender,p1819,1
365,orchid orangutan; defiant dragonfly,gender,p1825,1
366,orchid orangutan; defiant dragonfly,gender,p1836,1
367,orchid orangutan; defiant dragonfly,gender,p1839,2
368,orchid orangutan; defiant dragonfly,gender,p1861,1
369,orchid orangutan; defiant dragonfly,gender,p1863,1
370,orchid orangutan; defiant dragonfly,gender,p1873,1
371,orchid orangutan; defiant dragonfly,gender,p1875,1
372,orchid orangutan; defiant dragonfly,gender,p1876,2
373,orchid orangutan; defiant dragonfly,gender,p1877,2
374,orchid orangutan; defiant dragonfly,gender,p1880,2
375,orchid orangutan; defiant dragonfly,gender,p1883,1
376,orchid orangutan; defiant dragonfly,gender,p1889,1
377,orchid orangutan; defiant dragonfly,gender,p1893,1
378,orchid orangutan; defiant dragonfly,gender,p1896,1
379,orchid orangutan; defiant dragonfly,gender,p1913,1
380,orchid orangutan; defiant dragonfly,gender,p1922,1
381,orchid orangutan; defiant dragonfly,gender,p1930,1
382,orchid orangutan; defiant dragonfly,gender,p1935,1
383,orchid orangutan; defiant dragonfly,gender,p1940,1
384,orchid orangutan; defiant dragonfly,gender,p1948,2
385,orchid orangutan; defiant dragonfly,gender,p1950,2
386,orchid orangutan; defiant dragonfly,gender,p1954,1
387,orchid orangutan; defiant dragonfly,gender,p1956,2
388,orchid orangutan; defiant dragonfly,gender,p1958,1
389,orchid orangutan; defiant dragonfly,gender,p1967,2
390,orchid orangutan; defiant dragonfly,gender,p1973,1
391,orchid orangutan; defiant dragonfly,gender,p1978,1
392,orchid orangutan; defiant dragonfly,gender,p1983,1
393,orchid orangutan; defiant dragonfly,gender,p1984,2
394,orchid orangutan; defiant dragonfly,gender,p1995,1
395,orchid orangutan; defiant dragonfly,gender,p1996,2
396,orchid orangutan; defiant dragonfly,gender,p1997,1
397,orchid orangutan; defiant dragonfly,gender,p2001,2
398,orchid orangutan; defiant dragonfly,gender,p2002,2
399,orchid orangutan; defiant dragonfly,gender,p2013,2
400,orchid orangutan; defiant dragonfly,gender,p2014,2
401,orchid orangutan; defiant dragonfly,gender,p2016,1
402,orchid orangutan; defiant dragonfly,gender,p2018,1
403,orchid orangutan; defiant dragonfly,gender,p2023,2
404,orchid orangutan; defiant dragonfly,gender,p2025,1
405,orchid orangutan; defiant dragonfly,gender,p2028,1
406,orchid orangutan; defiant dragonfly,gender,p2030,2
407,orchid orangutan; defiant dragonfly,gender,p2033,1
408,orchid orangutan; defiant dragonfly,gender,p2040,1
409,orchid orangutan; defiant dragonfly,gender,p2051,2
410,orchid orangutan; defiant dragonfly,gender,p2052,1
411,orchid orangutan; defiant dragonfly,gender,p2066,1
412,orchid orangutan; defiant dragonfly,gender,p2067,1
413,orchid orangutan; defiant dragonfly,gender,p2073,1
414,orchid orangutan; defiant dragonfly,gender,p2077,2
415,orchid orangutan; defiant dragonfly,gender,p2078,2
416,orchid orangutan; defiant dragonfly,gender,p2086,1
417,orchid orangutan; defiant dragonfly,gender,p2089,1
418,orchid orangutan; defiant dragonfly,gender,p2093,1
419,orchid orangutan; defiant dragonfly,gender,p2094,2
420,orchid orangutan; defiant dragonfly,gender,p2111,2
421,orchid orangutan; defiant dragonfly,gender,p2117,2
422,orchid orangutan; defiant dragonfly,gender,p2121,1
423,orchid orangutan; defiant dragonfly,gender,p2127,1
424,orchid orangutan; defiant dragonfly,gender,p2141,1
425,orchid orangutan; defiant dragonfly,gender,p2142,2
426,orchid orangutan; defiant dragonfly,gender,p2143,1
427,orchid orangutan; defiant dragonfly,gender,p2153,2
428,orchid orangutan; defiant dragonfly,gender,p2155,2
429,orchid orangutan; defiant dragonfly,gender,p2169,1
430,orchid orangutan; defiant dragonfly,gender,p2187,1
431,orchid orangutan; defiant dragonfly,gender,p2188,1
432,orchid orangutan; defiant dragonfly,gender,p2197,2
433,orchid orangutan; defiant dragonfly,gender,p2213,2
434,orchid orangutan; defiant dragonfly,gender,p2214,2
435,orchid orangutan; defiant dragonfly,gender,p2215,2
436,orchid orangutan; defiant dragonfly,gender,p2220,1
437,orchid orangutan; defiant dragonfly,gender,p2223,2
438,orchid orangutan; defiant dragonfly,gender,p2229,1
439,orchid orangutan; defiant dragonfly,gender,p2234,2
440,orchid orangutan; defiant dragonfly,gender,p2237,2
441,orchid orangutan; defiant dragonfly,gender,p2238,1
442,orchid orangutan; defiant dragonfly,gender,p2244,2
443,orchid orangutan; defiant dragonfly,gender,p2248,2
444,orchid orangutan; defiant dragonfly,gender,p2252,1
445,orchid orangutan; defiant dragonfly,gender,p2255,1
446,orchid orangutan; defiant dragonfly,gender,p2261,1
447,orchid orangutan; defiant dragonfly,gender,p2263,2
448,orchid orangutan; defiant dragonfly,gender,p2273,2
449,orchid orangutan; defiant dragonfly,gender,p2275,2
450,orchid orangutan; defiant dragonfly,gender,p2276,2
451,orchid orangutan; defiant dragonfly,gender,p2283,2
452,orchid orangutan; defiant dragonfly,gender,p2287,2
453,orchid orangutan; defiant dragonfly,gender,p2296,1
454,orchid orangutan; defiant dragonfly,gender,p2298,1
455,orchid orangutan; defiant dragonfly,gender,p2304,1
456,orchid orangutan; defiant dragonfly,gender,p2310,2
457,orchid orangutan; defiant dragonfly,gender,p2322,2
458,orchid orangutan; defiant dragonfly,gender,p2326,2
459,orchid orangutan; defiant dragonfly,gender,p2330,2
460,orchid orangutan; defiant dragonfly,gender,p2331,1
461,orchid orangutan; defiant dragonfly,gender,p2333,1
462,orchid orangutan; defiant dragonfly,gender,p2347,2
463,orchid orangutan; defiant dragonfly,gender,p2350,2
464,orchid orangutan; defiant dragonfly,gender,p2351,1
465,orchid orangutan; defiant dragonfly,gender,p2353,2
466,orchid orangutan; defiant dragonfly,gender,p2355,2
467,orchid orangutan; defiant dragonfly,gender,p2363,2
468,orchid orangutan; defiant dragonfly,gender,p2378,2
469,orchid orangutan; defiant dragonfly,gender,p2380,1
470,orchid orangutan; defiant dragonfly,gender,p2387,2
471,orchid orangutan; defiant dragonfly,gender,p2398,1
472,orchid orangutan; defiant dragonfly,gender,p2400,1
473,orchid orangutan; defiant dragonfly,gender,p2403,2
474,orchid orangutan; defiant dragonfly,gender,p2408,2
475,orchid orangutan; defiant dragonfly,gender,p2418,2
476,orchid orangutan; defiant dragonfly,gender,p2426,1
477,orchid orangutan; defiant dragonfly,gender,p2428,2
478,orchid orangutan; defiant dragonfly,gender,p2434,2
479,orchid orangutan; defiant dragonfly,gender,p2446,1
480,orchid orangutan; defiant dragonfly,gender,p2452,1
481,orchid orangutan; defiant dragonfly,gender,p2454,2
482,orchid orangutan; defiant dragonfly,gender,p2462,1
483,orchid orangutan; defiant dragonfly,gender,p2467,1
484,orchid orangutan; defiant dragonfly,gender,p2482,2
485,orchid orangutan; defiant dragonfly,gender,p2489,1
486,orchid orangutan; defiant dragonfly,gender,p2490,2
487,orchid orangutan; defiant dragonfly,gender,p2494,2
488,orchid orangutan; defiant dragonfly,gender,p2502,1
489,orchid orangutan; defiant dragonfly,gender,p2503,2
490,orchid orangutan; defiant dragonfly,gender,p2522,1
491,orchid orangutan; defiant dragonfly,gender,p2524,1
492,orchid orangutan; defiant dragonfly,gender,p2533,2
493,orchid orangutan; defiant dragonfly,gender,p2566,2
494,orchid orangutan; defiant dragonfly,gender,p2571,1
495,orchid orangutan; defiant dragonfly,gender,p2573,1
496,orchid orangutan; defiant dragonfly,gender,p2582,1
497,orchid orangutan; defiant dragonfly,gender,p2591,1
