,condition,outcome,persona,response
0,limping llama; friendly frog,gender,p0016,2
69,limping llama; friendly frog,gender,p0364,1
70,limping llama; friendly frog,gender,p0369,2
71,limping llama; friendly frog,gender,p0370,2
72,limping llama; friendly frog,gender,p0371,1
73,limping llama; friendly frog,gender,p0379,1
74,limping llama; friendly frog,gender,p0386,1
75,limping llama; friendly frog,gender,p0396,2
76,limping llama; friendly frog,gender,p0403,2
77,limping llama; friendly frog,gender,p0405,2
78,limping llama; friendly frog,gender,p0412,1
79,limping llama; friendly frog,gender,p0415,1
80,limping llama; friendly frog,gender,p0416,1
81,limping llama; friendly frog,gender,p0417,1
82,limping llama; friendly frog,gender,p0418,2
83,limping llama; friendly frog,gender,p0430,1
84,limping llama; friendly frog,gender,p0431,2
85,limping llama; friendly frog,gender,p0434,2
86,limping llama; friendly frog,gender,p0438,2
87,limping llama; friendly frog,gender,p0441,2
88,limping llama; friendly frog,gender,p0442,2
89,limping llama; friendly frog,gender,p0449,1
90,limping llama; friendly frog,gender,p0450,2
91,limping llama; friendly frog,gender,p0465,1
92,limping llama; friendly frog,gender,p0471,2
93,limping llama; friendly frog,gender,p0477,2
94,limping llama; friendly frog,gender,p0483,2
95,limping llama; friendly frog,gender,p0486,1
96,limping llama; friendly frog,gender,p0487,1
97,limping llama; friendly frog,gender,p0489,1
98,limping llama; friendly frog,gender,p0497,1
99,limping llama; friendly frog,gender,p0502,1
100,limping llama; friendly frog,gender,p0503,2
101,limping llama; friendly frog,gender,p0506,1
102,limping llama; friendly frog,gender,p0511,1
103,limping llama; friendly frog,gender,p0523,2
104,limping llama; friendly frog,gender,p0534,1
105,limping llama; friendly frog,gender,p0536,1
106,limping llama; friendly frog,gender,p0542,1
107,limping llama; friendly frog,gender,p0547,2
108,limping llama; friendly frog,gender,p0553,1
109,limping llama; friendly frog,gender,p0559,2
110,limping llama; friendly frog,gender,p0566,1
111,limping llama; friendly frog,gender,p0568,2
112,limping llama; friendly frog,gender,p0570,1
113,limping llama; friendly frog,gender,p0573,2
114,limping llama; friendly frog,gender,p0578,1
115,limping llama; friendly frog,gender,p0594,1
116,limping llama; friendly frog,gender,p0597,1
117,limping llama; friendly frog,gender,p0601,1
118,limping llama; friendly frog,gender,p0602,2
119,limping llama; friendly frog,gender,p0605,1
120,limping llama; friendly frog,gender,p0615,1
121,limping llama; friendly frog,gender,p0620,1
122,limping llama; friendly frog,gender,p0626,2
123,limping llama; friendly frog,gender,p0629,2
124,limping llama; friendly frog,gender,p0633,2
125,limping llama; friendly frog,gender,p0638,2
126,limping llama; friendly frog,gender,p0639,1
127,limping llama; friendly frog,gender,p0640,2
128,limping llama; friendly frog,gender,p0655,2
129,limping llama; friendly frog,gender,p0656,1
130,limping llama; friendly frog,gender,p0658,1
131,limping llama; friendly frog,gender,p0661,1
132,limping llama; friendly frog,gender,p0669,1
133,limping llama; friendly frog,gender,p0670,2
134,limping llama; friendly frog,gender,p0672,2
135,limping llama; friendly frog,gender,p0674,1
136,limping llama; friendly frog,gender,p0678,1
137,limping llama; friendly frog,gender,p0683,2
138,limping llama; friendly frog,gender,p0686,1
139,limping llama; friendly frog,gender,p0687,1
140,limping llama; friendly frog,gender,p0698,2
141,limping llama; friendly frog,gender,p0700,1
142,limping llama; friendly frog,gender,p0703,1
143,limping llama; friendly frog,gender,p0718,1
144,limping llama; friendly frog,gender,p0744,2
145,limping llama; friendly frog,gender,p0745,1
146,limping llama; friendly frog,gender,p0753,2
147,limping llama; friendly frog,gender,p0770,1
148,limping llama; friendly frog,gender,p0771,1
149,limping llama; friendly frog,gender,p0777,1
150,limping llama; friendly frog,gender,p0779,1
151,limping llama; friendly frog,gender,p0780,2
152,limping llama; friendly frog,gender,p0783,1
153,limping llama; friendly frog,gender,p0785,2
154,limping llama; friendly frog,gender,p0786,2
155,limping llama; friendly frog,gender,p0794,1
156,limping llama; friendly frog,gender,p0798,1
157,limping llama; friendly frog,gender,p0800,1
158,limping llama; friendly frog,gender,p0820,2
159,limping llama; friendly frog,gender,p0841,2
160,limping llama; friendly frog,gender,p0849,1
161,limping llama; friendly frog,gender,p0862,1
162,limping llama; friendly frog,gender,p0867,2
163,limping llama; friendly frog,gender,p0869,1
164,limping llama; friendly frog,gender,p0872,1
165,limping llama; friendly frog,gender,p0880,2
166,limping llama; friendly frog,gender,p0891,1
167,limping llama; friendly frog,gender,p0916,2
168,limping llama; friendly frog,gender,p0917,2
169,limping llama; friendly frog,gender,p0919,2
170,limping llama; friendly frog,gender,p0922,2
171,limping llama; friendly frog,gender,p0925,2
172,limping llama; friendly frog,gender,p0927,1
173,limping llama; friendly frog,gender,p0929,2
174,limping llama; friendly frog,gender,p0930,1
175,limping llama; friendly frog,gender,p0931,2
176,limping llama; friendly frog,gender,p0933,2
177,limping llama; friendly frog,gender,p0934,2
178,limping llama; friendly frog,gender,p0936,2
179,limping llama; friendly frog,gender,p0938,1
180,limping llama; friendly frog,gender,p0939,2
181,limping llama; friendly frog,gender,p0946,1
182,limping llama; friendly frog,gender,p0951,1
183,limping llama; friendly frog,gender,p0956,2
184,limping llama; friendly frog,gender,p0962,2
185,limping llama; friendly frog,gender,p0963,1
186,limping llama; friendly frog,gender,p0969,1
187,limping llama; friendly frog,gender,p0972,1
188,limping llama; friendly frog,gender,p0975,1
189,limping llama; friendly frog,gender,p0985,2
190,limping llama; friendly frog,gender,p0993,1
191,limping llama; friendly frog,gender,p0996,2
192,limping llama; friendly frog,gender,p1011,1
193,limping llama; friendly frog,gender,p1017,2
194,limping llama; friendly frog,gender,p1020,1
195,limping llama; friendly frog,gender,p1022,1
196,limping llama; friendly frog,gender,p1024,2
197,limping llama; friendly frog,gender,p1027,1
198,limping llama; friendly frog,gender,p1028,1
199,limping llama; friendly frog,gender,p1029,2
200,limping llama; friendly frog,gender,p1032,1
201,limping llama; friendly frog,gender,p1040,1
202,limping llama; friendly frog,gender,p1047,1
203,limping llama; friendly frog,gender,p1048,1
204,limping llama; friendly frog,gender,p1053,2
205,limping llama; friendly frog,gender,p1057,1
206,limping llama; friendly frog,gender,p1058,2
207,limping llama; friendly frog,gender,p1063,1
208,limping llama; friendly frog,gender,p1064,2
209,limping llama; friendly frog,gender,p1065,1
210,limping llama; friendly frog,gender,p1069,2
211,limping llama; friendly frog,gender,p1072,1
212,limping llama; friendly frog,gender,p1073,1
213,limping llama; friendly frog,gender,p1075,2
214,limping llama; friendly frog,gender,p1076,2
215,limping llama; friendly frog,gender,p1083,2
216,limping llama; friendly frog,gender,p1089,1
217,limping llama; friendly frog,gender,p1093,1
218,limping llama; friendly frog,gender,p1096,2
219,limping llama; friendly frog,gender,p1100,1
220,limping llama; friendly frog,gender,p1106,2
221,limping llama; friendly frog,gender,p1107,2
222,limping llama; friendly frog,gender,p1113,1
223,limping llama; friendly frog,gender,p1117,1
224,limping llama; friendly frog,gender,p1120,1
225,limping llama; friendly frog,gender,p1134,1
226,limping llama; friendly frog,gender,p1136,1
227,limping llama; friendly frog,gender,p1138,2
228,limping llama; friendly frog,gender,p1144,1
229,limping llama; friendly frog,gender,p1145,1
230,limping llama; friendly frog,gender,p1147,2
231,limping llama; friendly frog,gender,p1148,1
232,limping llama; friendly frog,gender,p1154,2
233,limping llama; friendly frog,gender,p1159,1
234,limping llama; friendly frog,gender,p1167,1
235,limping llama; friendly frog,gender,p1175,2
236,limping llama; friendly frog,gender,p1178,2
237,limping llama; friendly frog,gender,p1184,2
238,limping llama; friendly frog,gender,p1186,1
239,limping llama; friendly frog,gender,p1196,1
240,limping llama; friendly frog,gender,p1197,2
241,limping llama; friendly frog,gender,p1203,1
242,limping llama; friendly frog,gender,p1219,2
243,limping llama; friendly frog,gender,p1225,1
244,limping llama; friendly frog,gender,p1234,2
245,limping llama; friendly frog,gender,p1242,1
246,limping llama; friendly frog,gender,p1244,1
247,limping llama; friendly frog,gender,p1249,2
248,limping llama; friendly frog,gender,p1250,1
249,limping llama; friendly frog,gender,p1256,1
250,limping llama; friendly frog,gender,p1258,2
251,limping llama; friendly frog,gender,p1260,1
252,limping llama; friendly frog,gender,p1262,1
253,limping llama; friendly frog,gender,p1264,2
254,limping llama; friendly frog,gender,p1265,2
255,limping llama; friendly frog,gender,p1269,1
256,limping llama; friendly frog,gender,p1272,2
257,limping llama; friendly frog,gender,p1278,1
258,limping llama; friendly frog,gender,p1281,2
259,limping llama; friendly frog,gender,p1292,1
260,limping llama; friendly frog,gender,p1299,2
261,limping llama; friendly frog,gender,p1312,2
262,limping llama; friendly frog,gender,p1322,1
263,limping llama; friendly frog,gender,p1326,2
264,limping llama; friendly frog,gender,p1330,2
265,limping llama; friendly frog,gender,p1335,2
266,limping llama; friendly frog,gender,p1337,1
267,limping llama; friendly frog,gender,p1340,1
268,limping llama; friendly frog,gender,p1345,1
269,limping llama; friendly frog,gender,p1351,1
270,limping llama; friendly frog,gender,p1355,2
271,limping llama; friendly frog,gender,p1362,2
272,limping llama; friendly frog,gender,p1365,1
273,limping llama; friendly frog,gender,p1366,2
274,limping llama; friendly frog,gender,p1367,1
275,limping llama; friendly frog,gender,p1370,2
276,limping llama; friendly frog,gender,p1371,1
277,limping llama; friendly frog,gender,p1373,2
278,limping llama; friendly frog,gender,p1375,2
279,limping llama; friendly frog,gender,p1376,2
280,limping llama; friendly frog,gender,p1379,2
281,limping llama; friendly frog,gender,p1381,2
282,limping llama; friendly frog,gender,p1393,2
283,limping llama; friendly frog,gender,p1396,2
284,limping llama; friendly frog,gender,p1398,1
285,limping llama; friendly frog,gender,p1404,2
286,limping llama; friendly frog,gender,p1406,1
287,limping llama; friendly frog,gender,p1407,2
288,limping llama; friendly frog,gender,p1409,1
289,limping llama; friendly frog,gender,p1412,1
290,limping llama; friendly frog,gender,p1414,1
291,limping llama; friendly frog,gender,p1424,1
292,limping llama; friendly frog,gender,p1425,1
293,limping llama; friendly frog,gender,p1429,2
294,limping llama; friendly frog,gender,p1434,1
295,limping llama; friendly frog,gender,p1441,1
296,limping llama; friendly frog,gender,p1445,1
297,limping llama; friendly frog,gender,p1450,1
298,limping llama; friendly frog,gender,p1454,1
299,limping llama; friendly frog,gender,p1456,1
300,limping llama; friendly frog,gender,p1457,2
301,limping llama; friendly frog,gender,p1458,1
302,limping llama; friendly frog,gender,p1469,1
303,limping llama; friendly frog,gender,p1470,1
304,limping llama; friendly frog,gender,p1481,1
305,limping llama; friendly frog,gender,p1488,2
306,limping llama; friendly frog,gender,p1492,1
307,limping llama; friendly frog,gender,p1495,1
308,limping llama; friendly frog,gender,p1497,2
309,limping llama; friendly frog,gender,p1499,1
310,limping llama; friendly frog,gender,p1503,1
311,limping llama; friendly frog,gender,p1511,1
312,limping llama; friendly frog,gender,p1512,2
313,limping llama; friendly frog,gender,p1518,2
314,limping llama; friendly frog,gender,p1519,2
315,limping llama; friendly frog,gender,p1520,2
316,limping llama; friendly frog,gender,p1524,2
317,limping llama; friendly frog,gender,p1526,2
318,limping llama; friendly frog,gender,p1537,1
319,limping llama; friendly frog,gender,p1545,2
320,limping llama; friendly frog,gender,p1547,2
321,limping llama; friendly frog,gender,p1552,1
322,limping llama; friendly frog,gender,p1567,1
323,limping llama; friendly frog,gender,p1568,2
324,limping llama; friendly frog,gender,p1579,2
325,limping llama; friendly frog,gender,p1587,2
326,limping llama; friendly frog,gender,p1596,1
327,limping llama; friendly frog,gender,p1600,1
328,limping llama; friendly frog,gender,p1603,2
329,limping llama; friendly frog,gender,p1604,2
330,limping llama; friendly frog,gender,p1610,2
331,limping llama; friendly frog,gender,p1618,1
332,limping llama; friendly frog,gender,p1619,1
333,limping llama; friendly frog,gender,p1622,1
334,limping llama; friendly frog,gender,p1623,1
335,limping llama; friendly frog,gender,p1630,1
336,limping llama; friendly frog,gender,p1641,1
337,limping llama; friendly frog,gender,p1649,1
338,limping llama; friendly frog,gender,p1652,1
339,limping llama; friendly frog,gender,p1665,1
340,limping llama; friendly frog,gender,p1669,1
341,limping llama; friendly frog,gender,p1685,1
342,limping llama; friendly frog,gender,p1693,2
343,limping llama; friendly frog,gender,p1698,1
344,limping llama; friendly frog,gender,p1704,1
345,limping llama; friendly frog,gender,p1711,1
346,limping llama; friendly frog,gender,p1718,1
347,limping llama; friendly frog,gender,p1732,1
348,limping llama; friendly frog,gender,p1739,1
349,limping llama; friendly frog,gender,p1741,1
350,limping llama; friendly frog,gender,p1746,1
351,limping llama; friendly frog,gender,p1751,1
352,limping llama; friendly frog,gender,p1754,2
353,limping llama; friendly frog,gender,p1769,2
354,limping llama; friendly frog,gender,p1771,2
355,limping llama; friendly frog,gender,p1776,1
356,limping llama; friendly frog,gender,p1780,1
357,limping llama; friendly frog,gender,p1785,2
358,limping llama; friendly frog,gender,p1791,1
359,limping llama; friendly frog,gender,p1793,1
360,limping llama; friendly frog,gender,p1796,1
361,limping llama; friendly frog,gender,p1805,1
362,limping llama; friendly frog,gender,p1812,1
363,limping llama; friendly frog,gender,p1816,2
364,limping llama; friendly frog,gender,p1819,1
365,limping llama; friendly frog,gender,p1825,1
366,limping llama; friendly frog,gender,p1836,1
367,limping llama; friendly frog,gender,p1839,2
368,limping llama; friendly frog,gender,p1861,1
369,limping llama; friendly frog,gender,p1863,1
370,limping llama; friendly frog,gender,p1873,1
371,limping llama; friendly frog,gender,p1875,1
372,limping llama; friendly frog,gender,p1876,2
373,limping llama; friendly frog,gender,p1877,2
374,limping llama; friendly frog,gender,p1880,2
375,limping llama; friendly frog,gender,p1883,1
376,limping llama; friendly frog,gender,p1889,1
377,limping llama; friendly frog,gender,p1893,1
378,limping llama; friendly frog,gender,p1896,1
379,limping llama; friendly frog,gender,p1913,1
380,limping llama; friendly frog,gender,p1922,1
381,limping llama; friendly frog,gender,p1930,1
382,limping llama; friendly frog,gender,p1935,1
383,limping llama; friendly frog,gender,p1940,1
384,limping llama; friendly frog,gender,p1948,2
385,limping llama; friendly frog,gender,p1950,2
386,limping llama; friendly frog,gender,p1954,1
387,limping llama; friendly frog,gender,p1956,2
388,limping llama; friendly frog,gender,p1958,1
389,limping llama; friendly frog,gender,p1967,2
390,limping llama; friendly frog,gender,p1973,1
391,limping llama; friendly frog,gender,p1978,1
392,limping llama; friendly frog,gender,p1983,1
393,limping llama; friendly frog,gender,p1984,2
394,limping llama; friendly frog,gender,p1995,1
395,limping llama; friendly frog,gender,p1996,2
396,limping llama; friendly frog,gender,p1997,1
397,limping llama; friendly frog,gender,p2001,2
398,limping llama; friendly frog,gender,p2002,2
399,limping llama; friendly frog,gender,p2013,2
400,limping llama; friendly frog,gender,p2014,2
401,limping llama; friendly frog,gender,p2016,1
402,limping llama; friendly frog,gender,p2018,1
403,limping llama; friendly frog,gender,p2023,2
404,limping llama; friendly frog,gender,p2025,1
405,limping llama; friendly frog,gender,p2028,1
406,limping llama; friendly frog,gender,p2030,2
407,limping llama; friendly frog,gender,p2033,1
408,limping llama; friendly frog,gender,p2040,1
409,limping llama; friendly frog,gender,p2051,2
410,limping llama; friendly frog,gender,p2052,1
411,limping llama; friendly frog,gender,p2066,1
412,limping llama; friendly frog,gender,p2067,1
413,limping llama; friendly frog,gender,p2073,1
414,limping llama; friendly frog,gender,p2077,2
415,limping llama; friendly frog,gender,p2078,2
416,limping llama; friendly frog,gender,p2086,1
417,limping llama; friendly frog,gender,p2089,1
418,limping llama; friendly frog,gender,p2093,1
419,limping llama; friendly frog,gender,p2094,2
420,limping llama; friendly frog,gender,p2111,2
421,limping llama; friendly frog,gender,p2117,2
422,limping llama; friendly frog,gender,p2121,1
423,limping llama; friendly frog,gender,p2127,1
424,limping llama; friendly frog,gender,p2141,1
425,limping llama; friendly frog,gender,p2142,2
426,limping llama; friendly frog,gender,p2143,1
427,limping llama; friendly frog,gender,p2153,2
428,limping llama; friendly frog,gender,p2155,2
429,limping llama; friendly frog,gender,p2169,1
430,limping llama; friendly frog,gender,p2187,1
431,limping llama; friendly frog,gender,p2188,1
432,limping llama; friendly frog,gender,p2197,2
433,limping llama; friendly frog,gender,p2213,2
434,limping llama; friendly frog,gender,p2214,2
435,limping llama; friendly frog,gender,p2215,2
436,limping llama; friendly frog,gender,p2220,1
437,limping llama; friendly frog,gender,p2223,2
438,limping llama; friendly frog,gender,p2229,1
439,limping llama; friendly frog,gender,p2234,2
440,limping llama; friendly frog,gender,p2237,2
441,limping llama; friendly frog,gender,p2238,1
442,limping llama; friendly frog,gender,p2244,2
443,limping llama; friendly frog,gender,p2248,2
444,limping llama; friendly frog,gender,p2252,1
445,limping llama; friendly frog,gender,p2255,1
446,limping llama; friendly frog,gender,p2261,1
447,limping llama; friendly frog,gender,p2263,2
448,limping llama; friendly frog,gender,p2273,2
449,limping llama; friendly frog,gender,p2275,2
450,limping llama; friendly frog,gender,p2276,2
451,limping llama; friendly frog,gender,p2283,2
452,limping llama; friendly frog,gender,p2287,2
453,limping llama; friendly frog,gender,p2296,1
454,limping llama; friendly frog,gender,p2298,1
455,limping llama; friendly frog,gender,p2304,1
456,limping llama; friendly frog,gender,p2310,2
457,limping llama; friendly frog,gender,p2322,2
458,limping llama; friendly frog,gender,p2326,2
459,limping llama; friendly frog,gender,p2330,2
460,limping llama; friendly frog,gender,p2331,1
461,limping llama; friendly frog,gender,p2333,1
462,limping llama; friendly frog,gender,p2347,2
463,limping llama; friendly frog,gender,p2350,2
464,limping llama; friendly frog,gender,p2351,1
465,limping llama; friendly frog,gender,p2353,2
466,limping llama; friendly frog,gender,p2355,2
467,limping llama; friendly frog,gender,p2363,2
468,limping llama; friendly frog,gender,p2378,2
469,limping llama; friendly frog,gender,p2380,1
470,limping llama; friendly frog,gender,p2387,2
471,limping llama; friendly frog,gender,p2398,1
472,limping llama; friendly frog,gender,p2400,1
473,limping llama; friendly frog,gender,p2403,2
474,limping llama; friendly frog,gender,p2408,2
475,limping llama; friendly frog,gender,p2418,2
476,limping llama; friendly frog,gender,p2426,1
477,limping llama; friendly frog,gender,p2428,2
478,limping llama; friendly frog,gender,p2434,2
479,limping llama; friendly frog,gender,p2446,1
480,limping llama; friendly frog,gender,p2452,1
481,limping llama; friendly frog,gender,p2454,2
482,limping llama; friendly frog,gender,p2462,1
483,limping llama; friendly frog,gender,p2467,1
484,limping llama; friendly frog,gender,p2482,2
485,limping llama; friendly frog,gender,p2489,1
486,limping llama; friendly frog,gender,p2490,2
487,limping llama; friendly frog,gender,p2494,2
488,limping llama; friendly frog,gender,p2502,1
489,limping llama; friendly frog,gender,p2503,2
490,limping llama; friendly frog,gender,p2522,1
491,limping llama; friendly frog,gender,p2524,1
492,limping llama; friendly frog,gender,p2533,2
493,limping llama; friendly frog,gender,p2566,2
494,limping llama; friendly frog,gender,p2571,1
495,limping llama; friendly frog,gender,p2573,1
496,limping llama; friendly frog,gender,p2582,1
497,limping llama; friendly frog,gender,p2591,1
498,limping llama; friendly frog,gender,p2592,2
499,limping llama; friendly frog,gender,p2595,2
500,limping llama; friendly frog,year_birth,p0016,1970
501,limping llama; friendly frog,year_birth,p0022,1991
502,limping llama; friendly frog,year_birth,p0023,1958
503,limping llama; friendly frog,year_birth,p0026,1965
504,limping llama; friendly frog,year_birth,p0034,1950
505,limping llama; friendly frog,year_birth,p0036,1994
506,limping llama; friendly frog,year_birth,p0037,1969
507,limping llama; friendly frog,year_birth,p0042,1960
508,limping llama; friendly frog,year_birth,p0057,1981
509,limping llama; friendly frog,year_birth,p0066,1966
510,limping llama; friendly frog,year_birth,p0069,1986
511,limping llama; friendly frog,year_birth,p0072,1987
512,limping llama; friendly frog,year_birth,p0073,1982
513,limping llama; friendly frog,year_birth,p0082,1973
514,limping llama; friendly frog,year_birth,p0091,1995
515,limping llama; friendly frog,year_birth,p0092,1980
516,limping llama; friendly frog,year_birth,p0093,1947
517,limping llama; friendly frog,year_birth,p0095,1946
518,limping llama; friendly frog,year_birth,p0107,1964
519,limping llama; friendly frog,year_birth,p0114,1987
520,limping llama; friendly frog,year_birth,p0116,1986
521,limping llama; friendly frog,year_birth,p0118,1998
522,limping llama; friendly frog,year_birth,p0119,1989
523,limping llama; friendly frog,year_birth,p0126,1961
524,limping llama; friendly frog,year_birth,p0129,1951
525,limping llama; friendly frog,year_birth,p0136,1986
526,limping llama; friendly frog,year_birth,p0138,1947
527,limping llama; friendly frog,year_birth,p0144,1989
528,limping llama; friendly frog,year_birth,p0150,1975
529,limping llama; friendly frog,year_birth,p0152,1973
530,limping llama; friendly frog,year_birth,p0158,1948
531,limping llama; friendly frog,year_birth,p0161,1984
532,limping llama; friendly frog,year_birth,p0164,1955
533,limping llama; friendly frog,year_birth,p0175,1954
534,limping llama; friendly frog,year_birth,p0177,1972
535,limping llama; friendly frog,year_birth,p0178,1991
536,limping llama; friendly frog,year_birth,p0181,1970
537,limping llama; friendly frog,year_birth,p0186,1968
538,limping llama; friendly frog,year_birth,p0196,1993
539,limping llama; friendly frog,year_birth,p0198,1949
540,limping llama; friendly frog,year_birth,p0202,1950
541,limping llama; friendly frog,year_birth,p0205,1944
542,limping llama; friendly frog,year_birth,p0207,1932
543,limping llama; friendly frog,year_birth,p0211,1947
544,limping llama; friendly frog,year_birth,p0227,1978
545,limping llama; friendly frog,year_birth,p0229,1957
546,limping llama; friendly frog,year_birth,p0232,1939
547,limping llama; friendly frog,year_birth,p0233,1951
548,limping llama; friendly frog,year_birth,p0237,1984
549,limping llama; friendly frog,year_birth,p0258,1936
550,limping llama; friendly frog,year_birth,p0268,1927
551,limping llama; friendly frog,year_birth,p0274,1981
552,limping llama; friendly frog,year_birth,p0275,1970
553,limping llama; friendly frog,year_birth,p0277,1975
554,limping llama; friendly frog,year_birth,p0288,1970
555,limping llama; friendly frog,year_birth,p0291,1936
556,limping llama; friendly frog,year_birth,p0307,1996
557,limping llama; friendly frog,year_birth,p0308,1998
558,limping llama; friendly frog,year_birth,p0317,1960
559,limping llama; friendly frog,year_birth,p0325,1989
560,limping llama; friendly frog,year_birth,p0327,1958
561,limping llama; friendly frog,year_birth,p0334,1956
562,limping llama; friendly frog,year_birth,p0336,1987
563,limping llama; friendly frog,year_birth,p0338,1977
564,limping llama; friendly frog,year_birth,p0342,1981
565,limping llama; friendly frog,year_birth,p0349,1975
566,limping llama; friendly frog,year_birth,p0356,1991
567,limping llama; friendly frog,year_birth,p0358,1956
568,limping llama; friendly frog,year_birth,p0363,1956
569,limping llama; friendly frog,year_birth,p0364,1981
570,limping llama; friendly frog,year_birth,p0369,1989
571,limping llama; friendly frog,year_birth,p0370,1983
572,limping llama; friendly frog,year_birth,p0371,1959
573,limping llama; friendly frog,year_birth,p0379,1962
574,limping llama; friendly frog,year_birth,p0386,1986
575,limping llama; friendly frog,year_birth,p0396,1987
576,limping llama; friendly frog,year_birth,p0403,1988
577,limping llama; friendly frog,year_birth,p0405,1990
578,limping llama; friendly frog,year_birth,p0412,1963
579,limping llama; friendly frog,year_birth,p0415,1992
580,limping llama; friendly frog,year_birth,p0416,1982
581,limping llama; friendly frog,year_birth,p0417,1983
582,limping llama; friendly frog,year_birth,p0418,1952
583,limping llama; friendly frog,year_birth,p0430,1944
584,limping llama; friendly frog,year_birth,p0431,1998
585,limping llama; friendly frog,year_birth,p0434,1964
586,limping llama; friendly frog,year_birth,p0438,1977
587,limping llama; friendly frog,year_birth,p0441,1988
588,limping llama; friendly frog,year_birth,p0442,1994
589,limping llama; friendly frog,year_birth,p0449,1957
590,limping llama; friendly frog,year_birth,p0450,1951
591,limping llama; friendly frog,year_birth,p0465,1965
592,limping llama; friendly frog,year_birth,p0471,1987
593,limping llama; friendly frog,year_birth,p0477,1970
594,limping llama; friendly frog,year_birth,p0483,1993
595,limping llama; friendly frog,year_birth,p0486,1990
596,limping llama; friendly frog,year_birth,p0487,1983
597,limping llama; friendly frog,year_birth,p0489,1959
598,limping llama; friendly frog,year_birth,p0497,1946
599,limping llama; friendly frog,year_birth,p0502,1953
600,limping llama; friendly frog,year_birth,p0503,1991
601,limping llama; friendly frog,year_birth,p0506,1987
602,limping llama; friendly frog,year_birth,p0511,1989
603,limping llama; friendly frog,year_birth,p0523,1993
604,limping llama; friendly frog,year_birth,p0534,1954
605,limping llama; friendly frog,year_birth,p0536,1982
606,limping llama; friendly frog,year_birth,p0542,1948
607,limping llama; friendly frog,year_birth,p0547,1954
608,limping llama; friendly frog,year_birth,p0553,1966
609,limping llama; friendly frog,year_birth,p0559,1991
610,limping llama; friendly frog,year_birth,p0566,1984
611,limping llama; friendly frog,year_birth,p0568,1972
612,limping llama; friendly frog,year_birth,p0570,1977
613,limping llama; friendly frog,year_birth,p0573,1987
614,limping llama; friendly frog,year_birth,p0578,1967
615,limping llama; friendly frog,year_birth,p0594,1984
616,limping llama; friendly frog,year_birth,p0597,1958
617,limping llama; friendly frog,year_birth,p0601,1996
