,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,gender,p0016,2
42,crushing chicken; gross grasshopper; homely halibut,gender,p0207,1
43,crushing chicken; gross grasshopper; homely halibut,gender,p0211,1
44,crushing chicken; gross grasshopper; homely halibut,gender,p0227,2
45,crushing chicken; gross grasshopper; homely halibut,gender,p0229,1
46,crushing chicken; gross grasshopper; homely halibut,gender,p0232,1
47,crushing chicken; gross grasshopper; homely halibut,gender,p0233,2
48,crushing chicken; gross grasshopper; homely halibut,gender,p0237,1
49,crushing chicken; gross grasshopper; homely halibut,gender,p0258,1
50,crushing chicken; gross grasshopper; homely halibut,gender,p0268,1
51,crushing chicken; gross grasshopper; homely halibut,gender,p0274,1
52,crushing chicken; gross grasshopper; homely halibut,gender,p0275,1
53,crushing chicken; gross grasshopper; homely halibut,gender,p0277,1
54,crushing chicken; gross grasshopper; homely halibut,gender,p0288,1
55,crushing chicken; gross grasshopper; homely halibut,gender,p0291,1
56,crushing chicken; gross grasshopper; homely halibut,gender,p0307,1
57,crushing chicken; gross grasshopper; homely halibut,gender,p0308,1
58,crushing chicken; gross grasshopper; homely halibut,gender,p0317,1
59,crushing chicken; gross grasshopper; homely halibut,gender,p0325,2
60,crushing chicken; gross grasshopper; homely halibut,gender,p0327,1
61,crushing chicken; gross grasshopper; homely halibut,gender,p0334,1
62,crushing chicken; gross grasshopper; homely halibut,gender,p0336,1
63,crushing chicken; gross grasshopper; homely halibut,gender,p0338,1
64,crushing chicken; gross grasshopper; homely halibut,gender,p0342,1
65,crushing chicken; gross grasshopper; homely halibut,gender,p0349,1
66,crushing chicken; gross grasshopper; homely halibut,gender,p0356,2
67,crushing chicken; gross grasshopper; homely halibut,gender,p0358,1
68,crushing chicken; gross grasshopper; homely halibut,gender,p0363,1
69,crushing chicken; gross grasshopper; homely halibut,gender,p0364,1
70,crushing chicken; gross grasshopper; homely halibut,gender,p0369,2
71,crushing chicken; gross grasshopper; homely halibut,gender,p0370,2
72,crushing chicken; gross grasshopper; homely halibut,gender,p0371,1
73,crushing chicken; gross grasshopper; homely halibut,gender,p0379,1
74,crushing chicken; gross grasshopper; homely halibut,gender,p0386,1
75,crushing chicken; gross grasshopper; homely halibut,gender,p0396,2
76,crushing chicken; gross grasshopper; homely halibut,gender,p0403,2
77,crushing chicken; gross grasshopper; homely halibut,gender,p0405,2
78,crushing chicken; gross grasshopper; homely halibut,gender,p0412,1
79,crushing chicken; gross grasshopper; homely halibut,gender,p0415,1
80,crushing chicken; gross grasshopper; homely halibut,gender,p0416,1
81,crushing chicken; gross grasshopper; homely halibut,gender,p0417,1
82,crushing chicken; gross grasshopper; homely halibut,gender,p0418,2
83,crushing chicken; gross grasshopper; homely halibut,gender,p0430,1
84,crushing chicken; gross grasshopper; homely halibut,gender,p0431,2
85,crushing chicken; gross grasshopper; homely halibut,gender,p0434,2
86,crushing chicken; gross grasshopper; homely halibut,gender,p0438,2
87,crushing chicken; gross grasshopper; homely halibut,gender,p0441,2
88,crushing chicken; gross grasshopper; homely halibut,gender,p0442,2
89,crushing chicken; gross grasshopper; homely halibut,gender,p0449,1
90,crushing chicken; gross grasshopper; homely halibut,gender,p0450,2
91,crushing chicken; gross grasshopper; homely halibut,gender,p0465,1
92,crushing chicken; gross grasshopper; homely halibut,gender,p0471,2
93,crushing chicken; gross grasshopper; homely halibut,gender,p0477,2
94,crushing chicken; gross grasshopper; homely halibut,gender,p0483,2
95,crushing chicken; gross grasshopper; homely halibut,gender,p0486,1
96,crushing chicken; gross grasshopper; homely halibut,gender,p0487,1
97,crushing chicken; gross grasshopper; homely halibut,gender,p0489,1
98,crushing chicken; gross grasshopper; homely halibut,gender,p0497,1
99,crushing chicken; gross grasshopper; homely halibut,gender,p0502,1
100,crushing chicken; gross grasshopper; homely halibut,gender,p0503,2
101,crushing chicken; gross grasshopper; homely halibut,gender,p0506,1
102,crushing chicken; gross grasshopper; homely halibut,gender,p0511,1
103,crushing chicken; gross grasshopper; homely halibut,gender,p0523,2
104,crushing chicken; gross grasshopper; homely halibut,gender,p0534,1
105,crushing chicken; gross grasshopper; homely halibut,gender,p0536,1
106,crushing chicken; gross grasshopper; homely halibut,gender,p0542,1
107,crushing chicken; gross grasshopper; homely halibut,gender,p0547,2
108,crushing chicken; gross grasshopper; homely halibut,gender,p0553,1
109,crushing chicken; gross grasshopper; homely halibut,gender,p0559,2
110,crushing chicken; gross grasshopper; homely halibut,gender,p0566,1
111,crushing chicken; gross grasshopper; homely halibut,gender,p0568,2
112,crushing chicken; gross grasshopper; homely halibut,gender,p0570,1
113,crushing chicken; gross grasshopper; homely halibut,gender,p0573,2
114,crushing chicken; gross grasshopper; homely halibut,gender,p0578,1
115,crushing chicken; gross grasshopper; homely halibut,gender,p0594,1
116,crushing chicken; gross grasshopper; homely halibut,gender,p0597,1
117,crushing chicken; gross grasshopper; homely halibut,gender,p0601,1
118,crushing chicken; gross grasshopper; homely halibut,gender,p0602,2
119,crushing chicken; gross grasshopper; homely halibut,gender,p0605,1
120,crushing chicken; gross grasshopper; homely halibut,gender,p0615,1
121,crushing chicken; gross grasshopper; homely halibut,gender,p0620,1
122,crushing chicken; gross grasshopper; homely halibut,gender,p0626,2
123,crushing chicken; gross grasshopper; homely halibut,gender,p0629,2
124,crushing chicken; gross grasshopper; homely halibut,gender,p0633,2
125,crushing chicken; gross grasshopper; homely halibut,gender,p0638,2
126,crushing chicken; gross grasshopper; homely halibut,gender,p0639,1
127,crushing chicken; gross grasshopper; homely halibut,gender,p0640,2
128,crushing chicken; gross grasshopper; homely halibut,gender,p0655,2
129,crushing chicken; gross grasshopper; homely halibut,gender,p0656,1
130,crushing chicken; gross grasshopper; homely halibut,gender,p0658,1
131,crushing chicken; gross grasshopper; homely halibut,gender,p0661,1
132,crushing chicken; gross grasshopper; homely halibut,gender,p0669,1
133,crushing chicken; gross grasshopper; homely halibut,gender,p0670,2
134,crushing chicken; gross grasshopper; homely halibut,gender,p0672,2
135,crushing chicken; gross grasshopper; homely halibut,gender,p0674,1
136,crushing chicken; gross grasshopper; homely halibut,gender,p0678,1
137,crushing chicken; gross grasshopper; homely halibut,gender,p0683,2
138,crushing chicken; gross grasshopper; homely halibut,gender,p0686,1
139,crushing chicken; gross grasshopper; homely halibut,gender,p0687,1
140,crushing chicken; gross grasshopper; homely halibut,gender,p0698,2
141,crushing chicken; gross grasshopper; homely halibut,gender,p0700,1
142,crushing chicken; gross grasshopper; homely halibut,gender,p0703,1
143,crushing chicken; gross grasshopper; homely halibut,gender,p0718,1
144,crushing chicken; gross grasshopper; homely halibut,gender,p0744,2
145,crushing chicken; gross grasshopper; homely halibut,gender,p0745,1
146,crushing chicken; gross grasshopper; homely halibut,gender,p0753,2
147,crushing chicken; gross grasshopper; homely halibut,gender,p0770,1
148,crushing chicken; gross grasshopper; homely halibut,gender,p0771,1
149,crushing chicken; gross grasshopper; homely halibut,gender,p0777,1
150,crushing chicken; gross grasshopper; homely halibut,gender,p0779,1
151,crushing chicken; gross grasshopper; homely halibut,gender,p0780,2
152,crushing chicken; gross grasshopper; homely halibut,gender,p0783,1
153,crushing chicken; gross grasshopper; homely halibut,gender,p0785,2
154,crushing chicken; gross grasshopper; homely halibut,gender,p0786,2
155,crushing chicken; gross grasshopper; homely halibut,gender,p0794,1
156,crushing chicken; gross grasshopper; homely halibut,gender,p0798,1
157,crushing chicken; gross grasshopper; homely halibut,gender,p0800,1
158,crushing chicken; gross grasshopper; homely halibut,gender,p0820,2
159,crushing chicken; gross grasshopper; homely halibut,gender,p0841,2
160,crushing chicken; gross grasshopper; homely halibut,gender,p0849,1
161,crushing chicken; gross grasshopper; homely halibut,gender,p0862,1
162,crushing chicken; gross grasshopper; homely halibut,gender,p0867,2
163,crushing chicken; gross grasshopper; homely halibut,gender,p0869,1
164,crushing chicken; gross grasshopper; homely halibut,gender,p0872,1
165,crushing chicken; gross grasshopper; homely halibut,gender,p0880,2
166,crushing chicken; gross grasshopper; homely halibut,gender,p0891,1
167,crushing chicken; gross grasshopper; homely halibut,gender,p0916,2
168,crushing chicken; gross grasshopper; homely halibut,gender,p0917,2
169,crushing chicken; gross grasshopper; homely halibut,gender,p0919,2
170,crushing chicken; gross grasshopper; homely halibut,gender,p0922,2
171,crushing chicken; gross grasshopper; homely halibut,gender,p0925,2
172,crushing chicken; gross grasshopper; homely halibut,gender,p0927,1
173,crushing chicken; gross grasshopper; homely halibut,gender,p0929,2
174,crushing chicken; gross grasshopper; homely halibut,gender,p0930,1
175,crushing chicken; gross grasshopper; homely halibut,gender,p0931,2
176,crushing chicken; gross grasshopper; homely halibut,gender,p0933,2
177,crushing chicken; gross grasshopper; homely halibut,gender,p0934,2
178,crushing chicken; gross grasshopper; homely halibut,gender,p0936,2
179,crushing chicken; gross grasshopper; homely halibut,gender,p0938,1
180,crushing chicken; gross grasshopper; homely halibut,gender,p0939,2
181,crushing chicken; gross grasshopper; homely halibut,gender,p0946,1
182,crushing chicken; gross grasshopper; homely halibut,gender,p0951,1
183,crushing chicken; gross grasshopper; homely halibut,gender,p0956,2
184,crushing chicken; gross grasshopper; homely halibut,gender,p0962,2
185,crushing chicken; gross grasshopper; homely halibut,gender,p0963,1
186,crushing chicken; gross grasshopper; homely halibut,gender,p0969,1
187,crushing chicken; gross grasshopper; homely halibut,gender,p0972,1
188,crushing chicken; gross grasshopper; homely halibut,gender,p0975,1
189,crushing chicken; gross grasshopper; homely halibut,gender,p0985,2
190,crushing chicken; gross grasshopper; homely halibut,gender,p0993,1
191,crushing chicken; gross grasshopper; homely halibut,gender,p0996,2
192,crushing chicken; gross grasshopper; homely halibut,gender,p1011,1
193,crushing chicken; gross grasshopper; homely halibut,gender,p1017,2
194,crushing chicken; gross grasshopper; homely halibut,gender,p1020,1
195,crushing chicken; gross grasshopper; homely halibut,gender,p1022,1
196,crushing chicken; gross grasshopper; homely halibut,gender,p1024,2
197,crushing chicken; gross grasshopper; homely halibut,gender,p1027,1
198,crushing chicken; gross grasshopper; homely halibut,gender,p1028,1
199,crushing chicken; gross grasshopper; homely halibut,gender,p1029,2
200,crushing chicken; gross grasshopper; homely halibut,gender,p1032,1
201,crushing chicken; gross grasshopper; homely halibut,gender,p1040,1
202,crushing chicken; gross grasshopper; homely halibut,gender,p1047,1
203,crushing chicken; gross grasshopper; homely halibut,gender,p1048,1
204,crushing chicken; gross grasshopper; homely halibut,gender,p1053,2
205,crushing chicken; gross grasshopper; homely halibut,gender,p1057,1
206,crushing chicken; gross grasshopper; homely halibut,gender,p1058,2
207,crushing chicken; gross grasshopper; homely halibut,gender,p1063,1
208,crushing chicken; gross grasshopper; homely halibut,gender,p1064,2
209,crushing chicken; gross grasshopper; homely halibut,gender,p1065,1
210,crushing chicken; gross grasshopper; homely halibut,gender,p1069,2
211,crushing chicken; gross grasshopper; homely halibut,gender,p1072,1
212,crushing chicken; gross grasshopper; homely halibut,gender,p1073,1
213,crushing chicken; gross grasshopper; homely halibut,gender,p1075,2
214,crushing chicken; gross grasshopper; homely halibut,gender,p1076,2
215,crushing chicken; gross grasshopper; homely halibut,gender,p1083,2
216,crushing chicken; gross grasshopper; homely halibut,gender,p1089,1
217,crushing chicken; gross grasshopper; homely halibut,gender,p1093,1
218,crushing chicken; gross grasshopper; homely halibut,gender,p1096,2
219,crushing chicken; gross grasshopper; homely halibut,gender,p1100,1
220,crushing chicken; gross grasshopper; homely halibut,gender,p1106,2
221,crushing chicken; gross grasshopper; homely halibut,gender,p1107,2
222,crushing chicken; gross grasshopper; homely halibut,gender,p1113,1
223,crushing chicken; gross grasshopper; homely halibut,gender,p1117,1
224,crushing chicken; gross grasshopper; homely halibut,gender,p1120,1
225,crushing chicken; gross grasshopper; homely halibut,gender,p1134,1
226,crushing chicken; gross grasshopper; homely halibut,gender,p1136,1
227,crushing chicken; gross grasshopper; homely halibut,gender,p1138,2
228,crushing chicken; gross grasshopper; homely halibut,gender,p1144,1
229,crushing chicken; gross grasshopper; homely halibut,gender,p1145,1
230,crushing chicken; gross grasshopper; homely halibut,gender,p1147,2
231,crushing chicken; gross grasshopper; homely halibut,gender,p1148,1
232,crushing chicken; gross grasshopper; homely halibut,gender,p1154,2
233,crushing chicken; gross grasshopper; homely halibut,gender,p1159,1
234,crushing chicken; gross grasshopper; homely halibut,gender,p1167,1
235,crushing chicken; gross grasshopper; homely halibut,gender,p1175,2
236,crushing chicken; gross grasshopper; homely halibut,gender,p1178,2
237,crushing chicken; gross grasshopper; homely halibut,gender,p1184,2
238,crushing chicken; gross grasshopper; homely halibut,gender,p1186,1
239,crushing chicken; gross grasshopper; homely halibut,gender,p1196,1
240,crushing chicken; gross grasshopper; homely halibut,gender,p1197,2
241,crushing chicken; gross grasshopper; homely halibut,gender,p1203,1
242,crushing chicken; gross grasshopper; homely halibut,gender,p1219,2
243,crushing chicken; gross grasshopper; homely halibut,gender,p1225,1
244,crushing chicken; gross grasshopper; homely halibut,gender,p1234,2
245,crushing chicken; gross grasshopper; homely halibut,gender,p1242,1
246,crushing chicken; gross grasshopper; homely halibut,gender,p1244,1
247,crushing chicken; gross grasshopper; homely halibut,gender,p1249,2
248,crushing chicken; gross grasshopper; homely halibut,gender,p1250,1
249,crushing chicken; gross grasshopper; homely halibut,gender,p1256,1
250,crushing chicken; gross grasshopper; homely halibut,gender,p1258,2
251,crushing chicken; gross grasshopper; homely halibut,gender,p1260,1
252,crushing chicken; gross grasshopper; homely halibut,gender,p1262,1
253,crushing chicken; gross grasshopper; homely halibut,gender,p1264,2
254,crushing chicken; gross grasshopper; homely halibut,gender,p1265,2
255,crushing chicken; gross grasshopper; homely halibut,gender,p1269,1
256,crushing chicken; gross grasshopper; homely halibut,gender,p1272,2
257,crushing chicken; gross grasshopper; homely halibut,gender,p1278,1
258,crushing chicken; gross grasshopper; homely halibut,gender,p1281,2
259,crushing chicken; gross grasshopper; homely halibut,gender,p1292,1
260,crushing chicken; gross grasshopper; homely halibut,gender,p1299,2
261,crushing chicken; gross grasshopper; homely halibut,gender,p1312,2
262,crushing chicken; gross grasshopper; homely halibut,gender,p1322,1
263,crushing chicken; gross grasshopper; homely halibut,gender,p1326,2
264,crushing chicken; gross grasshopper; homely halibut,gender,p1330,2
265,crushing chicken; gross grasshopper; homely halibut,gender,p1335,2
266,crushing chicken; gross grasshopper; homely halibut,gender,p1337,1
267,crushing chicken; gross grasshopper; homely halibut,gender,p1340,1
268,crushing chicken; gross grasshopper; homely halibut,gender,p1345,1
269,crushing chicken; gross grasshopper; homely halibut,gender,p1351,1
270,crushing chicken; gross grasshopper; homely halibut,gender,p1355,2
271,crushing chicken; gross grasshopper; homely halibut,gender,p1362,2
272,crushing chicken; gross grasshopper; homely halibut,gender,p1365,1
273,crushing chicken; gross grasshopper; homely halibut,gender,p1366,2
274,crushing chicken; gross grasshopper; homely halibut,gender,p1367,1
275,crushing chicken; gross grasshopper; homely halibut,gender,p1370,2
276,crushing chicken; gross grasshopper; homely halibut,gender,p1371,1
277,crushing chicken; gross grasshopper; homely halibut,gender,p1373,2
278,crushing chicken; gross grasshopper; homely halibut,gender,p1375,2
279,crushing chicken; gross grasshopper; homely halibut,gender,p1376,2
280,crushing chicken; gross grasshopper; homely halibut,gender,p1379,2
281,crushing chicken; gross grasshopper; homely halibut,gender,p1381,2
282,crushing chicken; gross grasshopper; homely halibut,gender,p1393,2
283,crushing chicken; gross grasshopper; homely halibut,gender,p1396,2
284,crushing chicken; gross grasshopper; homely halibut,gender,p1398,1
285,crushing chicken; gross grasshopper; homely halibut,gender,p1404,2
286,crushing chicken; gross grasshopper; homely halibut,gender,p1406,1
287,crushing chicken; gross grasshopper; homely halibut,gender,p1407,2
288,crushing chicken; gross grasshopper; homely halibut,gender,p1409,1
289,crushing chicken; gross grasshopper; homely halibut,gender,p1412,1
290,crushing chicken; gross grasshopper; homely halibut,gender,p1414,1
291,crushing chicken; gross grasshopper; homely halibut,gender,p1424,1
292,crushing chicken; gross grasshopper; homely halibut,gender,p1425,1
293,crushing chicken; gross grasshopper; homely halibut,gender,p1429,2
294,crushing chicken; gross grasshopper; homely halibut,gender,p1434,1
295,crushing chicken; gross grasshopper; homely halibut,gender,p1441,1
296,crushing chicken; gross grasshopper; homely halibut,gender,p1445,1
297,crushing chicken; gross grasshopper; homely halibut,gender,p1450,1
298,crushing chicken; gross grasshopper; homely halibut,gender,p1454,1
299,crushing chicken; gross grasshopper; homely halibut,gender,p1456,1
300,crushing chicken; gross grasshopper; homely halibut,gender,p1457,2
301,crushing chicken; gross grasshopper; homely halibut,gender,p1458,1
302,crushing chicken; gross grasshopper; homely halibut,gender,p1469,1
303,crushing chicken; gross grasshopper; homely halibut,gender,p1470,1
304,crushing chicken; gross grasshopper; homely halibut,gender,p1481,1
305,crushing chicken; gross grasshopper; homely halibut,gender,p1488,2
306,crushing chicken; gross grasshopper; homely halibut,gender,p1492,1
307,crushing chicken; gross grasshopper; homely halibut,gender,p1495,1
308,crushing chicken; gross grasshopper; homely halibut,gender,p1497,2
309,crushing chicken; gross grasshopper; homely halibut,gender,p1499,1
310,crushing chicken; gross grasshopper; homely halibut,gender,p1503,1
311,crushing chicken; gross grasshopper; homely halibut,gender,p1511,1
312,crushing chicken; gross grasshopper; homely halibut,gender,p1512,2
313,crushing chicken; gross grasshopper; homely halibut,gender,p1518,2
314,crushing chicken; gross grasshopper; homely halibut,gender,p1519,2
315,crushing chicken; gross grasshopper; homely halibut,gender,p1520,2
316,crushing chicken; gross grasshopper; homely halibut,gender,p1524,2
317,crushing chicken; gross grasshopper; homely halibut,gender,p1526,2
318,crushing chicken; gross grasshopper; homely halibut,gender,p1537,1
319,crushing chicken; gross grasshopper; homely halibut,gender,p1545,2
320,crushing chicken; gross grasshopper; homely halibut,gender,p1547,2
321,crushing chicken; gross grasshopper; homely halibut,gender,p1552,1
322,crushing chicken; gross grasshopper; homely halibut,gender,p1567,1
323,crushing chicken; gross grasshopper; homely halibut,gender,p1568,2
324,crushing chicken; gross grasshopper; homely halibut,gender,p1579,2
325,crushing chicken; gross grasshopper; homely halibut,gender,p1587,2
326,crushing chicken; gross grasshopper; homely halibut,gender,p1596,1
327,crushing chicken; gross grasshopper; homely halibut,gender,p1600,1
328,crushing chicken; gross grasshopper; homely halibut,gender,p1603,2
329,crushing chicken; gross grasshopper; homely halibut,gender,p1604,2
330,crushing chicken; gross grasshopper; homely halibut,gender,p1610,2
331,crushing chicken; gross grasshopper; homely halibut,gender,p1618,1
332,crushing chicken; gross grasshopper; homely halibut,gender,p1619,1
333,crushing chicken; gross grasshopper; homely halibut,gender,p1622,1
334,crushing chicken; gross grasshopper; homely halibut,gender,p1623,1
335,crushing chicken; gross grasshopper; homely halibut,gender,p1630,1
336,crushing chicken; gross grasshopper; homely halibut,gender,p1641,1
337,crushing chicken; gross grasshopper; homely halibut,gender,p1649,1
338,crushing chicken; gross grasshopper; homely halibut,gender,p1652,1
339,crushing chicken; gross grasshopper; homely halibut,gender,p1665,1
340,crushing chicken; gross grasshopper; homely halibut,gender,p1669,1
341,crushing chicken; gross grasshopper; homely halibut,gender,p1685,1
342,crushing chicken; gross grasshopper; homely halibut,gender,p1693,2
343,crushing chicken; gross grasshopper; homely halibut,gender,p1698,1
344,crushing chicken; gross grasshopper; homely halibut,gender,p1704,1
345,crushing chicken; gross grasshopper; homely halibut,gender,p1711,1
346,crushing chicken; gross grasshopper; homely halibut,gender,p1718,1
347,crushing chicken; gross grasshopper; homely halibut,gender,p1732,1
348,crushing chicken; gross grasshopper; homely halibut,gender,p1739,1
349,crushing chicken; gross grasshopper; homely halibut,gender,p1741,1
350,crushing chicken; gross grasshopper; homely halibut,gender,p1746,1
351,crushing chicken; gross grasshopper; homely halibut,gender,p1751,1
352,crushing chicken; gross grasshopper; homely halibut,gender,p1754,2
353,crushing chicken; gross grasshopper; homely halibut,gender,p1769,2
354,crushing chicken; gross grasshopper; homely halibut,gender,p1771,2
355,crushing chicken; gross grasshopper; homely halibut,gender,p1776,1
356,crushing chicken; gross grasshopper; homely halibut,gender,p1780,1
357,crushing chicken; gross grasshopper; homely halibut,gender,p1785,2
358,crushing chicken; gross grasshopper; homely halibut,gender,p1791,1
359,crushing chicken; gross grasshopper; homely halibut,gender,p1793,1
360,crushing chicken; gross grasshopper; homely halibut,gender,p1796,1
361,crushing chicken; gross grasshopper; homely halibut,gender,p1805,1
362,crushing chicken; gross grasshopper; homely halibut,gender,p1812,1
363,crushing chicken; gross grasshopper; homely halibut,gender,p1816,2
364,crushing chicken; gross grasshopper; homely halibut,gender,p1819,1
365,crushing chicken; gross grasshopper; homely halibut,gender,p1825,1
366,crushing chicken; gross grasshopper; homely halibut,gender,p1836,1
367,crushing chicken; gross grasshopper; homely halibut,gender,p1839,2
368,crushing chicken; gross grasshopper; homely halibut,gender,p1861,1
369,crushing chicken; gross grasshopper; homely halibut,gender,p1863,1
370,crushing chicken; gross grasshopper; homely halibut,gender,p1873,1
371,crushing chicken; gross grasshopper; homely halibut,gender,p1875,1
372,crushing chicken; gross grasshopper; homely halibut,gender,p1876,2
373,crushing chicken; gross grasshopper; homely halibut,gender,p1877,2
374,crushing chicken; gross grasshopper; homely halibut,gender,p1880,2
375,crushing chicken; gross grasshopper; homely halibut,gender,p1883,1
376,crushing chicken; gross grasshopper; homely halibut,gender,p1889,1
377,crushing chicken; gross grasshopper; homely halibut,gender,p1893,1
378,crushing chicken; gross grasshopper; homely halibut,gender,p1896,1
379,crushing chicken; gross grasshopper; homely halibut,gender,p1913,1
380,crushing chicken; gross grasshopper; homely halibut,gender,p1922,1
381,crushing chicken; gross grasshopper; homely halibut,gender,p1930,1
382,crushing chicken; gross grasshopper; homely halibut,gender,p1935,1
383,crushing chicken; gross grasshopper; homely halibut,gender,p1940,1
384,crushing chicken; gross grasshopper; homely halibut,gender,p1948,2
385,crushing chicken; gross grasshopper; homely halibut,gender,p1950,2
386,crushing chicken; gross grasshopper; homely halibut,gender,p1954,1
387,crushing chicken; gross grasshopper; homely halibut,gender,p1956,2
388,crushing chicken; gross grasshopper; homely halibut,gender,p1958,1
389,crushing chicken; gross grasshopper; homely halibut,gender,p1967,2
390,crushing chicken; gross grasshopper; homely halibut,gender,p1973,1
391,crushing chicken; gross grasshopper; homely halibut,gender,p1978,1
392,crushing chicken; gross grasshopper; homely halibut,gender,p1983,1
393,crushing chicken; gross grasshopper; homely halibut,gender,p1984,2
394,crushing chicken; gross grasshopper; homely halibut,gender,p1995,1
395,crushing chicken; gross grasshopper; homely halibut,gender,p1996,2
396,crushing chicken; gross grasshopper; homely halibut,gender,p1997,1
397,crushing chicken; gross grasshopper; homely halibut,gender,p2001,2
398,crushing chicken; gross grasshopper; homely halibut,gender,p2002,2
399,crushing chicken; gross grasshopper; homely halibut,gender,p2013,2
400,crushing chicken; gross grasshopper; homely halibut,gender,p2014,2
401,crushing chicken; gross grasshopper; homely halibut,gender,p2016,1
402,crushing chicken; gross grasshopper; homely halibut,gender,p2018,1
403,crushing chicken; gross grasshopper; homely halibut,gender,p2023,2
404,crushing chicken; gross grasshopper; homely halibut,gender,p2025,1
405,crushing chicken; gross grasshopper; homely halibut,gender,p2028,1
406,crushing chicken; gross grasshopper; homely halibut,gender,p2030,2
407,crushing chicken; gross grasshopper; homely halibut,gender,p2033,1
408,crushing chicken; gross grasshopper; homely halibut,gender,p2040,1
409,crushing chicken; gross grasshopper; homely halibut,gender,p2051,2
410,crushing chicken; gross grasshopper; homely halibut,gender,p2052,1
411,crushing chicken; gross grasshopper; homely halibut,gender,p2066,1
412,crushing chicken; gross grasshopper; homely halibut,gender,p2067,1
413,crushing chicken; gross grasshopper; homely halibut,gender,p2073,1
414,crushing chicken; gross grasshopper; homely halibut,gender,p2077,2
415,crushing chicken; gross grasshopper; homely halibut,gender,p2078,2
416,crushing chicken; gross grasshopper; homely halibut,gender,p2086,1
417,crushing chicken; gross grasshopper; homely halibut,gender,p2089,1
418,crushing chicken; gross grasshopper; homely halibut,gender,p2093,1
419,crushing chicken; gross grasshopper; homely halibut,gender,p2094,2
420,crushing chicken; gross grasshopper; homely halibut,gender,p2111,2
421,crushing chicken; gross grasshopper; homely halibut,gender,p2117,2
422,crushing chicken; gross grasshopper; homely halibut,gender,p2121,1
423,crushing chicken; gross grasshopper; homely halibut,gender,p2127,1
424,crushing chicken; gross grasshopper; homely halibut,gender,p2141,1
425,crushing chicken; gross grasshopper; homely halibut,gender,p2142,2
426,crushing chicken; gross grasshopper; homely halibut,gender,p2143,1
427,crushing chicken; gross grasshopper; homely halibut,gender,p2153,2
428,crushing chicken; gross grasshopper; homely halibut,gender,p2155,2
429,crushing chicken; gross grasshopper; homely halibut,gender,p2169,1
430,crushing chicken; gross grasshopper; homely halibut,gender,p2187,1
431,crushing chicken; gross grasshopper; homely halibut,gender,p2188,1
432,crushing chicken; gross grasshopper; homely halibut,gender,p2197,2
433,crushing chicken; gross grasshopper; homely halibut,gender,p2213,2
434,crushing chicken; gross grasshopper; homely halibut,gender,p2214,2
