,condition,outcome,persona,response
0,giant gibbon; brick bobcat,gender,p0016,2
75,giant gibbon; brick bobcat,gender,p0396,2
76,giant gibbon; brick bobcat,gender,p0403,2
77,giant gibbon; brick bobcat,gender,p0405,2
78,giant gibbon; brick bobcat,gender,p0412,1
79,giant gibbon; brick bobcat,gender,p0415,1
80,giant gibbon; brick bobcat,gender,p0416,1
81,giant gibbon; brick bobcat,gender,p0417,1
82,giant gibbon; brick bobcat,gender,p0418,2
83,giant gibbon; brick bobcat,gender,p0430,1
84,giant gibbon; brick bobcat,gender,p0431,2
85,giant gibbon; brick bobcat,gender,p0434,2
86,giant gibbon; brick bobcat,gender,p0438,2
87,giant gibbon; brick bobcat,gender,p0441,2
88,giant gibbon; brick bobcat,gender,p0442,2
89,giant gibbon; brick bobcat,gender,p0449,1
90,giant gibbon; brick bobcat,gender,p0450,2
91,giant gibbon; brick bobcat,gender,p0465,1
92,giant gibbon; brick bobcat,gender,p0471,2
93,giant gibbon; brick bobcat,gender,p0477,2
94,giant gibbon; brick bobcat,gender,p0483,2
95,giant gibbon; brick bobcat,gender,p0486,1
96,giant gibbon; brick bobcat,gender,p0487,1
97,giant gibbon; brick bobcat,gender,p0489,1
98,giant gibbon; brick bobcat,gender,p0497,1
99,giant gibbon; brick bobcat,gender,p0502,1
100,giant gibbon; brick bobcat,gender,p0503,2
101,giant gibbon; brick bobcat,gender,p0506,1
102,giant gibbon; brick bobcat,gender,p0511,1
103,giant gibbon; brick bobcat,gender,p0523,2
104,giant gibbon; brick bobcat,gender,p0534,1
105,giant gibbon; brick bobcat,gender,p0536,1
106,giant gibbon; brick bobcat,gender,p0542,1
107,giant gibbon; brick bobcat,gender,p0547,2
108,giant gibbon; brick bobcat,gender,p0553,1
109,giant gibbon; brick bobcat,gender,p0559,2
110,giant gibbon; brick bobcat,gender,p0566,1
111,giant gibbon; brick bobcat,gender,p0568,2
112,giant gibbon; brick bobcat,gender,p0570,1
113,giant gibbon; brick bobcat,gender,p0573,2
114,giant gibbon; brick bobcat,gender,p0578,1
115,giant gibbon; brick bobcat,gender,p0594,1
116,giant gibbon; brick bobcat,gender,p0597,1
117,giant gibbon; brick bobcat,gender,p0601,1
118,giant gibbon; brick bobcat,gender,p0602,2
119,giant gibbon; brick bobcat,gender,p0605,1
120,giant gibbon; brick bobcat,gender,p0615,1
121,giant gibbon; brick bobcat,gender,p0620,1
122,giant gibbon; brick bobcat,gender,p0626,2
123,giant gibbon; brick bobcat,gender,p0629,2
124,giant gibbon; brick bobcat,gender,p0633,2
125,giant gibbon; brick bobcat,gender,p0638,2
126,giant gibbon; brick bobcat,gender,p0639,1
127,giant gibbon; brick bobcat,gender,p0640,2
128,giant gibbon; brick bobcat,gender,p0655,2
129,giant gibbon; brick bobcat,gender,p0656,1
130,giant gibbon; brick bobcat,gender,p0658,1
131,giant gibbon; brick bobcat,gender,p0661,1
132,giant gibbon; brick bobcat,gender,p0669,1
133,giant gibbon; brick bobcat,gender,p0670,2
134,giant gibbon; brick bobcat,gender,p0672,2
135,giant gibbon; brick bobcat,gender,p0674,1
136,giant gibbon; brick bobcat,gender,p0678,1
137,giant gibbon; brick bobcat,gender,p0683,2
138,giant gibbon; brick bobcat,gender,p0686,1
139,giant gibbon; brick bobcat,gender,p0687,1
140,giant gibbon; brick bobcat,gender,p0698,2
141,giant gibbon; brick bobcat,gender,p0700,1
142,giant gibbon; brick bobcat,gender,p0703,1
143,giant gibbon; brick bobcat,gender,p0718,1
144,giant gibbon; brick bobcat,gender,p0744,2
145,giant gibbon; brick bobcat,gender,p0745,1
146,giant gibbon; brick bobcat,gender,p0753,2
147,giant gibbon; brick bobcat,gender,p0770,1
148,giant gibbon; brick bobcat,gender,p0771,1
149,giant gibbon; brick bobcat,gender,p0777,1
150,giant gibbon; brick bobcat,gender,p0779,1
151,giant gibbon; brick bobcat,gender,p0780,2
152,giant gibbon; brick bobcat,gender,p0783,1
153,giant gibbon; brick bobcat,gender,p0785,2
154,giant gibbon; brick bobcat,gender,p0786,2
155,giant gibbon; brick bobcat,gender,p0794,1
156,giant gibbon; brick bobcat,gender,p0798,1
157,giant gibbon; brick bobcat,gender,p0800,1
158,giant gibbon; brick bobcat,gender,p0820,2
159,giant gibbon; brick bobcat,gender,p0841,2
160,giant gibbon; brick bobcat,gender,p0849,1
161,giant gibbon; brick bobcat,gender,p0862,1
162,giant gibbon; brick bobcat,gender,p0867,2
163,giant gibbon; brick bobcat,gender,p0869,1
164,giant gibbon; brick bobcat,gender,p0872,1
165,giant gibbon; brick bobcat,gender,p0880,2
166,giant gibbon; brick bobcat,gender,p0891,1
167,giant gibbon; brick bobcat,gender,p0916,2
168,giant gibbon; brick bobcat,gender,p0917,2
169,giant gibbon; brick bobcat,gender,p0919,2
170,giant gibbon; brick bobcat,gender,p0922,2
171,giant gibbon; brick bobcat,gender,p0925,2
172,giant gibbon; brick bobcat,gender,p0927,1
173,giant gibbon; brick bobcat,gender,p0929,2
174,giant gibbon; brick bobcat,gender,p0930,1
175,giant gibbon; brick bobcat,gender,p0931,2
176,giant gibbon; brick bobcat,gender,p0933,2
177,giant gibbon; brick bobcat,gender,p0934,2
178,giant gibbon; brick bobcat,gender,p0936,2
179,giant gibbon; brick bobcat,gender,p0938,1
180,giant gibbon; brick bobcat,gender,p0939,2
181,giant gibbon; brick bobcat,gender,p0946,1
182,giant gibbon; brick bobcat,gender,p0951,1
183,giant gibbon; brick bobcat,gender,p0956,2
184,giant gibbon; brick bobcat,gender,p0962,2
185,giant gibbon; brick bobcat,gender,p0963,1
186,giant gibbon; brick bobcat,gender,p0969,1
187,giant gibbon; brick bobcat,gender,p0972,1
188,giant gibbon; brick bobcat,gender,p0975,1
189,giant gibbon; brick bobcat,gender,p0985,2
190,giant gibbon; brick bobcat,gender,p0993,1
191,giant gibbon; brick bobcat,gender,p0996,2
192,giant gibbon; brick bobcat,gender,p1011,1
193,giant gibbon; brick bobcat,gender,p1017,2
194,giant gibbon; brick bobcat,gender,p1020,1
195,giant gibbon; brick bobcat,gender,p1022,1
196,giant gibbon; brick bobcat,gender,p1024,2
197,giant gibbon; brick bobcat,gender,p1027,1
198,giant gibbon; brick bobcat,gender,p1028,1
199,giant gibbon; brick bobcat,gender,p1029,2
200,giant gibbon; brick bobcat,gender,p1032,1
201,giant gibbon; brick bobcat,gender,p1040,1
202,giant gibbon; brick bobcat,gender,p1047,1
203,giant gibbon; brick bobcat,gender,p1048,1
204,giant gibbon; brick bobcat,gender,p1053,2
205,giant gibbon; brick bobcat,gender,p1057,1
206,giant gibbon; brick bobcat,gender,p1058,2
207,giant gibbon; brick bobcat,gender,p1063,1
208,giant gibbon; brick bobcat,gender,p1064,2
209,giant gibbon; brick bobcat,gender,p1065,1
210,giant gibbon; brick bobcat,gender,p1069,2
211,giant gibbon; brick bobcat,gender,p1072,1
212,giant gibbon; brick bobcat,gender,p1073,1
213,giant gibbon; brick bobcat,gender,p1075,2
214,giant gibbon; brick bobcat,gender,p1076,2
215,giant gibbon; brick bobcat,gender,p1083,2
216,giant gibbon; brick bobcat,gender,p1089,1
217,giant gibbon; brick bobcat,gender,p1093,1
218,giant gibbon; brick bobcat,gender,p1096,2
219,giant gibbon; brick bobcat,gender,p1100,1
220,giant gibbon; brick bobcat,gender,p1106,2
221,giant gibbon; brick bobcat,gender,p1107,2
222,giant gibbon; brick bobcat,gender,p1113,1
223,giant gibbon; brick bobcat,gender,p1117,1
224,giant gibbon; brick bobcat,gender,p1120,1
225,giant gibbon; brick bobcat,gender,p1134,1
226,giant gibbon; brick bobcat,gender,p1136,1
227,giant gibbon; brick bobcat,gender,p1138,2
228,giant gibbon; brick bobcat,gender,p1144,1
229,giant gibbon; brick bobcat,gender,p1145,1
230,giant gibbon; brick bobcat,gender,p1147,2
231,giant gibbon; brick bobcat,gender,p1148,1
232,giant gibbon; brick bobcat,gender,p1154,2
233,giant gibbon; brick bobcat,gender,p1159,1
234,giant gibbon; brick bobcat,gender,p1167,1
235,giant gibbon; brick bobcat,gender,p1175,2
236,giant gibbon; brick bobcat,gender,p1178,2
237,giant gibbon; brick bobcat,gender,p1184,2
238,giant gibbon; brick bobcat,gender,p1186,1
239,giant gibbon; brick bobcat,gender,p1196,1
240,giant gibbon; brick bobcat,gender,p1197,2
241,giant gibbon; brick bobcat,gender,p1203,1
242,giant gibbon; brick bobcat,gender,p1219,2
243,giant gibbon; brick bobcat,gender,p1225,1
244,giant gibbon; brick bobcat,gender,p1234,2
245,giant gibbon; brick bobcat,gender,p1242,1
246,giant gibbon; brick bobcat,gender,p1244,1
247,giant gibbon; brick bobcat,gender,p1249,2
248,giant gibbon; brick bobcat,gender,p1250,1
249,giant gibbon; brick bobcat,gender,p1256,1
250,giant gibbon; brick bobcat,gender,p1258,2
251,giant gibbon; brick bobcat,gender,p1260,1
252,giant gibbon; brick bobcat,gender,p1262,1
253,giant gibbon; brick bobcat,gender,p1264,2
254,giant gibbon; brick bobcat,gender,p1265,2
255,giant gibbon; brick bobcat,gender,p1269,1
256,giant gibbon; brick bobcat,gender,p1272,2
257,giant gibbon; brick bobcat,gender,p1278,1
258,giant gibbon; brick bobcat,gender,p1281,2
259,giant gibbon; brick bobcat,gender,p1292,1
260,giant gibbon; brick bobcat,gender,p1299,2
261,giant gibbon; brick bobcat,gender,p1312,2
262,giant gibbon; brick bobcat,gender,p1322,1
263,giant gibbon; brick bobcat,gender,p1326,2
264,giant gibbon; brick bobcat,gender,p1330,2
265,giant gibbon; brick bobcat,gender,p1335,2
266,giant gibbon; brick bobcat,gender,p1337,1
267,giant gibbon; brick bobcat,gender,p1340,1
268,giant gibbon; brick bobcat,gender,p1345,1
269,giant gibbon; brick bobcat,gender,p1351,1
270,giant gibbon; brick bobcat,gender,p1355,2
271,giant gibbon; brick bobcat,gender,p1362,2
272,giant gibbon; brick bobcat,gender,p1365,1
273,giant gibbon; brick bobcat,gender,p1366,2
274,giant gibbon; brick bobcat,gender,p1367,1
275,giant gibbon; brick bobcat,gender,p1370,2
276,giant gibbon; brick bobcat,gender,p1371,1
277,giant gibbon; brick bobcat,gender,p1373,2
278,giant gibbon; brick bobcat,gender,p1375,2
279,giant gibbon; brick bobcat,gender,p1376,2
280,giant gibbon; brick bobcat,gender,p1379,2
281,giant gibbon; brick bobcat,gender,p1381,2
282,giant gibbon; brick bobcat,gender,p1393,2
283,giant gibbon; brick bobcat,gender,p1396,2
284,giant gibbon; brick bobcat,gender,p1398,1
285,giant gibbon; brick bobcat,gender,p1404,2
286,giant gibbon; brick bobcat,gender,p1406,1
287,giant gibbon; brick bobcat,gender,p1407,2
288,giant gibbon; brick bobcat,gender,p1409,1
289,giant gibbon; brick bobcat,gender,p1412,1
290,giant gibbon; brick bobcat,gender,p1414,1
291,giant gibbon; brick bobcat,gender,p1424,1
292,giant gibbon; brick bobcat,gender,p1425,1
293,giant gibbon; brick bobcat,gender,p1429,2
294,giant gibbon; brick bobcat,gender,p1434,1
295,giant gibbon; brick bobcat,gender,p1441,1
296,giant gibbon; brick bobcat,gender,p1445,1
297,giant gibbon; brick bobcat,gender,p1450,1
298,giant gibbon; brick bobcat,gender,p1454,1
299,giant gibbon; brick bobcat,gender,p1456,1
300,giant gibbon; brick bobcat,gender,p1457,2
301,giant gibbon; brick bobcat,gender,p1458,1
302,giant gibbon; brick bobcat,gender,p1469,1
303,giant gibbon; brick bobcat,gender,p1470,1
304,giant gibbon; brick bobcat,gender,p1481,1
305,giant gibbon; brick bobcat,gender,p1488,2
306,giant gibbon; brick bobcat,gender,p1492,1
307,giant gibbon; brick bobcat,gender,p1495,1
308,giant gibbon; brick bobcat,gender,p1497,2
309,giant gibbon; brick bobcat,gender,p1499,1
310,giant gibbon; brick bobcat,gender,p1503,1
311,giant gibbon; brick bobcat,gender,p1511,1
312,giant gibbon; brick bobcat,gender,p1512,2
313,giant gibbon; brick bobcat,gender,p1518,2
314,giant gibbon; brick bobcat,gender,p1519,2
315,giant gibbon; brick bobcat,gender,p1520,2
316,giant gibbon; brick bobcat,gender,p1524,2
317,giant gibbon; brick bobcat,gender,p1526,2
318,giant gibbon; brick bobcat,gender,p1537,1
319,giant gibbon; brick bobcat,gender,p1545,2
320,giant gibbon; brick bobcat,gender,p1547,2
321,giant gibbon; brick bobcat,gender,p1552,1
322,giant gibbon; brick bobcat,gender,p1567,1
323,giant gibbon; brick bobcat,gender,p1568,2
324,giant gibbon; brick bobcat,gender,p1579,2
325,giant gibbon; brick bobcat,gender,p1587,2
326,giant gibbon; brick bobcat,gender,p1596,1
327,giant gibbon; brick bobcat,gender,p1600,1
328,giant gibbon; brick bobcat,gender,p1603,2
329,giant gibbon; brick bobcat,gender,p1604,2
330,giant gibbon; brick bobcat,gender,p1610,2
331,giant gibbon; brick bobcat,gender,p1618,1
332,giant gibbon; brick bobcat,gender,p1619,1
333,giant gibbon; brick bobcat,gender,p1622,1
334,giant gibbon; brick bobcat,gender,p1623,1
335,giant gibbon; brick bobcat,gender,p1630,1
336,giant gibbon; brick bobcat,gender,p1641,1
337,giant gibbon; brick bobcat,gender,p1649,1
338,giant gibbon; brick bobcat,gender,p1652,1
339,giant gibbon; brick bobcat,gender,p1665,1
340,giant gibbon; brick bobcat,gender,p1669,1
341,giant gibbon; brick bobcat,gender,p1685,1
342,giant gibbon; brick bobcat,gender,p1693,2
343,giant gibbon; brick bobcat,gender,p1698,1
344,giant gibbon; brick bobcat,gender,p1704,1
345,giant gibbon; brick bobcat,gender,p1711,1
346,giant gibbon; brick bobcat,gender,p1718,1
347,giant gibbon; brick bobcat,gender,p1732,1
348,giant gibbon; brick bobcat,gender,p1739,1
349,giant gibbon; brick bobcat,gender,p1741,1
350,giant gibbon; brick bobcat,gender,p1746,1
351,giant gibbon; brick bobcat,gender,p1751,1
352,giant gibbon; brick bobcat,gender,p1754,2
353,giant gibbon; brick bobcat,gender,p1769,2
354,giant gibbon; brick bobcat,gender,p1771,2
355,giant gibbon; brick bobcat,gender,p1776,1
356,giant gibbon; brick bobcat,gender,p1780,1
357,giant gibbon; brick bobcat,gender,p1785,2
358,giant gibbon; brick bobcat,gender,p1791,1
359,giant gibbon; brick bobcat,gender,p1793,1
360,giant gibbon; brick bobcat,gender,p1796,1
361,giant gibbon; brick bobcat,gender,p1805,1
362,giant gibbon; brick bobcat,gender,p1812,1
363,giant gibbon; brick bobcat,gender,p1816,2
364,giant gibbon; brick bobcat,gender,p1819,1
365,giant gibbon; brick bobcat,gender,p1825,1
366,giant gibbon; brick bobcat,gender,p1836,1
367,giant gibbon; brick bobcat,gender,p1839,2
368,giant gibbon; brick bobcat,gender,p1861,1
369,giant gibbon; brick bobcat,gender,p1863,1
370,giant gibbon; brick bobcat,gender,p1873,1
371,giant gibbon; brick bobcat,gender,p1875,1
372,giant gibbon; brick bobcat,gender,p1876,2
373,giant gibbon; brick bobcat,gender,p1877,2
374,giant gibbon; brick bobcat,gender,p1880,2
375,giant gibbon; brick bobcat,gender,p1883,1
376,giant gibbon; brick bobcat,gender,p1889,1
377,giant gibbon; brick bobcat,gender,p1893,1
378,giant gibbon; brick bobcat,gender,p1896,1
379,giant gibbon; brick bobcat,gender,p1913,1
380,giant gibbon; brick bobcat,gender,p1922,1
381,giant gibbon; brick bobcat,gender,p1930,1
382,giant gibbon; brick bobcat,gender,p1935,1
383,giant gibbon; brick bobcat,gender,p1940,1
384,giant gibbon; brick bobcat,gender,p1948,2
385,giant gibbon; brick bobcat,gender,p1950,2
386,giant gibbon; brick bobcat,gender,p1954,1
387,giant gibbon; brick bobcat,gender,p1956,2
388,giant gibbon; brick bobcat,gender,p1958,1
389,giant gibbon; brick bobcat,gender,p1967,2
390,giant gibbon; brick bobcat,gender,p1973,1
391,giant gibbon; brick bobcat,gender,p1978,1
392,giant gibbon; brick bobcat,gender,p1983,1
393,giant gibbon; brick bobcat,gender,p1984,2
394,giant gibbon; brick bobcat,gender,p1995,1
395,giant gibbon; brick bobcat,gender,p1996,2
396,giant gibbon; brick bobcat,gender,p1997,1
397,giant gibbon; brick bobcat,gender,p2001,2
398,giant gibbon; brick bobcat,gender,p2002,2
399,giant gibbon; brick bobcat,gender,p2013,2
400,giant gibbon; brick bobcat,gender,p2014,2
401,giant gibbon; brick bobcat,gender,p2016,1
402,giant gibbon; brick bobcat,gender,p2018,1
403,giant gibbon; brick bobcat,gender,p2023,2
404,giant gibbon; brick bobcat,gender,p2025,1
405,giant gibbon; brick bobcat,gender,p2028,1
406,giant gibbon; brick bobcat,gender,p2030,2
407,giant gibbon; brick bobcat,gender,p2033,1
408,giant gibbon; brick bobcat,gender,p2040,1
409,giant gibbon; brick bobcat,gender,p2051,2
410,giant gibbon; brick bobcat,gender,p2052,1
411,giant gibbon; brick bobcat,gender,p2066,1
412,giant gibbon; brick bobcat,gender,p2067,1
413,giant gibbon; brick bobcat,gender,p2073,1
414,giant gibbon; brick bobcat,gender,p2077,2
415,giant gibbon; brick bobcat,gender,p2078,2
416,giant gibbon; brick bobcat,gender,p2086,1
417,giant gibbon; brick bobcat,gender,p2089,1
418,giant gibbon; brick bobcat,gender,p2093,1
419,giant gibbon; brick bobcat,gender,p2094,2
420,giant gibbon; brick bobcat,gender,p2111,2
421,giant gibbon; brick bobcat,gender,p2117,2
422,giant gibbon; brick bobcat,gender,p2121,1
423,giant gibbon; brick bobcat,gender,p2127,1
424,giant gibbon; brick bobcat,gender,p2141,1
425,giant gibbon; brick bobcat,gender,p2142,2
426,giant gibbon; brick bobcat,gender,p2143,1
427,giant gibbon; brick bobcat,gender,p2153,2
428,giant gibbon; brick bobcat,gender,p2155,2
429,giant gibbon; brick bobcat,gender,p2169,1
430,giant gibbon; brick bobcat,gender,p2187,1
431,giant gibbon; brick bobcat,gender,p2188,1
432,giant gibbon; brick bobcat,gender,p2197,2
433,giant gibbon; brick bobcat,gender,p2213,2
434,giant gibbon; brick bobcat,gender,p2214,2
435,giant gibbon; brick bobcat,gender,p2215,2
436,giant gibbon; brick bobcat,gender,p2220,1
437,giant gibbon; brick bobcat,gender,p2223,2
438,giant gibbon; brick bobcat,gender,p2229,1
439,giant gibbon; brick bobcat,gender,p2234,2
440,giant gibbon; brick bobcat,gender,p2237,2
441,giant gibbon; brick bobcat,gender,p2238,1
442,giant gibbon; brick bobcat,gender,p2244,2
443,giant gibbon; brick bobcat,gender,p2248,2
444,giant gibbon; brick bobcat,gender,p2252,1
445,giant gibbon; brick bobcat,gender,p2255,1
446,giant gibbon; brick bobcat,gender,p2261,1
447,giant gibbon; brick bobcat,gender,p2263,2
448,giant gibbon; brick bobcat,gender,p2273,2
449,giant gibbon; brick bobcat,gender,p2275,2
450,giant gibbon; brick bobcat,gender,p2276,2
451,giant gibbon; brick bobcat,gender,p2283,2
452,giant gibbon; brick bobcat,gender,p2287,2
453,giant gibbon; brick bobcat,gender,p2296,1
454,giant gibbon; brick bobcat,gender,p2298,1
455,giant gibbon; brick bobcat,gender,p2304,1
456,giant gibbon; brick bobcat,gender,p2310,2
457,giant gibbon; brick bobcat,gender,p2322,2
458,giant gibbon; brick bobcat,gender,p2326,2
459,giant gibbon; brick bobcat,gender,p2330,2
460,giant gibbon; brick bobcat,gender,p2331,1
461,giant gibbon; brick bobcat,gender,p2333,1
462,giant gibbon; brick bobcat,gender,p2347,2
463,giant gibbon; brick bobcat,gender,p2350,2
464,giant gibbon; brick bobcat,gender,p2351,1
465,giant gibbon; brick bobcat,gender,p2353,2
466,giant gibbon; brick bobcat,gender,p2355,2
467,giant gibbon; brick bobcat,gender,p2363,2
468,giant gibbon; brick bobcat,gender,p2378,2
469,giant gibbon; brick bobcat,gender,p2380,1
470,giant gibbon; brick bobcat,gender,p2387,2
471,giant gibbon; brick bobcat,gender,p2398,1
472,giant gibbon; brick bobcat,gender,p2400,1
473,giant gibbon; brick bobcat,gender,p2403,2
474,giant gibbon; brick bobcat,gender,p2408,2
475,giant gibbon; brick bobcat,gender,p2418,2
476,giant gibbon; brick bobcat,gender,p2426,1
477,giant gibbon; brick bobcat,gender,p2428,2
478,giant gibbon; brick bobcat,gender,p2434,2
479,giant gibbon; brick bobcat,gender,p2446,1
480,giant gibbon; brick bobcat,gender,p2452,1
481,giant gibbon; brick bobcat,gender,p2454,2
482,giant gibbon; brick bobcat,gender,p2462,1
483,giant gibbon; brick bobcat,gender,p2467,1
484,giant gibbon; brick bobcat,gender,p2482,2
485,giant gibbon; brick bobcat,gender,p2489,1
486,giant gibbon; brick bobcat,gender,p2490,2
487,giant gibbon; brick bobcat,gender,p2494,2
488,giant gibbon; brick bobcat,gender,p2502,1
489,giant gibbon; brick bobcat,gender,p2503,2
490,giant gibbon; brick bobcat,gender,p2522,1
491,giant gibbon; brick bobcat,gender,p2524,1
492,giant gibbon; brick bobcat,gender,p2533,2
493,giant gibbon; brick bobcat,gender,p2566,2
494,giant gibbon; brick bobcat,gender,p2571,1
495,giant gibbon; brick bobcat,gender,p2573,1
496,giant gibbon; brick bobcat,gender,p2582,1
497,giant gibbon; brick bobcat,gender,p2591,1
498,giant gibbon; brick bobcat,gender,p2592,2
499,giant gibbon; brick bobcat,gender,p2595,2
500,giant gibbon; brick bobcat,year_birth,p0016,1970
501,giant gibbon; brick bobcat,year_birth,p0022,1991
502,giant gibbon; brick bobcat,year_birth,p0023,1958
503,giant gibbon; brick bobcat,year_birth,p0026,1965
504,giant gibbon; brick bobcat,year_birth,p0034,1950
505,giant gibbon; brick bobcat,year_birth,p0036,1994
506,giant gibbon; brick bobcat,year_birth,p0037,1969
507,giant gibbon; brick bobcat,year_birth,p0042,1960
508,giant gibbon; brick bobcat,year_birth,p0057,1981
509,giant gibbon; brick bobcat,year_birth,p0066,1966
510,giant gibbon; brick bobcat,year_birth,p0069,1986
511,giant gibbon; brick bobcat,year_birth,p0072,1987
512,giant gibbon; brick bobcat,year_birth,p0073,1982
513,giant gibbon; brick bobcat,year_birth,p0082,1973
514,giant gibbon; brick bobcat,year_birth,p0091,1995
515,giant gibbon; brick bobcat,year_birth,p0092,1980
516,giant gibbon; brick bobcat,year_birth,p0093,1947
517,giant gibbon; brick bobcat,year_birth,p0095,1946
518,giant gibbon; brick bobcat,year_birth,p0107,1964
519,giant gibbon; brick bobcat,year_birth,p0114,1987
520,giant gibbon; brick bobcat,year_birth,p0116,1986
521,giant gibbon; brick bobcat,year_birth,p0118,1998
522,giant gibbon; brick bobcat,year_birth,p0119,1989
523,giant gibbon; brick bobcat,year_birth,p0126,1961
524,giant gibbon; brick bobcat,year_birth,p0129,1951
525,giant gibbon; brick bobcat,year_birth,p0136,1986
526,giant gibbon; brick bobcat,year_birth,p0138,1947
527,giant gibbon; brick bobcat,year_birth,p0144,1989
528,giant gibbon; brick bobcat,year_birth,p0150,1975
529,giant gibbon; brick bobcat,year_birth,p0152,1973
530,giant gibbon; brick bobcat,year_birth,p0158,1948
531,giant gibbon; brick bobcat,year_birth,p0161,1984
532,giant gibbon; brick bobcat,year_birth,p0164,1955
533,giant gibbon; brick bobcat,year_birth,p0175,1954
534,giant gibbon; brick bobcat,year_birth,p0177,1972
535,giant gibbon; brick bobcat,year_birth,p0178,1991
536,giant gibbon; brick bobcat,year_birth,p0181,1970
537,giant gibbon; brick bobcat,year_birth,p0186,1968
538,giant gibbon; brick bobcat,year_birth,p0196,1993
539,giant gibbon; brick bobcat,year_birth,p0198,1949
540,giant gibbon; brick bobcat,year_birth,p0202,1950
541,giant gibbon; brick bobcat,year_birth,p0205,1944
542,giant gibbon; brick bobcat,year_birth,p0207,1932
543,giant gibbon; brick bobcat,year_birth,p0211,1947
544,giant gibbon; brick bobcat,year_birth,p0227,1978
545,giant gibbon; brick bobcat,year_birth,p0229,1957
546,giant gibbon; brick bobcat,year_birth,p0232,1939
547,giant gibbon; brick bobcat,year_birth,p0233,1951
548,giant gibbon; brick bobcat,year_birth,p0237,1984
549,giant gibbon; brick bobcat,year_birth,p0258,1936
550,giant gibbon; brick bobcat,year_birth,p0268,1927
