,condition,outcome,persona,response
0,limping llama; friendly frog,trust_competent_1,p0016,75
275,limping llama; friendly frog,trust_competent_1,p1370,72
276,limping llama; friendly frog,trust_competent_1,p1371,75
277,limping llama; friendly frog,trust_competent_1,p1373,68
278,limping llama; friendly frog,trust_competent_1,p1375,65
279,limping llama; friendly frog,trust_competent_1,p1376,65
280,limping llama; friendly frog,trust_competent_1,p1379,68
281,limping llama; friendly frog,trust_competent_1,p1381,65
282,limping llama; friendly frog,trust_competent_1,p1393,68
283,limping llama; friendly frog,trust_competent_1,p1396,78
284,limping llama; friendly frog,trust_competent_1,p1398,65
285,limping llama; friendly frog,trust_competent_1,p1404,68
286,limping llama; friendly frog,trust_competent_1,p1406,68
287,limping llama; friendly frog,trust_competent_1,p1407,68
288,limping llama; friendly frog,trust_competent_1,p1409,68
289,limping llama; friendly frog,trust_competent_1,p1412,68
290,limping llama; friendly frog,trust_competent_1,p1414,78
291,limping llama; friendly frog,trust_competent_1,p1424,68
292,limping llama; friendly frog,trust_competent_1,p1425,65
293,limping llama; friendly frog,trust_competent_1,p1429,65
294,limping llama; friendly frog,trust_competent_1,p1434,75
295,limping llama; friendly frog,trust_competent_1,p1441,68
296,limping llama; friendly frog,trust_competent_1,p1445,68
297,limping llama; friendly frog,trust_competent_1,p1450,75
298,limping llama; friendly frog,trust_competent_1,p1454,78
299,limping llama; friendly frog,trust_competent_1,p1456,65
300,limping llama; friendly frog,trust_competent_1,p1457,68
301,limping llama; friendly frog,trust_competent_1,p1458,75
302,limping llama; friendly frog,trust_competent_1,p1469,68
303,limping llama; friendly frog,trust_competent_1,p1470,68
304,limping llama; friendly frog,trust_competent_1,p1481,75
305,limping llama; friendly frog,trust_competent_1,p1488,65
306,limping llama; friendly frog,trust_competent_1,p1492,68
307,limping llama; friendly frog,trust_competent_1,p1495,68
308,limping llama; friendly frog,trust_competent_1,p1497,68
309,limping llama; friendly frog,trust_competent_1,p1499,68
310,limping llama; friendly frog,trust_competent_1,p1503,78
311,limping llama; friendly frog,trust_competent_1,p1511,75
312,limping llama; friendly frog,trust_competent_1,p1512,68
313,limping llama; friendly frog,trust_competent_1,p1518,68
314,limping llama; friendly frog,trust_competent_1,p1519,65
315,limping llama; friendly frog,trust_competent_1,p1520,68
316,limping llama; friendly frog,trust_competent_1,p1524,72
317,limping llama; friendly frog,trust_competent_1,p1526,65
318,limping llama; friendly frog,trust_competent_1,p1537,68
319,limping llama; friendly frog,trust_competent_1,p1545,68
320,limping llama; friendly frog,trust_competent_1,p1547,68
321,limping llama; friendly frog,trust_competent_1,p1552,65
322,limping llama; friendly frog,trust_competent_1,p1567,68
323,limping llama; friendly frog,trust_competent_1,p1568,68
324,limping llama; friendly frog,trust_competent_1,p1579,45
325,limping llama; friendly frog,trust_competent_1,p1587,45
326,limping llama; friendly frog,trust_competent_1,p1596,65
327,limping llama; friendly frog,trust_competent_1,p1600,78
328,limping llama; friendly frog,trust_competent_1,p1603,68
329,limping llama; friendly frog,trust_competent_1,p1604,72
330,limping llama; friendly frog,trust_competent_1,p1610,68
331,limping llama; friendly frog,trust_competent_1,p1618,68
332,limping llama; friendly frog,trust_competent_1,p1619,78
333,limping llama; friendly frog,trust_competent_1,p1622,68
334,limping llama; friendly frog,trust_competent_1,p1623,45
335,limping llama; friendly frog,trust_competent_1,p1630,65
336,limping llama; friendly frog,trust_competent_1,p1641,68
337,limping llama; friendly frog,trust_competent_1,p1649,68
338,limping llama; friendly frog,trust_competent_1,p1652,68
339,limping llama; friendly frog,trust_competent_1,p1665,65
340,limping llama; friendly frog,trust_competent_1,p1669,65
341,limping llama; friendly frog,trust_competent_1,p1685,68
342,limping llama; friendly frog,trust_competent_1,p1693,65
343,limping llama; friendly frog,trust_competent_1,p1698,68
344,limping llama; friendly frog,trust_competent_1,p1704,65
345,limping llama; friendly frog,trust_competent_1,p1711,78
346,limping llama; friendly frog,trust_competent_1,p1718,55
347,limping llama; friendly frog,trust_competent_1,p1732,65
348,limping llama; friendly frog,trust_competent_1,p1739,75
349,limping llama; friendly frog,trust_competent_1,p1741,75
350,limping llama; friendly frog,trust_competent_1,p1746,65
351,limping llama; friendly frog,trust_competent_1,p1751,65
352,limping llama; friendly frog,trust_competent_1,p1754,65
353,limping llama; friendly frog,trust_competent_1,p1769,75
354,limping llama; friendly frog,trust_competent_1,p1771,72
355,limping llama; friendly frog,trust_competent_1,p1776,68
356,limping llama; friendly frog,trust_competent_1,p1780,78
357,limping llama; friendly frog,trust_competent_1,p1785,65
358,limping llama; friendly frog,trust_competent_1,p1791,75
359,limping llama; friendly frog,trust_competent_1,p1793,68
360,limping llama; friendly frog,trust_competent_1,p1796,68
361,limping llama; friendly frog,trust_competent_1,p1805,68
362,limping llama; friendly frog,trust_competent_1,p1812,78
363,limping llama; friendly frog,trust_competent_1,p1816,68
364,limping llama; friendly frog,trust_competent_1,p1819,78
365,limping llama; friendly frog,trust_competent_1,p1825,75
366,limping llama; friendly frog,trust_competent_1,p1836,78
367,limping llama; friendly frog,trust_competent_1,p1839,78
368,limping llama; friendly frog,trust_competent_1,p1861,68
369,limping llama; friendly frog,trust_competent_1,p1863,78
370,limping llama; friendly frog,trust_competent_1,p1873,68
371,limping llama; friendly frog,trust_competent_1,p1875,65
372,limping llama; friendly frog,trust_competent_1,p1876,78
373,limping llama; friendly frog,trust_competent_1,p1877,78
374,limping llama; friendly frog,trust_competent_1,p1880,65
375,limping llama; friendly frog,trust_competent_1,p1883,68
376,limping llama; friendly frog,trust_competent_1,p1889,65
377,limping llama; friendly frog,trust_competent_1,p1893,68
378,limping llama; friendly frog,trust_competent_1,p1896,75
379,limping llama; friendly frog,trust_competent_1,p1913,68
380,limping llama; friendly frog,trust_competent_1,p1922,75
381,limping llama; friendly frog,trust_competent_1,p1930,75
382,limping llama; friendly frog,trust_competent_1,p1935,75
383,limping llama; friendly frog,trust_competent_1,p1940,78
384,limping llama; friendly frog,trust_competent_1,p1948,65
385,limping llama; friendly frog,trust_competent_1,p1950,65
386,limping llama; friendly frog,trust_competent_1,p1954,68
387,limping llama; friendly frog,trust_competent_1,p1956,62
388,limping llama; friendly frog,trust_competent_1,p1958,72
389,limping llama; friendly frog,trust_competent_1,p1967,75
390,limping llama; friendly frog,trust_competent_1,p1973,78
391,limping llama; friendly frog,trust_competent_1,p1978,68
392,limping llama; friendly frog,trust_competent_1,p1983,68
393,limping llama; friendly frog,trust_competent_1,p1984,68
394,limping llama; friendly frog,trust_competent_1,p1995,68
395,limping llama; friendly frog,trust_competent_1,p1996,68
396,limping llama; friendly frog,trust_competent_1,p1997,68
397,limping llama; friendly frog,trust_competent_1,p2001,78
398,limping llama; friendly frog,trust_competent_1,p2002,65
399,limping llama; friendly frog,trust_competent_1,p2013,75
400,limping llama; friendly frog,trust_competent_1,p2014,65
401,limping llama; friendly frog,trust_competent_1,p2016,75
402,limping llama; friendly frog,trust_competent_1,p2018,65
403,limping llama; friendly frog,trust_competent_1,p2023,78
404,limping llama; friendly frog,trust_competent_1,p2025,65
405,limping llama; friendly frog,trust_competent_1,p2028,68
406,limping llama; friendly frog,trust_competent_1,p2030,78
407,limping llama; friendly frog,trust_competent_1,p2033,68
408,limping llama; friendly frog,trust_competent_1,p2040,45
409,limping llama; friendly frog,trust_competent_1,p2051,65
410,limping llama; friendly frog,trust_competent_1,p2052,78
411,limping llama; friendly frog,trust_competent_1,p2066,68
412,limping llama; friendly frog,trust_competent_1,p2067,75
413,limping llama; friendly frog,trust_competent_1,p2073,75
414,limping llama; friendly frog,trust_competent_1,p2077,68
415,limping llama; friendly frog,trust_competent_1,p2078,68
416,limping llama; friendly frog,trust_competent_1,p2086,78
417,limping llama; friendly frog,trust_competent_1,p2089,78
418,limping llama; friendly frog,trust_competent_1,p2093,65
419,limping llama; friendly frog,trust_competent_1,p2094,78
420,limping llama; friendly frog,trust_competent_1,p2111,68
421,limping llama; friendly frog,trust_competent_1,p2117,75
422,limping llama; friendly frog,trust_competent_1,p2121,78
423,limping llama; friendly frog,trust_competent_1,p2127,68
424,limping llama; friendly frog,trust_competent_1,p2141,65
425,limping llama; friendly frog,trust_competent_1,p2142,45
426,limping llama; friendly frog,trust_competent_1,p2143,75
427,limping llama; friendly frog,trust_competent_1,p2153,65
428,limping llama; friendly frog,trust_competent_1,p2155,68
429,limping llama; friendly frog,trust_competent_1,p2169,65
430,limping llama; friendly frog,trust_competent_1,p2187,68
431,limping llama; friendly frog,trust_competent_1,p2188,75
432,limping llama; friendly frog,trust_competent_1,p2197,68
433,limping llama; friendly frog,trust_competent_1,p2213,68
434,limping llama; friendly frog,trust_competent_1,p2214,68
435,limping llama; friendly frog,trust_competent_1,p2215,75
436,limping llama; friendly frog,trust_competent_1,p2220,68
437,limping llama; friendly frog,trust_competent_1,p2223,68
438,limping llama; friendly frog,trust_competent_1,p2229,68
439,limping llama; friendly frog,trust_competent_1,p2234,68
440,limping llama; friendly frog,trust_competent_1,p2237,75
441,limping llama; friendly frog,trust_competent_1,p2238,68
442,limping llama; friendly frog,trust_competent_1,p2244,65
443,limping llama; friendly frog,trust_competent_1,p2248,68
444,limping llama; friendly frog,trust_competent_1,p2252,78
445,limping llama; friendly frog,trust_competent_1,p2255,45
446,limping llama; friendly frog,trust_competent_1,p2261,45
447,limping llama; friendly frog,trust_competent_1,p2263,68
448,limping llama; friendly frog,trust_competent_1,p2273,72
449,limping llama; friendly frog,trust_competent_1,p2275,68
450,limping llama; friendly frog,trust_competent_1,p2276,68
451,limping llama; friendly frog,trust_competent_1,p2283,45
452,limping llama; friendly frog,trust_competent_1,p2287,65
453,limping llama; friendly frog,trust_competent_1,p2296,62
454,limping llama; friendly frog,trust_competent_1,p2298,65
455,limping llama; friendly frog,trust_competent_1,p2304,68
456,limping llama; friendly frog,trust_competent_1,p2310,68
457,limping llama; friendly frog,trust_competent_1,p2322,65
458,limping llama; friendly frog,trust_competent_1,p2326,68
459,limping llama; friendly frog,trust_competent_1,p2330,65
460,limping llama; friendly frog,trust_competent_1,p2331,65
461,limping llama; friendly frog,trust_competent_1,p2333,68
462,limping llama; friendly frog,trust_competent_1,p2347,75
463,limping llama; friendly frog,trust_competent_1,p2350,65
464,limping llama; friendly frog,trust_competent_1,p2351,68
465,limping llama; friendly frog,trust_competent_1,p2353,65
466,limping llama; friendly frog,trust_competent_1,p2355,65
467,limping llama; friendly frog,trust_competent_1,p2363,65
468,limping llama; friendly frog,trust_competent_1,p2378,78
469,limping llama; friendly frog,trust_competent_1,p2380,75
470,limping llama; friendly frog,trust_competent_1,p2387,68
471,limping llama; friendly frog,trust_competent_1,p2398,72
472,limping llama; friendly frog,trust_competent_1,p2400,75
473,limping llama; friendly frog,trust_competent_1,p2403,75
474,limping llama; friendly frog,trust_competent_1,p2408,45
475,limping llama; friendly frog,trust_competent_1,p2418,68
476,limping llama; friendly frog,trust_competent_1,p2426,68
477,limping llama; friendly frog,trust_competent_1,p2428,65
478,limping llama; friendly frog,trust_competent_1,p2434,75
479,limping llama; friendly frog,trust_competent_1,p2446,68
480,limping llama; friendly frog,trust_competent_1,p2452,65
481,limping llama; friendly frog,trust_competent_1,p2454,68
482,limping llama; friendly frog,trust_competent_1,p2462,68
483,limping llama; friendly frog,trust_competent_1,p2467,45
484,limping llama; friendly frog,trust_competent_1,p2482,68
485,limping llama; friendly frog,trust_competent_1,p2489,65
486,limping llama; friendly frog,trust_competent_1,p2490,65
487,limping llama; friendly frog,trust_competent_1,p2494,65
488,limping llama; friendly frog,trust_competent_1,p2502,68
489,limping llama; friendly frog,trust_competent_1,p2503,68
490,limping llama; friendly frog,trust_competent_1,p2522,75
491,limping llama; friendly frog,trust_competent_1,p2524,75
492,limping llama; friendly frog,trust_competent_1,p2533,45
493,limping llama; friendly frog,trust_competent_1,p2566,65
494,limping llama; friendly frog,trust_competent_1,p2571,78
495,limping llama; friendly frog,trust_competent_1,p2573,65
496,limping llama; friendly frog,trust_competent_1,p2582,68
497,limping llama; friendly frog,trust_competent_1,p2591,65
498,limping llama; friendly frog,trust_competent_1,p2592,68
499,limping llama; friendly frog,trust_competent_1,p2595,45
500,limping llama; friendly frog,trust_intelligent_1,p0016,78
501,limping llama; friendly frog,trust_intelligent_1,p0022,75
502,limping llama; friendly frog,trust_intelligent_1,p0023,78
503,limping llama; friendly frog,trust_intelligent_1,p0026,75
504,limping llama; friendly frog,trust_intelligent_1,p0034,68
505,limping llama; friendly frog,trust_intelligent_1,p0036,75
506,limping llama; friendly frog,trust_intelligent_1,p0037,75
507,limping llama; friendly frog,trust_intelligent_1,p0042,78
508,limping llama; friendly frog,trust_intelligent_1,p0057,75
509,limping llama; friendly frog,trust_intelligent_1,p0066,78
510,limping llama; friendly frog,trust_intelligent_1,p0069,75
511,limping llama; friendly frog,trust_intelligent_1,p0072,78
512,limping llama; friendly frog,trust_intelligent_1,p0073,75
513,limping llama; friendly frog,trust_intelligent_1,p0082,75
514,limping llama; friendly frog,trust_intelligent_1,p0091,75
