,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0016,75
128,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0655,78
129,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0656,72
130,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0658,68
131,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0661,68
132,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0669,78
133,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0670,68
134,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0672,72
135,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0674,78
136,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0678,78
137,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0683,78
138,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0686,68
139,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0687,78
140,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0698,75
141,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0700,72
142,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0703,72
143,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0718,68
144,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0744,78
145,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0745,78
146,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0753,65
147,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0770,78
148,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0771,72
149,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0777,78
150,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0779,78
151,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0780,65
152,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0783,68
153,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0785,68
154,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0786,65
155,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0794,65
156,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0798,65
157,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0800,78
158,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0820,65
159,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0841,68
160,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0849,68
161,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0862,78
162,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0867,72
163,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0869,78
164,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0872,78
165,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0880,72
166,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0891,75
167,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0916,78
168,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0917,78
169,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0919,78
170,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0922,68
171,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0925,68
172,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0927,78
173,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0929,68
174,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0930,75
175,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0931,68
176,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0933,68
177,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0934,68
178,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0936,78
179,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0938,78
180,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0939,68
181,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0946,68
182,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0951,68
183,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0956,72
184,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0962,78
185,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0963,78
186,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0969,72
187,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0972,68
188,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0975,68
189,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0985,65
190,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0993,75
191,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0996,68
192,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1011,68
193,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1017,68
194,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1020,75
195,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1022,78
196,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1024,65
197,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1027,78
198,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1028,78
199,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1029,55
200,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1032,75
201,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1040,78
202,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1047,65
203,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1048,68
204,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1053,65
205,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1057,75
206,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1058,72
207,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1063,68
208,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1064,78
209,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1065,68
210,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1069,75
211,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1072,78
212,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1073,68
213,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1075,75
214,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1076,65
215,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1083,68
216,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1089,78
217,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1093,78
218,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1096,78
219,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1100,75
220,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1106,75
221,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1107,68
222,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1113,78
223,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1117,65
224,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1120,68
225,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1134,78
226,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1136,68
227,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1138,72
228,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1144,65
229,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1145,78
230,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1147,78
231,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1148,78
232,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1154,78
233,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1159,78
234,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1167,78
235,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1175,75
236,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1178,68
237,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1184,72
238,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1186,78
239,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1196,65
240,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1197,68
241,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1203,78
242,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1219,68
243,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1225,68
244,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1234,68
245,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1242,75
246,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1244,75
247,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1249,68
248,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1250,78
249,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1256,78
250,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1258,78
251,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1260,65
252,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1262,75
253,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1264,72
254,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1265,78
255,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1269,75
256,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1272,75
257,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1278,78
258,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1281,68
259,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1292,68
260,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1299,68
261,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1312,68
262,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1322,75
263,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1326,72
264,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1330,75
265,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1335,78
266,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1337,78
267,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1340,78
268,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1345,75
269,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1351,68
270,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1355,68
271,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1362,75
272,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1365,68
273,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1366,65
274,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1367,68
275,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1370,78
276,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1371,78
277,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1373,72
278,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1375,68
279,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1376,68
280,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1379,72
281,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1381,68
282,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1393,78
283,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1396,78
284,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1398,68
285,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1404,75
286,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1406,72
287,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1407,68
288,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1409,72
289,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1412,72
290,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1414,78
291,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1424,78
292,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1425,68
293,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1429,68
294,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1434,75
295,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1441,68
296,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1445,75
297,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1450,75
298,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1454,78
299,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1456,68
300,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1457,68
301,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1458,78
302,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1469,68
303,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1470,75
304,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1481,75
305,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1488,68
306,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1492,68
307,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1495,75
308,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1497,78
309,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1499,68
310,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1503,72
311,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1511,78
312,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1512,68
313,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1518,75
314,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1519,68
315,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1520,65
316,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1524,72
317,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1526,75
318,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1537,78
319,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1545,75
320,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1547,78
321,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1552,75
322,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1567,75
323,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1568,68
324,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1579,45
325,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1587,55
326,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1596,68
327,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1600,78
328,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1603,68
329,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1604,78
330,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1610,68
331,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1618,75
332,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1619,78
333,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1622,78
334,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1623,65
335,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1630,55
336,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1641,75
337,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1649,65
338,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1652,68
339,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1665,68
340,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1669,68
341,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1685,75
342,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1693,68
343,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1698,78
344,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1704,68
345,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1711,78
346,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1718,65
347,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1732,68
348,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1739,78
349,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1741,75
350,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1746,65
351,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1751,68
352,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1754,75
353,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1769,75
354,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1771,78
355,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1776,68
356,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1780,78
357,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1785,65
358,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1791,75
359,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1793,75
360,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1796,65
361,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1805,68
362,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1812,78
363,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1816,65
364,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1819,78
365,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1825,75
366,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1836,78
367,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1839,78
368,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1861,78
369,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1863,78
370,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1873,68
371,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1875,68
372,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1876,78
373,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1877,78
374,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1880,68
375,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p1883,68
