,condition,outcome,persona,response
0,giant gibbon; brick bobcat,trust_competent_1,p0016,78
76,giant gibbon; brick bobcat,trust_competent_1,p0403,78
77,giant gibbon; brick bobcat,trust_competent_1,p0405,75
78,giant gibbon; brick bobcat,trust_competent_1,p0412,78
79,giant gibbon; brick bobcat,trust_competent_1,p0415,68
80,giant gibbon; brick bobcat,trust_competent_1,p0416,75
81,giant gibbon; brick bobcat,trust_competent_1,p0417,78
82,giant gibbon; brick bobcat,trust_competent_1,p0418,68
83,giant gibbon; brick bobcat,trust_competent_1,p0430,78
84,giant gibbon; brick bobcat,trust_competent_1,p0431,75
85,giant gibbon; brick bobcat,trust_competent_1,p0434,45
86,giant gibbon; brick bobcat,trust_competent_1,p0438,75
87,giant gibbon; brick bobcat,trust_competent_1,p0441,78
88,giant gibbon; brick bobcat,trust_competent_1,p0442,45
89,giant gibbon; brick bobcat,trust_competent_1,p0449,65
90,giant gibbon; brick bobcat,trust_competent_1,p0450,85
91,giant gibbon; brick bobcat,trust_competent_1,p0465,68
92,giant gibbon; brick bobcat,trust_competent_1,p0471,78
93,giant gibbon; brick bobcat,trust_competent_1,p0477,78
94,giant gibbon; brick bobcat,trust_competent_1,p0483,72
95,giant gibbon; brick bobcat,trust_competent_1,p0486,78
96,giant gibbon; brick bobcat,trust_competent_1,p0487,75
97,giant gibbon; brick bobcat,trust_competent_1,p0489,75
98,giant gibbon; brick bobcat,trust_competent_1,p0497,68
99,giant gibbon; brick bobcat,trust_competent_1,p0502,68
100,giant gibbon; brick bobcat,trust_competent_1,p0503,75
101,giant gibbon; brick bobcat,trust_competent_1,p0506,68
102,giant gibbon; brick bobcat,trust_competent_1,p0511,78
103,giant gibbon; brick bobcat,trust_competent_1,p0523,78
104,giant gibbon; brick bobcat,trust_competent_1,p0534,78
105,giant gibbon; brick bobcat,trust_competent_1,p0536,78
106,giant gibbon; brick bobcat,trust_competent_1,p0542,68
107,giant gibbon; brick bobcat,trust_competent_1,p0547,78
108,giant gibbon; brick bobcat,trust_competent_1,p0553,78
109,giant gibbon; brick bobcat,trust_competent_1,p0559,78
110,giant gibbon; brick bobcat,trust_competent_1,p0566,75
111,giant gibbon; brick bobcat,trust_competent_1,p0568,78
112,giant gibbon; brick bobcat,trust_competent_1,p0570,45
113,giant gibbon; brick bobcat,trust_competent_1,p0573,72
114,giant gibbon; brick bobcat,trust_competent_1,p0578,65
115,giant gibbon; brick bobcat,trust_competent_1,p0594,65
116,giant gibbon; brick bobcat,trust_competent_1,p0597,75
117,giant gibbon; brick bobcat,trust_competent_1,p0601,75
118,giant gibbon; brick bobcat,trust_competent_1,p0602,65
119,giant gibbon; brick bobcat,trust_competent_1,p0605,68
120,giant gibbon; brick bobcat,trust_competent_1,p0615,78
121,giant gibbon; brick bobcat,trust_competent_1,p0620,78
122,giant gibbon; brick bobcat,trust_competent_1,p0626,78
123,giant gibbon; brick bobcat,trust_competent_1,p0629,78
124,giant gibbon; brick bobcat,trust_competent_1,p0633,72
125,giant gibbon; brick bobcat,trust_competent_1,p0638,78
126,giant gibbon; brick bobcat,trust_competent_1,p0639,75
127,giant gibbon; brick bobcat,trust_competent_1,p0640,68
128,giant gibbon; brick bobcat,trust_competent_1,p0655,75
129,giant gibbon; brick bobcat,trust_competent_1,p0656,78
130,giant gibbon; brick bobcat,trust_competent_1,p0658,68
131,giant gibbon; brick bobcat,trust_competent_1,p0661,65
132,giant gibbon; brick bobcat,trust_competent_1,p0669,78
133,giant gibbon; brick bobcat,trust_competent_1,p0670,65
134,giant gibbon; brick bobcat,trust_competent_1,p0672,78
135,giant gibbon; brick bobcat,trust_competent_1,p0674,78
136,giant gibbon; brick bobcat,trust_competent_1,p0678,78
137,giant gibbon; brick bobcat,trust_competent_1,p0683,75
138,giant gibbon; brick bobcat,trust_competent_1,p0686,68
139,giant gibbon; brick bobcat,trust_competent_1,p0687,78
140,giant gibbon; brick bobcat,trust_competent_1,p0698,68
141,giant gibbon; brick bobcat,trust_competent_1,p0700,68
142,giant gibbon; brick bobcat,trust_competent_1,p0703,65
143,giant gibbon; brick bobcat,trust_competent_1,p0718,68
144,giant gibbon; brick bobcat,trust_competent_1,p0744,78
145,giant gibbon; brick bobcat,trust_competent_1,p0745,75
146,giant gibbon; brick bobcat,trust_competent_1,p0753,65
147,giant gibbon; brick bobcat,trust_competent_1,p0770,75
148,giant gibbon; brick bobcat,trust_competent_1,p0771,78
149,giant gibbon; brick bobcat,trust_competent_1,p0777,75
150,giant gibbon; brick bobcat,trust_competent_1,p0779,78
151,giant gibbon; brick bobcat,trust_competent_1,p0780,68
152,giant gibbon; brick bobcat,trust_competent_1,p0783,72
153,giant gibbon; brick bobcat,trust_competent_1,p0785,75
154,giant gibbon; brick bobcat,trust_competent_1,p0786,65
155,giant gibbon; brick bobcat,trust_competent_1,p0794,55
156,giant gibbon; brick bobcat,trust_competent_1,p0798,65
157,giant gibbon; brick bobcat,trust_competent_1,p0800,78
158,giant gibbon; brick bobcat,trust_competent_1,p0820,68
159,giant gibbon; brick bobcat,trust_competent_1,p0841,65
160,giant gibbon; brick bobcat,trust_competent_1,p0849,68
161,giant gibbon; brick bobcat,trust_competent_1,p0862,78
162,giant gibbon; brick bobcat,trust_competent_1,p0867,78
163,giant gibbon; brick bobcat,trust_competent_1,p0869,78
164,giant gibbon; brick bobcat,trust_competent_1,p0872,78
165,giant gibbon; brick bobcat,trust_competent_1,p0880,78
166,giant gibbon; brick bobcat,trust_competent_1,p0891,68
167,giant gibbon; brick bobcat,trust_competent_1,p0916,78
168,giant gibbon; brick bobcat,trust_competent_1,p0917,78
169,giant gibbon; brick bobcat,trust_competent_1,p0919,78
170,giant gibbon; brick bobcat,trust_competent_1,p0922,65
171,giant gibbon; brick bobcat,trust_competent_1,p0925,75
172,giant gibbon; brick bobcat,trust_competent_1,p0927,78
173,giant gibbon; brick bobcat,trust_competent_1,p0929,68
174,giant gibbon; brick bobcat,trust_competent_1,p0930,75
175,giant gibbon; brick bobcat,trust_competent_1,p0931,65
176,giant gibbon; brick bobcat,trust_competent_1,p0933,68
177,giant gibbon; brick bobcat,trust_competent_1,p0934,68
178,giant gibbon; brick bobcat,trust_competent_1,p0936,78
179,giant gibbon; brick bobcat,trust_competent_1,p0938,78
180,giant gibbon; brick bobcat,trust_competent_1,p0939,65
181,giant gibbon; brick bobcat,trust_competent_1,p0946,65
182,giant gibbon; brick bobcat,trust_competent_1,p0951,68
183,giant gibbon; brick bobcat,trust_competent_1,p0956,78
184,giant gibbon; brick bobcat,trust_competent_1,p0962,78
185,giant gibbon; brick bobcat,trust_competent_1,p0963,78
186,giant gibbon; brick bobcat,trust_competent_1,p0969,75
187,giant gibbon; brick bobcat,trust_competent_1,p0972,68
188,giant gibbon; brick bobcat,trust_competent_1,p0975,68
189,giant gibbon; brick bobcat,trust_competent_1,p0985,65
190,giant gibbon; brick bobcat,trust_competent_1,p0993,78
191,giant gibbon; brick bobcat,trust_competent_1,p0996,65
192,giant gibbon; brick bobcat,trust_competent_1,p1011,65
193,giant gibbon; brick bobcat,trust_competent_1,p1017,65
194,giant gibbon; brick bobcat,trust_competent_1,p1020,75
195,giant gibbon; brick bobcat,trust_competent_1,p1022,78
196,giant gibbon; brick bobcat,trust_competent_1,p1024,65
197,giant gibbon; brick bobcat,trust_competent_1,p1027,78
198,giant gibbon; brick bobcat,trust_competent_1,p1028,85
199,giant gibbon; brick bobcat,trust_competent_1,p1029,55
200,giant gibbon; brick bobcat,trust_competent_1,p1032,75
201,giant gibbon; brick bobcat,trust_competent_1,p1040,75
202,giant gibbon; brick bobcat,trust_competent_1,p1047,55
203,giant gibbon; brick bobcat,trust_competent_1,p1048,65
204,giant gibbon; brick bobcat,trust_competent_1,p1053,68
205,giant gibbon; brick bobcat,trust_competent_1,p1057,68
206,giant gibbon; brick bobcat,trust_competent_1,p1058,75
207,giant gibbon; brick bobcat,trust_competent_1,p1063,65
208,giant gibbon; brick bobcat,trust_competent_1,p1064,78
209,giant gibbon; brick bobcat,trust_competent_1,p1065,68
210,giant gibbon; brick bobcat,trust_competent_1,p1069,65
211,giant gibbon; brick bobcat,trust_competent_1,p1072,78
212,giant gibbon; brick bobcat,trust_competent_1,p1073,75
213,giant gibbon; brick bobcat,trust_competent_1,p1075,78
214,giant gibbon; brick bobcat,trust_competent_1,p1076,65
215,giant gibbon; brick bobcat,trust_competent_1,p1083,68
216,giant gibbon; brick bobcat,trust_competent_1,p1089,75
217,giant gibbon; brick bobcat,trust_competent_1,p1093,78
218,giant gibbon; brick bobcat,trust_competent_1,p1096,75
219,giant gibbon; brick bobcat,trust_competent_1,p1100,75
220,giant gibbon; brick bobcat,trust_competent_1,p1106,75
221,giant gibbon; brick bobcat,trust_competent_1,p1107,68
222,giant gibbon; brick bobcat,trust_competent_1,p1113,75
223,giant gibbon; brick bobcat,trust_competent_1,p1117,65
224,giant gibbon; brick bobcat,trust_competent_1,p1120,72
225,giant gibbon; brick bobcat,trust_competent_1,p1134,75
226,giant gibbon; brick bobcat,trust_competent_1,p1136,65
227,giant gibbon; brick bobcat,trust_competent_1,p1138,78
228,giant gibbon; brick bobcat,trust_competent_1,p1144,68
229,giant gibbon; brick bobcat,trust_competent_1,p1145,78
230,giant gibbon; brick bobcat,trust_competent_1,p1147,82
231,giant gibbon; brick bobcat,trust_competent_1,p1148,78
232,giant gibbon; brick bobcat,trust_competent_1,p1154,78
233,giant gibbon; brick bobcat,trust_competent_1,p1159,78
234,giant gibbon; brick bobcat,trust_competent_1,p1167,75
235,giant gibbon; brick bobcat,trust_competent_1,p1175,78
236,giant gibbon; brick bobcat,trust_competent_1,p1178,65
237,giant gibbon; brick bobcat,trust_competent_1,p1184,68
238,giant gibbon; brick bobcat,trust_competent_1,p1186,75
239,giant gibbon; brick bobcat,trust_competent_1,p1196,68
240,giant gibbon; brick bobcat,trust_competent_1,p1197,65
241,giant gibbon; brick bobcat,trust_competent_1,p1203,75
242,giant gibbon; brick bobcat,trust_competent_1,p1219,65
243,giant gibbon; brick bobcat,trust_competent_1,p1225,65
244,giant gibbon; brick bobcat,trust_competent_1,p1234,72
245,giant gibbon; brick bobcat,trust_competent_1,p1242,68
246,giant gibbon; brick bobcat,trust_competent_1,p1244,78
247,giant gibbon; brick bobcat,trust_competent_1,p1249,68
248,giant gibbon; brick bobcat,trust_competent_1,p1250,75
249,giant gibbon; brick bobcat,trust_competent_1,p1256,75
250,giant gibbon; brick bobcat,trust_competent_1,p1258,78
251,giant gibbon; brick bobcat,trust_competent_1,p1260,65
252,giant gibbon; brick bobcat,trust_competent_1,p1262,65
253,giant gibbon; brick bobcat,trust_competent_1,p1264,68
254,giant gibbon; brick bobcat,trust_competent_1,p1265,78
255,giant gibbon; brick bobcat,trust_competent_1,p1269,75
256,giant gibbon; brick bobcat,trust_competent_1,p1272,78
257,giant gibbon; brick bobcat,trust_competent_1,p1278,75
258,giant gibbon; brick bobcat,trust_competent_1,p1281,68
259,giant gibbon; brick bobcat,trust_competent_1,p1292,68
260,giant gibbon; brick bobcat,trust_competent_1,p1299,65
261,giant gibbon; brick bobcat,trust_competent_1,p1312,65
262,giant gibbon; brick bobcat,trust_competent_1,p1322,78
263,giant gibbon; brick bobcat,trust_competent_1,p1326,78
264,giant gibbon; brick bobcat,trust_competent_1,p1330,75
265,giant gibbon; brick bobcat,trust_competent_1,p1335,78
266,giant gibbon; brick bobcat,trust_competent_1,p1337,78
267,giant gibbon; brick bobcat,trust_competent_1,p1340,75
268,giant gibbon; brick bobcat,trust_competent_1,p1345,75
269,giant gibbon; brick bobcat,trust_competent_1,p1351,72
270,giant gibbon; brick bobcat,trust_competent_1,p1355,65
271,giant gibbon; brick bobcat,trust_competent_1,p1362,68
272,giant gibbon; brick bobcat,trust_competent_1,p1365,68
273,giant gibbon; brick bobcat,trust_competent_1,p1366,68
274,giant gibbon; brick bobcat,trust_competent_1,p1367,68
275,giant gibbon; brick bobcat,trust_competent_1,p1370,75
276,giant gibbon; brick bobcat,trust_competent_1,p1371,85
277,giant gibbon; brick bobcat,trust_competent_1,p1373,75
278,giant gibbon; brick bobcat,trust_competent_1,p1375,75
279,giant gibbon; brick bobcat,trust_competent_1,p1376,65
280,giant gibbon; brick bobcat,trust_competent_1,p1379,68
281,giant gibbon; brick bobcat,trust_competent_1,p1381,65
282,giant gibbon; brick bobcat,trust_competent_1,p1393,78
283,giant gibbon; brick bobcat,trust_competent_1,p1396,78
284,giant gibbon; brick bobcat,trust_competent_1,p1398,75
285,giant gibbon; brick bobcat,trust_competent_1,p1404,75
286,giant gibbon; brick bobcat,trust_competent_1,p1406,68
287,giant gibbon; brick bobcat,trust_competent_1,p1407,68
288,giant gibbon; brick bobcat,trust_competent_1,p1409,78
289,giant gibbon; brick bobcat,trust_competent_1,p1412,78
290,giant gibbon; brick bobcat,trust_competent_1,p1414,78
291,giant gibbon; brick bobcat,trust_competent_1,p1424,75
292,giant gibbon; brick bobcat,trust_competent_1,p1425,68
293,giant gibbon; brick bobcat,trust_competent_1,p1429,75
294,giant gibbon; brick bobcat,trust_competent_1,p1434,75
295,giant gibbon; brick bobcat,trust_competent_1,p1441,65
296,giant gibbon; brick bobcat,trust_competent_1,p1445,68
297,giant gibbon; brick bobcat,trust_competent_1,p1450,75
298,giant gibbon; brick bobcat,trust_competent_1,p1454,78
299,giant gibbon; brick bobcat,trust_competent_1,p1456,65
300,giant gibbon; brick bobcat,trust_competent_1,p1457,68
301,giant gibbon; brick bobcat,trust_competent_1,p1458,75
302,giant gibbon; brick bobcat,trust_competent_1,p1469,68
303,giant gibbon; brick bobcat,trust_competent_1,p1470,75
304,giant gibbon; brick bobcat,trust_competent_1,p1481,78
305,giant gibbon; brick bobcat,trust_competent_1,p1488,75
306,giant gibbon; brick bobcat,trust_competent_1,p1492,68
307,giant gibbon; brick bobcat,trust_competent_1,p1495,75
308,giant gibbon; brick bobcat,trust_competent_1,p1497,75
309,giant gibbon; brick bobcat,trust_competent_1,p1499,75
310,giant gibbon; brick bobcat,trust_competent_1,p1503,78
311,giant gibbon; brick bobcat,trust_competent_1,p1511,75
312,giant gibbon; brick bobcat,trust_competent_1,p1512,68
313,giant gibbon; brick bobcat,trust_competent_1,p1518,78
314,giant gibbon; brick bobcat,trust_competent_1,p1519,75
315,giant gibbon; brick bobcat,trust_competent_1,p1520,65
316,giant gibbon; brick bobcat,trust_competent_1,p1524,78
317,giant gibbon; brick bobcat,trust_competent_1,p1526,75
318,giant gibbon; brick bobcat,trust_competent_1,p1537,75
319,giant gibbon; brick bobcat,trust_competent_1,p1545,78
320,giant gibbon; brick bobcat,trust_competent_1,p1547,78
321,giant gibbon; brick bobcat,trust_competent_1,p1552,78
322,giant gibbon; brick bobcat,trust_competent_1,p1567,78
323,giant gibbon; brick bobcat,trust_competent_1,p1568,78
324,giant gibbon; brick bobcat,trust_competent_1,p1579,45
325,giant gibbon; brick bobcat,trust_competent_1,p1587,45
326,giant gibbon; brick bobcat,trust_competent_1,p1596,65
327,giant gibbon; brick bobcat,trust_competent_1,p1600,78
328,giant gibbon; brick bobcat,trust_competent_1,p1603,72
329,giant gibbon; brick bobcat,trust_competent_1,p1604,75
330,giant gibbon; brick bobcat,trust_competent_1,p1610,68
331,giant gibbon; brick bobcat,trust_competent_1,p1618,68
332,giant gibbon; brick bobcat,trust_competent_1,p1619,78
333,giant gibbon; brick bobcat,trust_competent_1,p1622,78
334,giant gibbon; brick bobcat,trust_competent_1,p1623,65
335,giant gibbon; brick bobcat,trust_competent_1,p1630,65
336,giant gibbon; brick bobcat,trust_competent_1,p1641,75
337,giant gibbon; brick bobcat,trust_competent_1,p1649,65
338,giant gibbon; brick bobcat,trust_competent_1,p1652,65
339,giant gibbon; brick bobcat,trust_competent_1,p1665,65
340,giant gibbon; brick bobcat,trust_competent_1,p1669,65
341,giant gibbon; brick bobcat,trust_competent_1,p1685,75
342,giant gibbon; brick bobcat,trust_competent_1,p1693,75
343,giant gibbon; brick bobcat,trust_competent_1,p1698,78
344,giant gibbon; brick bobcat,trust_competent_1,p1704,75
345,giant gibbon; brick bobcat,trust_competent_1,p1711,78
346,giant gibbon; brick bobcat,trust_competent_1,p1718,65
347,giant gibbon; brick bobcat,trust_competent_1,p1732,65
348,giant gibbon; brick bobcat,trust_competent_1,p1739,75
349,giant gibbon; brick bobcat,trust_competent_1,p1741,78
350,giant gibbon; brick bobcat,trust_competent_1,p1746,68
351,giant gibbon; brick bobcat,trust_competent_1,p1751,65
352,giant gibbon; brick bobcat,trust_competent_1,p1754,75
353,giant gibbon; brick bobcat,trust_competent_1,p1769,75
354,giant gibbon; brick bobcat,trust_competent_1,p1771,75
355,giant gibbon; brick bobcat,trust_competent_1,p1776,68
356,giant gibbon; brick bobcat,trust_competent_1,p1780,78
357,giant gibbon; brick bobcat,trust_competent_1,p1785,65
358,giant gibbon; brick bobcat,trust_competent_1,p1791,75
359,giant gibbon; brick bobcat,trust_competent_1,p1793,75
360,giant gibbon; brick bobcat,trust_competent_1,p1796,75
361,giant gibbon; brick bobcat,trust_competent_1,p1805,72
362,giant gibbon; brick bobcat,trust_competent_1,p1812,78
363,giant gibbon; brick bobcat,trust_competent_1,p1816,68
364,giant gibbon; brick bobcat,trust_competent_1,p1819,78
365,giant gibbon; brick bobcat,trust_competent_1,p1825,75
366,giant gibbon; brick bobcat,trust_competent_1,p1836,78
367,giant gibbon; brick bobcat,trust_competent_1,p1839,75
368,giant gibbon; brick bobcat,trust_competent_1,p1861,75
369,giant gibbon; brick bobcat,trust_competent_1,p1863,78
370,giant gibbon; brick bobcat,trust_competent_1,p1873,75
371,giant gibbon; brick bobcat,trust_competent_1,p1875,65
372,giant gibbon; brick bobcat,trust_competent_1,p1876,78
373,giant gibbon; brick bobcat,trust_competent_1,p1877,78
374,giant gibbon; brick bobcat,trust_competent_1,p1880,65
375,giant gibbon; brick bobcat,trust_competent_1,p1883,68
376,giant gibbon; brick bobcat,trust_competent_1,p1889,65
377,giant gibbon; brick bobcat,trust_competent_1,p1893,78
378,giant gibbon; brick bobcat,trust_competent_1,p1896,78
379,giant gibbon; brick bobcat,trust_competent_1,p1913,75
380,giant gibbon; brick bobcat,trust_competent_1,p1922,85
381,giant gibbon; brick bobcat,trust_competent_1,p1930,75
382,giant gibbon; brick bobcat,trust_competent_1,p1935,78
383,giant gibbon; brick bobcat,trust_competent_1,p1940,78
384,giant gibbon; brick bobcat,trust_competent_1,p1948,68
385,giant gibbon; brick bobcat,trust_competent_1,p1950,75
386,giant gibbon; brick bobcat,trust_competent_1,p1954,68
387,giant gibbon; brick bobcat,trust_competent_1,p1956,55
388,giant gibbon; brick bobcat,trust_competent_1,p1958,78
389,giant gibbon; brick bobcat,trust_competent_1,p1967,75
390,giant gibbon; brick bobcat,trust_competent_1,p1973,85
391,giant gibbon; brick bobcat,trust_competent_1,p1978,78
392,giant gibbon; brick bobcat,trust_competent_1,p1983,65
393,giant gibbon; brick bobcat,trust_competent_1,p1984,65
394,giant gibbon; brick bobcat,trust_competent_1,p1995,75
395,giant gibbon; brick bobcat,trust_competent_1,p1996,72
396,giant gibbon; brick bobcat,trust_competent_1,p1997,78
397,giant gibbon; brick bobcat,trust_competent_1,p2001,78
398,giant gibbon; brick bobcat,trust_competent_1,p2002,68
399,giant gibbon; brick bobcat,trust_competent_1,p2013,75
400,giant gibbon; brick bobcat,trust_competent_1,p2014,65
401,giant gibbon; brick bobcat,trust_competent_1,p2016,75
402,giant gibbon; brick bobcat,trust_competent_1,p2018,65
403,giant gibbon; brick bobcat,trust_competent_1,p2023,78
404,giant gibbon; brick bobcat,trust_competent_1,p2025,78
405,giant gibbon; brick bobcat,trust_competent_1,p2028,68
406,giant gibbon; brick bobcat,trust_competent_1,p2030,78
407,giant gibbon; brick bobcat,trust_competent_1,p2033,78
408,giant gibbon; brick bobcat,trust_competent_1,p2040,55
409,giant gibbon; brick bobcat,trust_competent_1,p2051,75
410,giant gibbon; brick bobcat,trust_competent_1,p2052,78
411,giant gibbon; brick bobcat,trust_competent_1,p2066,65
412,giant gibbon; brick bobcat,trust_competent_1,p2067,78
413,giant gibbon; brick bobcat,trust_competent_1,p2073,75
414,giant gibbon; brick bobcat,trust_competent_1,p2077,72
415,giant gibbon; brick bobcat,trust_competent_1,p2078,68
416,giant gibbon; brick bobcat,trust_competent_1,p2086,78
417,giant gibbon; brick bobcat,trust_competent_1,p2089,78
418,giant gibbon; brick bobcat,trust_competent_1,p2093,45
419,giant gibbon; brick bobcat,trust_competent_1,p2094,78
420,giant gibbon; brick bobcat,trust_competent_1,p2111,68
421,giant gibbon; brick bobcat,trust_competent_1,p2117,75
422,giant gibbon; brick bobcat,trust_competent_1,p2121,78
423,giant gibbon; brick bobcat,trust_competent_1,p2127,78
424,giant gibbon; brick bobcat,trust_competent_1,p2141,75
425,giant gibbon; brick bobcat,trust_competent_1,p2142,45
426,giant gibbon; brick bobcat,trust_competent_1,p2143,78
427,giant gibbon; brick bobcat,trust_competent_1,p2153,75
428,giant gibbon; brick bobcat,trust_competent_1,p2155,65
429,giant gibbon; brick bobcat,trust_competent_1,p2169,65
430,giant gibbon; brick bobcat,trust_competent_1,p2187,75
431,giant gibbon; brick bobcat,trust_competent_1,p2188,75
432,giant gibbon; brick bobcat,trust_competent_1,p2197,68
433,giant gibbon; brick bobcat,trust_competent_1,p2213,68
434,giant gibbon; brick bobcat,trust_competent_1,p2214,72
435,giant gibbon; brick bobcat,trust_competent_1,p2215,78
436,giant gibbon; brick bobcat,trust_competent_1,p2220,72
437,giant gibbon; brick bobcat,trust_competent_1,p2223,68
438,giant gibbon; brick bobcat,trust_competent_1,p2229,72
439,giant gibbon; brick bobcat,trust_competent_1,p2234,78
440,giant gibbon; brick bobcat,trust_competent_1,p2237,78
441,giant gibbon; brick bobcat,trust_competent_1,p2238,75
442,giant gibbon; brick bobcat,trust_competent_1,p2244,75
443,giant gibbon; brick bobcat,trust_competent_1,p2248,72
444,giant gibbon; brick bobcat,trust_competent_1,p2252,78
445,giant gibbon; brick bobcat,trust_competent_1,p2255,45
446,giant gibbon; brick bobcat,trust_competent_1,p2261,45
447,giant gibbon; brick bobcat,trust_competent_1,p2263,75
448,giant gibbon; brick bobcat,trust_competent_1,p2273,78
449,giant gibbon; brick bobcat,trust_competent_1,p2275,78
450,giant gibbon; brick bobcat,trust_competent_1,p2276,68
451,giant gibbon; brick bobcat,trust_competent_1,p2283,65
452,giant gibbon; brick bobcat,trust_competent_1,p2287,78
453,giant gibbon; brick bobcat,trust_competent_1,p2296,68
454,giant gibbon; brick bobcat,trust_competent_1,p2298,68
455,giant gibbon; brick bobcat,trust_competent_1,p2304,78
456,giant gibbon; brick bobcat,trust_competent_1,p2310,68
457,giant gibbon; brick bobcat,trust_competent_1,p2322,65
458,giant gibbon; brick bobcat,trust_competent_1,p2326,75
459,giant gibbon; brick bobcat,trust_competent_1,p2330,68
460,giant gibbon; brick bobcat,trust_competent_1,p2331,78
461,giant gibbon; brick bobcat,trust_competent_1,p2333,72
462,giant gibbon; brick bobcat,trust_competent_1,p2347,78
463,giant gibbon; brick bobcat,trust_competent_1,p2350,75
