,condition,outcome,persona,response
65,orchid orangutan; defiant dragonfly,trust_competent_1,p0349,62
66,orchid orangutan; defiant dragonfly,trust_competent_1,p0356,62
67,orchid orangutan; defiant dragonfly,trust_competent_1,p0358,68
68,orchid orangutan; defiant dragonfly,trust_competent_1,p0363,68
69,orchid orangutan; defiant dragonfly,trust_competent_1,p0364,72
70,orchid orangutan; defiant dragonfly,trust_competent_1,p0369,78
71,orchid orangutan; defiant dragonfly,trust_competent_1,p0370,45
72,orchid orangutan; defiant dragonfly,trust_competent_1,p0371,65
73,orchid orangutan; defiant dragonfly,trust_competent_1,p0379,62
74,orchid orangutan; defiant dragonfly,trust_competent_1,p0386,78
75,orchid orangutan; defiant dragonfly,trust_competent_1,p0396,72
76,orchid orangutan; defiant dragonfly,trust_competent_1,p0403,65
77,orchid orangutan; defiant dragonfly,trust_competent_1,p0405,75
78,orchid orangutan; defiant dragonfly,trust_competent_1,p0412,72
79,orchid orangutan; defiant dragonfly,trust_competent_1,p0415,45
80,orchid orangutan; defiant dragonfly,trust_competent_1,p0416,68
81,orchid orangutan; defiant dragonfly,trust_competent_1,p0417,75
82,orchid orangutan; defiant dragonfly,trust_competent_1,p0418,62
83,orchid orangutan; defiant dragonfly,trust_competent_1,p0430,78
84,orchid orangutan; defiant dragonfly,trust_competent_1,p0431,78
85,orchid orangutan; defiant dragonfly,trust_competent_1,p0434,35
86,orchid orangutan; defiant dragonfly,trust_competent_1,p0438,75
87,orchid orangutan; defiant dragonfly,trust_competent_1,p0441,78
88,orchid orangutan; defiant dragonfly,trust_competent_1,p0442,45
89,orchid orangutan; defiant dragonfly,trust_competent_1,p0449,62
90,orchid orangutan; defiant dragonfly,trust_competent_1,p0450,75
91,orchid orangutan; defiant dragonfly,trust_competent_1,p0465,45
92,orchid orangutan; defiant dragonfly,trust_competent_1,p0471,68
93,orchid orangutan; defiant dragonfly,trust_competent_1,p0477,68
94,orchid orangutan; defiant dragonfly,trust_competent_1,p0483,68
95,orchid orangutan; defiant dragonfly,trust_competent_1,p0486,65
96,orchid orangutan; defiant dragonfly,trust_competent_1,p0487,68
97,orchid orangutan; defiant dragonfly,trust_competent_1,p0489,75
98,orchid orangutan; defiant dragonfly,trust_competent_1,p0497,68
99,orchid orangutan; defiant dragonfly,trust_competent_1,p0502,68
100,orchid orangutan; defiant dragonfly,trust_competent_1,p0503,68
101,orchid orangutan; defiant dragonfly,trust_competent_1,p0506,62
102,orchid orangutan; defiant dragonfly,trust_competent_1,p0511,75
103,orchid orangutan; defiant dragonfly,trust_competent_1,p0523,68
104,orchid orangutan; defiant dragonfly,trust_competent_1,p0534,78
105,orchid orangutan; defiant dragonfly,trust_competent_1,p0536,68
106,orchid orangutan; defiant dragonfly,trust_competent_1,p0542,45
107,orchid orangutan; defiant dragonfly,trust_competent_1,p0547,78
108,orchid orangutan; defiant dragonfly,trust_competent_1,p0553,78
109,orchid orangutan; defiant dragonfly,trust_competent_1,p0559,68
110,orchid orangutan; defiant dragonfly,trust_competent_1,p0566,68
111,orchid orangutan; defiant dragonfly,trust_competent_1,p0568,68
112,orchid orangutan; defiant dragonfly,trust_competent_1,p0570,45
113,orchid orangutan; defiant dragonfly,trust_competent_1,p0573,68
114,orchid orangutan; defiant dragonfly,trust_competent_1,p0578,62
115,orchid orangutan; defiant dragonfly,trust_competent_1,p0594,45
116,orchid orangutan; defiant dragonfly,trust_competent_1,p0597,68
117,orchid orangutan; defiant dragonfly,trust_competent_1,p0601,65
118,orchid orangutan; defiant dragonfly,trust_competent_1,p0602,55
119,orchid orangutan; defiant dragonfly,trust_competent_1,p0605,68
120,orchid orangutan; defiant dragonfly,trust_competent_1,p0615,65
121,orchid orangutan; defiant dragonfly,trust_competent_1,p0620,68
122,orchid orangutan; defiant dragonfly,trust_competent_1,p0626,68
123,orchid orangutan; defiant dragonfly,trust_competent_1,p0629,78
124,orchid orangutan; defiant dragonfly,trust_competent_1,p0633,65
125,orchid orangutan; defiant dragonfly,trust_competent_1,p0638,72
126,orchid orangutan; defiant dragonfly,trust_competent_1,p0639,65
127,orchid orangutan; defiant dragonfly,trust_competent_1,p0640,62
128,orchid orangutan; defiant dragonfly,trust_competent_1,p0655,68
129,orchid orangutan; defiant dragonfly,trust_competent_1,p0656,68
130,orchid orangutan; defiant dragonfly,trust_competent_1,p0658,68
131,orchid orangutan; defiant dragonfly,trust_competent_1,p0661,62
132,orchid orangutan; defiant dragonfly,trust_competent_1,p0669,78
133,orchid orangutan; defiant dragonfly,trust_competent_1,p0670,62
134,orchid orangutan; defiant dragonfly,trust_competent_1,p0672,68
135,orchid orangutan; defiant dragonfly,trust_competent_1,p0674,72
136,orchid orangutan; defiant dragonfly,trust_competent_1,p0678,75
137,orchid orangutan; defiant dragonfly,trust_competent_1,p0683,75
138,orchid orangutan; defiant dragonfly,trust_competent_1,p0686,62
139,orchid orangutan; defiant dragonfly,trust_competent_1,p0687,75
140,orchid orangutan; defiant dragonfly,trust_competent_1,p0698,65
141,orchid orangutan; defiant dragonfly,trust_competent_1,p0700,65
142,orchid orangutan; defiant dragonfly,trust_competent_1,p0703,65
143,orchid orangutan; defiant dragonfly,trust_competent_1,p0718,68
144,orchid orangutan; defiant dragonfly,trust_competent_1,p0744,75
145,orchid orangutan; defiant dragonfly,trust_competent_1,p0745,68
146,orchid orangutan; defiant dragonfly,trust_competent_1,p0753,45
147,orchid orangutan; defiant dragonfly,trust_competent_1,p0770,72
148,orchid orangutan; defiant dragonfly,trust_competent_1,p0771,68
149,orchid orangutan; defiant dragonfly,trust_competent_1,p0777,78
150,orchid orangutan; defiant dragonfly,trust_competent_1,p0779,68
151,orchid orangutan; defiant dragonfly,trust_competent_1,p0780,45
152,orchid orangutan; defiant dragonfly,trust_competent_1,p0783,65
153,orchid orangutan; defiant dragonfly,trust_competent_1,p0785,65
154,orchid orangutan; defiant dragonfly,trust_competent_1,p0786,45
155,orchid orangutan; defiant dragonfly,trust_competent_1,p0794,45
156,orchid orangutan; defiant dragonfly,trust_competent_1,p0798,75
157,orchid orangutan; defiant dragonfly,trust_competent_1,p0800,72
158,orchid orangutan; defiant dragonfly,trust_competent_1,p0820,45
159,orchid orangutan; defiant dragonfly,trust_competent_1,p0841,65
160,orchid orangutan; defiant dragonfly,trust_competent_1,p0849,68
161,orchid orangutan; defiant dragonfly,trust_competent_1,p0862,78
162,orchid orangutan; defiant dragonfly,trust_competent_1,p0867,78
163,orchid orangutan; defiant dragonfly,trust_competent_1,p0869,72
164,orchid orangutan; defiant dragonfly,trust_competent_1,p0872,68
165,orchid orangutan; defiant dragonfly,trust_competent_1,p0880,68
166,orchid orangutan; defiant dragonfly,trust_competent_1,p0891,68
167,orchid orangutan; defiant dragonfly,trust_competent_1,p0916,75
168,orchid orangutan; defiant dragonfly,trust_competent_1,p0917,72
169,orchid orangutan; defiant dragonfly,trust_competent_1,p0919,75
170,orchid orangutan; defiant dragonfly,trust_competent_1,p0922,65
171,orchid orangutan; defiant dragonfly,trust_competent_1,p0925,68
172,orchid orangutan; defiant dragonfly,trust_competent_1,p0927,68
173,orchid orangutan; defiant dragonfly,trust_competent_1,p0929,68
174,orchid orangutan; defiant dragonfly,trust_competent_1,p0930,65
175,orchid orangutan; defiant dragonfly,trust_competent_1,p0931,45
176,orchid orangutan; defiant dragonfly,trust_competent_1,p0933,62
177,orchid orangutan; defiant dragonfly,trust_competent_1,p0934,62
178,orchid orangutan; defiant dragonfly,trust_competent_1,p0936,68
179,orchid orangutan; defiant dragonfly,trust_competent_1,p0938,75
180,orchid orangutan; defiant dragonfly,trust_competent_1,p0939,65
181,orchid orangutan; defiant dragonfly,trust_competent_1,p0946,62
182,orchid orangutan; defiant dragonfly,trust_competent_1,p0951,68
183,orchid orangutan; defiant dragonfly,trust_competent_1,p0956,68
184,orchid orangutan; defiant dragonfly,trust_competent_1,p0962,68
185,orchid orangutan; defiant dragonfly,trust_competent_1,p0963,78
186,orchid orangutan; defiant dragonfly,trust_competent_1,p0969,68
187,orchid orangutan; defiant dragonfly,trust_competent_1,p0972,68
188,orchid orangutan; defiant dragonfly,trust_competent_1,p0975,68
189,orchid orangutan; defiant dragonfly,trust_competent_1,p0985,45
190,orchid orangutan; defiant dragonfly,trust_competent_1,p0993,68
191,orchid orangutan; defiant dragonfly,trust_competent_1,p0996,62
192,orchid orangutan; defiant dragonfly,trust_competent_1,p1011,62
193,orchid orangutan; defiant dragonfly,trust_competent_1,p1017,45
194,orchid orangutan; defiant dragonfly,trust_competent_1,p1020,68
195,orchid orangutan; defiant dragonfly,trust_competent_1,p1022,75
196,orchid orangutan; defiant dragonfly,trust_competent_1,p1024,45
197,orchid orangutan; defiant dragonfly,trust_competent_1,p1027,75
198,orchid orangutan; defiant dragonfly,trust_competent_1,p1028,78
199,orchid orangutan; defiant dragonfly,trust_competent_1,p1029,45
200,orchid orangutan; defiant dragonfly,trust_competent_1,p1032,65
201,orchid orangutan; defiant dragonfly,trust_competent_1,p1040,68
202,orchid orangutan; defiant dragonfly,trust_competent_1,p1047,45
203,orchid orangutan; defiant dragonfly,trust_competent_1,p1048,62
204,orchid orangutan; defiant dragonfly,trust_competent_1,p1053,65
205,orchid orangutan; defiant dragonfly,trust_competent_1,p1057,68
206,orchid orangutan; defiant dragonfly,trust_competent_1,p1058,68
207,orchid orangutan; defiant dragonfly,trust_competent_1,p1063,45
208,orchid orangutan; defiant dragonfly,trust_competent_1,p1064,78
209,orchid orangutan; defiant dragonfly,trust_competent_1,p1065,62
210,orchid orangutan; defiant dragonfly,trust_competent_1,p1069,62
211,orchid orangutan; defiant dragonfly,trust_competent_1,p1072,78
212,orchid orangutan; defiant dragonfly,trust_competent_1,p1073,65
213,orchid orangutan; defiant dragonfly,trust_competent_1,p1075,78
214,orchid orangutan; defiant dragonfly,trust_competent_1,p1076,45
215,orchid orangutan; defiant dragonfly,trust_competent_1,p1083,62
216,orchid orangutan; defiant dragonfly,trust_competent_1,p1089,75
217,orchid orangutan; defiant dragonfly,trust_competent_1,p1093,78
218,orchid orangutan; defiant dragonfly,trust_competent_1,p1096,72
219,orchid orangutan; defiant dragonfly,trust_competent_1,p1100,62
220,orchid orangutan; defiant dragonfly,trust_competent_1,p1106,68
221,orchid orangutan; defiant dragonfly,trust_competent_1,p1107,58
222,orchid orangutan; defiant dragonfly,trust_competent_1,p1113,65
223,orchid orangutan; defiant dragonfly,trust_competent_1,p1117,35
224,orchid orangutan; defiant dragonfly,trust_competent_1,p1120,68
225,orchid orangutan; defiant dragonfly,trust_competent_1,p1134,65
226,orchid orangutan; defiant dragonfly,trust_competent_1,p1136,45
227,orchid orangutan; defiant dragonfly,trust_competent_1,p1138,68
228,orchid orangutan; defiant dragonfly,trust_competent_1,p1144,62
229,orchid orangutan; defiant dragonfly,trust_competent_1,p1145,78
230,orchid orangutan; defiant dragonfly,trust_competent_1,p1147,78
231,orchid orangutan; defiant dragonfly,trust_competent_1,p1148,75
232,orchid orangutan; defiant dragonfly,trust_competent_1,p1154,78
233,orchid orangutan; defiant dragonfly,trust_competent_1,p1159,68
234,orchid orangutan; defiant dragonfly,trust_competent_1,p1167,72
235,orchid orangutan; defiant dragonfly,trust_competent_1,p1175,68
236,orchid orangutan; defiant dragonfly,trust_competent_1,p1178,65
237,orchid orangutan; defiant dragonfly,trust_competent_1,p1184,65
238,orchid orangutan; defiant dragonfly,trust_competent_1,p1186,68
239,orchid orangutan; defiant dragonfly,trust_competent_1,p1196,55
240,orchid orangutan; defiant dragonfly,trust_competent_1,p1197,45
241,orchid orangutan; defiant dragonfly,trust_competent_1,p1203,68
242,orchid orangutan; defiant dragonfly,trust_competent_1,p1219,62
243,orchid orangutan; defiant dragonfly,trust_competent_1,p1225,62
244,orchid orangutan; defiant dragonfly,trust_competent_1,p1234,68
245,orchid orangutan; defiant dragonfly,trust_competent_1,p1242,65
246,orchid orangutan; defiant dragonfly,trust_competent_1,p1244,68
247,orchid orangutan; defiant dragonfly,trust_competent_1,p1249,62
248,orchid orangutan; defiant dragonfly,trust_competent_1,p1250,65
249,orchid orangutan; defiant dragonfly,trust_competent_1,p1256,68
250,orchid orangutan; defiant dragonfly,trust_competent_1,p1258,78
251,orchid orangutan; defiant dragonfly,trust_competent_1,p1260,55
252,orchid orangutan; defiant dragonfly,trust_competent_1,p1262,45
253,orchid orangutan; defiant dragonfly,trust_competent_1,p1264,65
254,orchid orangutan; defiant dragonfly,trust_competent_1,p1265,72
255,orchid orangutan; defiant dragonfly,trust_competent_1,p1269,68
256,orchid orangutan; defiant dragonfly,trust_competent_1,p1272,68
257,orchid orangutan; defiant dragonfly,trust_competent_1,p1278,75
258,orchid orangutan; defiant dragonfly,trust_competent_1,p1281,68
259,orchid orangutan; defiant dragonfly,trust_competent_1,p1292,62
260,orchid orangutan; defiant dragonfly,trust_competent_1,p1299,62
261,orchid orangutan; defiant dragonfly,trust_competent_1,p1312,62
262,orchid orangutan; defiant dragonfly,trust_competent_1,p1322,68
263,orchid orangutan; defiant dragonfly,trust_competent_1,p1326,68
264,orchid orangutan; defiant dragonfly,trust_competent_1,p1330,68
265,orchid orangutan; defiant dragonfly,trust_competent_1,p1335,68
266,orchid orangutan; defiant dragonfly,trust_competent_1,p1337,75
267,orchid orangutan; defiant dragonfly,trust_competent_1,p1340,72
268,orchid orangutan; defiant dragonfly,trust_competent_1,p1345,68
269,orchid orangutan; defiant dragonfly,trust_competent_1,p1351,62
270,orchid orangutan; defiant dragonfly,trust_competent_1,p1355,62
271,orchid orangutan; defiant dragonfly,trust_competent_1,p1362,68
272,orchid orangutan; defiant dragonfly,trust_competent_1,p1365,45
273,orchid orangutan; defiant dragonfly,trust_competent_1,p1366,55
274,orchid orangutan; defiant dragonfly,trust_competent_1,p1367,58
275,orchid orangutan; defiant dragonfly,trust_competent_1,p1370,75
276,orchid orangutan; defiant dragonfly,trust_competent_1,p1371,85
277,orchid orangutan; defiant dragonfly,trust_competent_1,p1373,68
278,orchid orangutan; defiant dragonfly,trust_competent_1,p1375,65
279,orchid orangutan; defiant dragonfly,trust_competent_1,p1376,65
280,orchid orangutan; defiant dragonfly,trust_competent_1,p1379,65
281,orchid orangutan; defiant dragonfly,trust_competent_1,p1381,45
282,orchid orangutan; defiant dragonfly,trust_competent_1,p1393,78
283,orchid orangutan; defiant dragonfly,trust_competent_1,p1396,75
284,orchid orangutan; defiant dragonfly,trust_competent_1,p1398,68
285,orchid orangutan; defiant dragonfly,trust_competent_1,p1404,65
286,orchid orangutan; defiant dragonfly,trust_competent_1,p1406,65
287,orchid orangutan; defiant dragonfly,trust_competent_1,p1407,55
288,orchid orangutan; defiant dragonfly,trust_competent_1,p1409,68
289,orchid orangutan; defiant dragonfly,trust_competent_1,p1412,68
290,orchid orangutan; defiant dragonfly,trust_competent_1,p1414,78
291,orchid orangutan; defiant dragonfly,trust_competent_1,p1424,65
292,orchid orangutan; defiant dragonfly,trust_competent_1,p1425,65
293,orchid orangutan; defiant dragonfly,trust_competent_1,p1429,65
294,orchid orangutan; defiant dragonfly,trust_competent_1,p1434,68
295,orchid orangutan; defiant dragonfly,trust_competent_1,p1441,45
296,orchid orangutan; defiant dragonfly,trust_competent_1,p1445,62
297,orchid orangutan; defiant dragonfly,trust_competent_1,p1450,68
298,orchid orangutan; defiant dragonfly,trust_competent_1,p1454,68
299,orchid orangutan; defiant dragonfly,trust_competent_1,p1456,45
300,orchid orangutan; defiant dragonfly,trust_competent_1,p1457,45
301,orchid orangutan; defiant dragonfly,trust_competent_1,p1458,78
302,orchid orangutan; defiant dragonfly,trust_competent_1,p1469,68
303,orchid orangutan; defiant dragonfly,trust_competent_1,p1470,68
304,orchid orangutan; defiant dragonfly,trust_competent_1,p1481,68
305,orchid orangutan; defiant dragonfly,trust_competent_1,p1488,68
306,orchid orangutan; defiant dragonfly,trust_competent_1,p1492,55
307,orchid orangutan; defiant dragonfly,trust_competent_1,p1495,65
308,orchid orangutan; defiant dragonfly,trust_competent_1,p1497,65
309,orchid orangutan; defiant dragonfly,trust_competent_1,p1499,65
310,orchid orangutan; defiant dragonfly,trust_competent_1,p1503,68
311,orchid orangutan; defiant dragonfly,trust_competent_1,p1511,75
312,orchid orangutan; defiant dragonfly,trust_competent_1,p1512,62
313,orchid orangutan; defiant dragonfly,trust_competent_1,p1518,68
314,orchid orangutan; defiant dragonfly,trust_competent_1,p1519,65
315,orchid orangutan; defiant dragonfly,trust_competent_1,p1520,45
316,orchid orangutan; defiant dragonfly,trust_competent_1,p1524,68
317,orchid orangutan; defiant dragonfly,trust_competent_1,p1526,68
318,orchid orangutan; defiant dragonfly,trust_competent_1,p1537,65
319,orchid orangutan; defiant dragonfly,trust_competent_1,p1545,68
320,orchid orangutan; defiant dragonfly,trust_competent_1,p1547,68
321,orchid orangutan; defiant dragonfly,trust_competent_1,p1552,75
322,orchid orangutan; defiant dragonfly,trust_competent_1,p1567,68
323,orchid orangutan; defiant dragonfly,trust_competent_1,p1568,68
324,orchid orangutan; defiant dragonfly,trust_competent_1,p1579,45
325,orchid orangutan; defiant dragonfly,trust_competent_1,p1587,45
326,orchid orangutan; defiant dragonfly,trust_competent_1,p1596,45
327,orchid orangutan; defiant dragonfly,trust_competent_1,p1600,72
328,orchid orangutan; defiant dragonfly,trust_competent_1,p1603,68
329,orchid orangutan; defiant dragonfly,trust_competent_1,p1604,68
330,orchid orangutan; defiant dragonfly,trust_competent_1,p1610,62
331,orchid orangutan; defiant dragonfly,trust_competent_1,p1618,45
332,orchid orangutan; defiant dragonfly,trust_competent_1,p1619,78
333,orchid orangutan; defiant dragonfly,trust_competent_1,p1622,75
334,orchid orangutan; defiant dragonfly,trust_competent_1,p1623,45
335,orchid orangutan; defiant dragonfly,trust_competent_1,p1630,45
336,orchid orangutan; defiant dragonfly,trust_competent_1,p1641,68
337,orchid orangutan; defiant dragonfly,trust_competent_1,p1649,45
338,orchid orangutan; defiant dragonfly,trust_competent_1,p1652,62
339,orchid orangutan; defiant dragonfly,trust_competent_1,p1665,62
340,orchid orangutan; defiant dragonfly,trust_competent_1,p1669,45
341,orchid orangutan; defiant dragonfly,trust_competent_1,p1685,65
342,orchid orangutan; defiant dragonfly,trust_competent_1,p1693,65
343,orchid orangutan; defiant dragonfly,trust_competent_1,p1698,68
344,orchid orangutan; defiant dragonfly,trust_competent_1,p1704,65
345,orchid orangutan; defiant dragonfly,trust_competent_1,p1711,72
346,orchid orangutan; defiant dragonfly,trust_competent_1,p1718,45
347,orchid orangutan; defiant dragonfly,trust_competent_1,p1732,45
348,orchid orangutan; defiant dragonfly,trust_competent_1,p1739,68
349,orchid orangutan; defiant dragonfly,trust_competent_1,p1741,75
350,orchid orangutan; defiant dragonfly,trust_competent_1,p1746,58
351,orchid orangutan; defiant dragonfly,trust_competent_1,p1751,45
352,orchid orangutan; defiant dragonfly,trust_competent_1,p1754,75
353,orchid orangutan; defiant dragonfly,trust_competent_1,p1769,75
354,orchid orangutan; defiant dragonfly,trust_competent_1,p1771,68
355,orchid orangutan; defiant dragonfly,trust_competent_1,p1776,62
356,orchid orangutan; defiant dragonfly,trust_competent_1,p1780,68
357,orchid orangutan; defiant dragonfly,trust_competent_1,p1785,45
358,orchid orangutan; defiant dragonfly,trust_competent_1,p1791,75
359,orchid orangutan; defiant dragonfly,trust_competent_1,p1793,75
360,orchid orangutan; defiant dragonfly,trust_competent_1,p1796,68
361,orchid orangutan; defiant dragonfly,trust_competent_1,p1805,68
362,orchid orangutan; defiant dragonfly,trust_competent_1,p1812,78
363,orchid orangutan; defiant dragonfly,trust_competent_1,p1816,45
364,orchid orangutan; defiant dragonfly,trust_competent_1,p1819,68
365,orchid orangutan; defiant dragonfly,trust_competent_1,p1825,75
366,orchid orangutan; defiant dragonfly,trust_competent_1,p1836,75
367,orchid orangutan; defiant dragonfly,trust_competent_1,p1839,72
368,orchid orangutan; defiant dragonfly,trust_competent_1,p1861,65
369,orchid orangutan; defiant dragonfly,trust_competent_1,p1863,72
370,orchid orangutan; defiant dragonfly,trust_competent_1,p1873,68
371,orchid orangutan; defiant dragonfly,trust_competent_1,p1875,65
372,orchid orangutan; defiant dragonfly,trust_competent_1,p1876,78
373,orchid orangutan; defiant dragonfly,trust_competent_1,p1877,75
374,orchid orangutan; defiant dragonfly,trust_competent_1,p1880,62
375,orchid orangutan; defiant dragonfly,trust_competent_1,p1883,62
376,orchid orangutan; defiant dragonfly,trust_competent_1,p1889,35
377,orchid orangutan; defiant dragonfly,trust_competent_1,p1893,68
378,orchid orangutan; defiant dragonfly,trust_competent_1,p1896,68
379,orchid orangutan; defiant dragonfly,trust_competent_1,p1913,68
380,orchid orangutan; defiant dragonfly,trust_competent_1,p1922,85
381,orchid orangutan; defiant dragonfly,trust_competent_1,p1930,72
382,orchid orangutan; defiant dragonfly,trust_competent_1,p1935,72
383,orchid orangutan; defiant dragonfly,trust_competent_1,p1940,75
384,orchid orangutan; defiant dragonfly,trust_competent_1,p1948,68
385,orchid orangutan; defiant dragonfly,trust_competent_1,p1950,65
386,orchid orangutan; defiant dragonfly,trust_competent_1,p1954,62
387,orchid orangutan; defiant dragonfly,trust_competent_1,p1956,45
388,orchid orangutan; defiant dragonfly,trust_competent_1,p1958,68
389,orchid orangutan; defiant dragonfly,trust_competent_1,p1967,72
390,orchid orangutan; defiant dragonfly,trust_competent_1,p1973,85
391,orchid orangutan; defiant dragonfly,trust_competent_1,p1978,68
392,orchid orangutan; defiant dragonfly,trust_competent_1,p1983,45
393,orchid orangutan; defiant dragonfly,trust_competent_1,p1984,45
394,orchid orangutan; defiant dragonfly,trust_competent_1,p1995,68
395,orchid orangutan; defiant dragonfly,trust_competent_1,p1996,62
396,orchid orangutan; defiant dragonfly,trust_competent_1,p1997,68
397,orchid orangutan; defiant dragonfly,trust_competent_1,p2001,75
398,orchid orangutan; defiant dragonfly,trust_competent_1,p2002,65
399,orchid orangutan; defiant dragonfly,trust_competent_1,p2013,78
400,orchid orangutan; defiant dragonfly,trust_competent_1,p2014,62
401,orchid orangutan; defiant dragonfly,trust_competent_1,p2016,72
402,orchid orangutan; defiant dragonfly,trust_competent_1,p2018,45
403,orchid orangutan; defiant dragonfly,trust_competent_1,p2023,72
404,orchid orangutan; defiant dragonfly,trust_competent_1,p2025,75
405,orchid orangutan; defiant dragonfly,trust_competent_1,p2028,45
406,orchid orangutan; defiant dragonfly,trust_competent_1,p2030,78
407,orchid orangutan; defiant dragonfly,trust_competent_1,p2033,68
408,orchid orangutan; defiant dragonfly,trust_competent_1,p2040,45
409,orchid orangutan; defiant dragonfly,trust_competent_1,p2051,62
410,orchid orangutan; defiant dragonfly,trust_competent_1,p2052,68
411,orchid orangutan; defiant dragonfly,trust_competent_1,p2066,45
412,orchid orangutan; defiant dragonfly,trust_competent_1,p2067,75
413,orchid orangutan; defiant dragonfly,trust_competent_1,p2073,75
414,orchid orangutan; defiant dragonfly,trust_competent_1,p2077,62
415,orchid orangutan; defiant dragonfly,trust_competent_1,p2078,68
416,orchid orangutan; defiant dragonfly,trust_competent_1,p2086,68
417,orchid orangutan; defiant dragonfly,trust_competent_1,p2089,75
418,orchid orangutan; defiant dragonfly,trust_competent_1,p2093,35
419,orchid orangutan; defiant dragonfly,trust_competent_1,p2094,72
420,orchid orangutan; defiant dragonfly,trust_competent_1,p2111,68
421,orchid orangutan; defiant dragonfly,trust_competent_1,p2117,72
422,orchid orangutan; defiant dragonfly,trust_competent_1,p2121,68
