profile_id,condition,gender,age_band,race,education,income,party,trust_multidimensional,trust_competence_1,trust_competence_2,trust_competence_3,trust_integrity_1,trust_integrity_2,trust_integrity_3,trust_benevolence_1,trust_benevolence_2,trust_benevolence_3,trust_openness_1,trust_openness_2,trust_openness_3,trust_post,distrust_post,funding_perceptions,policy_role_mean,inst_trust_mean,belief_post,concern_mean,policy_general,policy_specific_mean,behavior_mean,donation_ams,newsletter_signup
c01p0175,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,75.66666666666667,75,75,78,75,78,75,78,78,78,75,75,68,78,25,65,72.5,62.4,78,72.66666666666667,75,68.71428571428571,46.666666666666664,7,0
c01p0177,Scientist community helpers,Male,45-59,Other,Bachelor's degree,"$100,000 to $167,999",Independent,76.75000000000001,75,78,78,68,78,78,85,82,78,75,78,68,72,25,65,74.0,63.2,78,73.66666666666667,78,69.57142857142857,43.333333333333336,10,0
c01p0178,Scientist community helpers,Male,30-44,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,80.33333333333333,78,82,78,78,78,78,88,88,85,78,78,75,78,25,65,76.0,68.2,88,76.0,75,72.85714285714286,47.166666666666664,6,0
c01p0181,Scientist community helpers,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,63.916666666666664,55,65,65,65,68,62,75,72,75,55,65,45,65,25,65,57.5,34.0,45,48.333333333333336,65,50.714285714285715,33.333333333333336,10,0
c01p0186,Scientist community helpers,Female,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,69.83333333333333,68,68,68,68,72,68,75,75,78,65,68,65,68,25,65,70.75,50.2,72,66.0,72,67.28571428571429,43.333333333333336,6,0
c01p0196,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,73.91666666666667,75,78,78,68,78,72,78,78,78,68,68,68,68,25,65,69.5,52.2,78,71.33333333333333,78,64.42857142857143,43.333333333333336,10,0
c01p0198,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,80.0,78,78,78,78,78,78,88,88,82,78,78,78,78,25,65,78.5,64.8,85,79.33333333333333,82,72.14285714285714,48.833333333333336,6,0
c01p0202,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,78.0,78,75,78,75,78,75,85,85,82,75,75,75,78,15,65,80.0,69.8,82,77.0,78,74.57142857142857,50.0,7,0
c01p0205,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,66.83333333333333,68,68,68,62,68,62,78,75,75,65,68,45,68,25,65,67.5,45.6,68,61.666666666666664,75,58.285714285714285,33.333333333333336,10,0
c01p0207,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,66.33333333333333,65,65,68,65,68,65,75,75,75,65,65,45,65,15,75,65.75,37.0,65,58.333333333333336,75,60.714285714285715,33.333333333333336,10,0
c01p0211,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,64.91666666666667,65,62,62,62,62,62,75,75,72,65,55,62,62,25,65,66.75,41.0,65,55.0,72,65.42857142857143,33.333333333333336,10,0
c01p0227,Scientist community helpers,Female,45-59,Other,Master's degree / Professional degree,"$100,000 to $167,999",Independent,81.5,78,88,88,78,82,78,85,85,88,75,78,75,78,15,65,81.75,68.4,88,82.66666666666667,85,77.42857142857143,51.666666666666664,6,0
c01p0229,Scientist community helpers,Male,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,72.08333333333333,72,72,78,68,72,68,78,78,78,68,68,65,68,25,65,72.5,58.2,78,70.33333333333333,75,69.42857142857143,41.666666666666664,6,0
c01p0232,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,77.41666666666667,75,78,78,75,78,78,85,85,82,75,75,65,75,15,65,74.5,63.6,75,76.0,75,70.71428571428571,46.666666666666664,7,0
c01p0233,Scientist community helpers,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,71.0,72,72,68,65,75,68,78,78,78,68,65,65,68,25,75,70.75,58.2,65,61.666666666666664,75,65.71428571428571,35.0,10,0
c01p0237,Scientist community helpers,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,82.33333333333334,78,82,88,78,82,82,88,88,88,78,78,78,82,15,65,82.5,71.0,88,82.66666666666667,85,75.0,48.833333333333336,6,0
c01p0258,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,71.83333333333333,68,75,75,65,75,65,78,78,78,65,75,65,72,25,65,74.25,62.2,75,67.0,78,68.14285714285714,38.333333333333336,10,0
c01p0268,Scientist community helpers,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,59.24999999999999,45,65,55,62,65,62,65,65,75,45,62,45,55,25,75,60.0,49.0,45,38.333333333333336,45,55.42857142857143,26.666666666666668,10,0
c01p0274,Scientist community helpers,Male,45-59,Black / African American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,77.5,78,78,78,78,78,78,78,78,78,78,75,75,78,25,65,75.0,66.2,85,77.0,78,77.0,47.166666666666664,6,0
c01p0275,Scientist community helpers,Male,45-59,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat,46.66666666666667,45,45,45,45,45,45,65,65,45,45,35,35,35,65,65,55.0,33.0,45,48.333333333333336,65,64.42857142857143,31.666666666666668,10,0
c01p0277,Scientist community helpers,Male,45-59,Black / African American,Bachelor's degree,"Less than $30,000",Independent,67.5,68,68,68,62,68,62,75,75,72,65,62,65,68,25,65,70.75,43.0,75,61.666666666666664,75,65.42857142857143,35.0,6,0
c01p0288,Scientist community helpers,Male,45-59,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,77.16666666666667,78,75,78,75,78,75,85,85,82,75,75,65,78,15,75,80.0,63.6,85,80.0,75,76.57142857142857,50.0,10,0
c01p0291,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,78.5,75,82,78,78,78,78,85,85,85,75,75,68,78,15,65,75.75,61.6,78,76.0,75,68.85714285714286,46.666666666666664,7,0
c01p0307,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,69.33333333333333,68,68,68,68,72,68,75,75,78,65,62,65,68,25,65,70.75,60.2,68,56.0,72,64.85714285714286,33.333333333333336,10,0
c01p0308,Scientist community helpers,Male,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,75.33333333333333,75,78,78,78,78,72,78,78,78,68,75,68,75,25,65,73.25,62.4,78,73.66666666666667,75,68.71428571428571,43.333333333333336,7,0
c01p0317,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,64.08333333333334,68,65,68,55,68,55,75,75,75,65,65,35,65,35,75,65.0,36.0,55,48.333333333333336,65,57.857142857142854,28.333333333333332,10,0
c01p0325,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,80.5,78,82,82,78,82,78,85,85,88,75,78,75,78,15,65,81.75,69.6,85,81.33333333333333,85,74.57142857142857,51.666666666666664,6,0
c01p0327,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,80.5,75,82,85,78,82,78,85,85,88,75,78,75,78,15,65,77.5,67.6,85,78.0,78,72.57142857142857,51.666666666666664,7,0
c01p0334,Scientist community helpers,Male,60+,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,80.0,78,78,78,78,78,78,88,88,85,78,78,75,78,25,65,76.0,66.2,85,77.0,78,69.85714285714286,48.833333333333336,6,0
c01p0336,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,79.5,78,78,78,78,78,78,85,85,82,78,78,78,78,25,65,78.5,63.6,78,77.0,82,71.71428571428571,52.666666666666664,10,0
c01p0338,Scientist community helpers,Male,45-59,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,55.916666666666664,45,55,45,55,62,55,65,65,72,45,62,45,55,35,65,61.75,35.0,55,51.666666666666664,65,59.285714285714285,33.333333333333336,10,0
c01p0342,Scientist community helpers,Male,45-59,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,79.08333333333333,75,82,78,78,78,78,85,85,82,75,78,75,78,25,65,76.75,63.6,78,79.33333333333333,78,73.14285714285714,52.666666666666664,7,0
c01p0349,Scientist community helpers,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,67.75,65,68,68,62,68,62,75,75,78,65,62,65,68,25,65,68.25,49.0,68,56.0,75,59.714285714285715,38.333333333333336,7,0
c01p0356,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,71.25,75,75,68,65,75,68,78,78,75,68,65,65,68,25,75,73.25,47.2,75,75.0,75,67.14285714285714,41.666666666666664,6,0
c01p0358,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,74.91666666666667,75,75,78,68,78,72,85,82,78,68,72,68,72,18,65,72.5,61.0,78,76.0,78,71.14285714285714,43.833333333333336,6,0
c01p0363,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,77.66666666666667,78,78,78,78,78,78,82,82,82,75,75,68,72,25,65,73.75,63.0,78,75.0,78,69.28571428571429,47.166666666666664,4,0
c01p0364,Scientist community helpers,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,79.75,78,78,78,78,78,78,88,85,82,78,78,78,78,25,65,79.25,68.2,78,77.0,78,74.14285714285714,53.166666666666664,6,0
c01p0369,Scientist community helpers,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,82.66666666666667,78,82,88,82,82,82,88,88,88,78,78,78,82,15,65,76.75,73.8,88,80.33333333333333,78,74.71428571428571,48.833333333333336,6,0
c01p0370,Scientist community helpers,Female,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,67.25,65,68,68,62,68,62,78,72,72,68,62,62,55,35,65,69.25,46.4,68,59.333333333333336,65,66.42857142857143,38.333333333333336,6,0
c01p0371,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,70.91666666666667,72,75,68,68,68,68,78,78,75,68,68,65,68,25,65,71.5,49.2,75,61.666666666666664,75,68.57142857142857,40.0,6,0
c01p0379,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,70.0,68,68,68,68,68,68,78,78,78,65,65,68,68,25,65,69.75,50.2,68,66.0,68,67.28571428571429,41.666666666666664,4,0
c01p0386,Scientist community helpers,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,80.33333333333333,78,82,78,78,78,78,88,88,82,78,78,78,78,25,65,76.0,68.2,88,77.0,78,71.57142857142857,48.833333333333336,6,0
c01p0396,Scientist community helpers,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,79.25,78,78,78,78,78,78,85,85,82,78,78,75,78,25,65,75.75,63.6,78,76.0,78,69.71428571428571,52.666666666666664,6,0
c01p0403,Scientist community helpers,Female,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,75.33333333333334,68,78,78,72,78,78,78,78,78,75,75,68,72,25,65,71.5,61.6,78,76.0,75,65.28571428571429,43.333333333333336,10,0
c01p0405,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,79.33333333333333,75,85,78,75,78,78,85,85,88,75,75,75,78,15,75,76.0,66.4,85,84.0,85,69.85714285714286,51.666666666666664,10,0
c01p0412,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,77.91666666666667,78,75,78,78,78,75,85,85,82,75,78,68,78,25,55,77.5,65.4,78,74.66666666666667,78,72.0,47.166666666666664,10,0
c01p0415,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,54.166666666666664,45,45,45,45,62,45,75,75,68,45,55,45,55,45,65,63.25,47.0,55,52.666666666666664,68,65.42857142857143,31.666666666666668,10,0
c01p0416,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,76.16666666666667,75,78,78,78,78,78,78,78,78,75,72,68,72,25,65,72.75,62.8,78,73.66666666666667,78,66.28571428571429,46.166666666666664,7,0
c01p0417,Scientist community helpers,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,79.25,78,78,78,78,78,78,88,82,82,78,78,75,75,25,65,75.0,71.2,78,75.0,75,69.0,43.333333333333336,6,0
c01p0418,Scientist community helpers,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,70.0,68,68,68,68,68,68,78,78,75,68,68,65,68,25,65,70.75,46.6,68,59.333333333333336,65,66.42857142857143,38.333333333333336,6,0
c01p0430,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,79.58333333333333,75,82,78,78,78,78,88,88,85,75,75,75,78,25,65,75.0,68.6,85,75.0,75,71.0,41.666666666666664,7,0
c01p0431,Scientist community helpers,Female,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,81.75,78,88,85,78,82,78,88,85,88,75,78,78,82,15,65,82.75,72.2,85,82.66666666666667,85,76.28571428571429,51.666666666666664,7,0
c01p0434,Scientist community helpers,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,36.66666666666667,35,45,35,35,45,35,45,35,45,35,35,15,35,65,25,47.5,32.0,35,35.0,45,46.42857142857143,28.333333333333332,10,0
c01p0438,Scientist community helpers,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,80.08333333333334,75,88,82,78,78,78,88,85,88,75,78,68,78,15,75,76.0,66.2,85,80.66666666666667,85,71.28571428571429,51.666666666666664,7,0
c01p0441,Scientist community helpers,Female,30-44,Other,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,77.58333333333333,78,78,78,78,78,78,75,85,78,75,75,75,78,25,65,74.25,63.6,85,76.0,78,72.57142857142857,48.333333333333336,6,0
c01p0442,Scientist community helpers,Female,30-44,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,50.25,45,45,45,45,55,45,65,65,68,45,45,35,45,35,75,60.0,37.0,55,48.333333333333336,55,60.142857142857146,33.333333333333336,10,0
c01p0449,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,66.33333333333333,65,68,65,65,68,65,75,75,75,65,65,45,68,25,65,68.25,45.0,68,61.666666666666664,75,65.85714285714286,38.333333333333336,10,0
c01p0450,Scientist community helpers,Female,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,76.66666666666667,75,75,78,75,75,75,85,85,82,75,75,65,78,15,65,77.5,63.6,78,75.0,78,72.28571428571429,46.666666666666664,10,0
c01p0465,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,67.08333333333333,68,68,68,62,68,62,78,78,75,65,68,45,68,25,65,69.0,45.0,68,62.666666666666664,72,65.85714285714286,35.0,2,0
c01p0471,Scientist community helpers,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,77.08333333333334,78,78,78,78,78,72,82,78,82,78,75,68,72,25,65,72.75,62.2,78,70.33333333333333,78,68.71428571428571,47.166666666666664,4,0
c01p0477,Scientist community helpers,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,73.75,75,78,78,68,78,72,82,78,78,65,65,68,72,25,65,73.25,51.0,78,72.66666666666667,78,70.14285714285714,46.666666666666664,10,0
c01p0483,Scientist community helpers,Female,30-44,Black / African American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,74.0,72,72,78,68,78,72,78,78,78,78,68,68,72,25,55,72.5,64.8,78,72.66666666666667,78,68.71428571428571,43.333333333333336,6,0
c01p0486,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,78.16666666666667,78,78,78,78,78,75,85,85,85,75,78,65,78,15,75,72.5,65.6,78,78.33333333333333,75,65.71428571428571,42.166666666666664,10,0
c01p0487,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,76.5,75,78,78,75,78,78,85,78,78,75,75,65,78,25,65,74.5,65.6,78,73.66666666666667,78,67.71428571428571,50.0,7,0
c01p0489,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,77.91666666666667,75,78,78,78,78,78,85,85,82,75,78,65,78,15,65,75.75,64.2,85,81.66666666666667,78,72.42857142857143,45.0,7,0
c01p0497,Scientist community helpers,Male,60+,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,66.58333333333333,65,68,68,65,75,68,75,75,75,65,65,35,68,25,75,66.75,40.0,65,48.333333333333336,75,56.42857142857143,31.666666666666668,10,0
c01p0502,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,70.25,68,68,68,68,68,68,78,78,75,68,68,68,68,25,65,72.5,50.2,78,63.666666666666664,75,67.14285714285714,40.0,6,0
c01p0503,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,79.33333333333333,78,82,78,78,78,78,85,85,82,75,78,75,78,25,65,76.0,63.6,78,76.0,78,69.71428571428571,52.166666666666664,7,0
c01p0506,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,68.0,68,68,68,62,68,68,75,75,72,65,62,65,68,25,65,70.75,47.6,68,61.666666666666664,72,65.85714285714286,38.333333333333336,6,0
c01p0511,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,75.41666666666667,75,75,78,75,78,75,78,78,75,75,75,68,78,25,65,75.0,51.6,78,75.0,75,69.71428571428571,50.0,7,0
c01p0523,Scientist community helpers,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,75.33333333333333,72,78,78,78,78,72,78,78,78,78,68,68,72,25,65,73.25,61.6,78,70.33333333333333,75,69.42857142857143,43.333333333333336,6,0
